Date,Open,High,Low,Close,Volume
2021-08-23 09:30:00,9.1,16.9,9.1,9.1,902.0
2021-08-24 09:30:00,9.5,11.0,9.5,10.5,2011.0
2021-08-26 09:30:00,9.8,10.0,9.0,10.0,7760.0
2021-08-27 09:30:00,9.1,9.1,9.1,9.1,10.0
2021-09-01 09:30:00,10.8,10.8,10.5,10.5,7.0
2021-09-03 09:30:00,10.6,10.6,10.5,10.5,281.0
2021-09-06 09:30:00,10.4,10.4,10.4,10.4,1000.0
2021-09-08 09:30:00,10.3,10.3,10.3,10.3,1.0
2021-09-09 09:30:00,10.3,10.3,10.3,10.3,1.0
2021-09-15 09:30:00,10.4,10.4,10.4,10.4,1500.0
2021-09-28 09:30:00,8.0,8.0,8.0,8.0,1500.0
2021-09-30 09:30:00,9.9,10.0,9.9,10.0,1328.0
2021-10-01 09:30:00,10.5,11.0,10.5,10.5,5181.0
2021-10-04 09:30:00,10.5,10.5,9.9,9.9,4239.0
2021-10-05 09:30:00,10.1,10.1,10.1,10.1,10.0
2021-10-13 09:30:00,9.2,9.2,9.0,9.0,8000.0
2021-10-14 09:30:00,9.6,9.6,8.9,8.9,2216.0
2021-10-15 09:30:00,9.9,9.9,9.4,9.4,310.0
2021-10-21 09:30:00,9.7,9.7,9.7,9.7,3.0
2021-10-22 09:30:00,9.8,9.8,9.7,9.7,101.0
2021-10-25 09:30:00,9.5,9.5,9.5,9.5,16.0
2021-10-28 09:30:00,9.2,9.2,9.2,9.2,100.0
2021-10-29 09:30:00,10.7,10.7,10.7,10.7,1.0
2021-11-01 09:30:00,9.2,9.2,9.2,9.2,100.0
2021-11-08 09:30:00,8.9,9.2,8.9,9.2,658.0
2021-11-09 09:30:00,9.5,9.5,9.5,9.5,489.0
2021-11-10 09:30:00,9.3,9.3,9.1,9.1,1130.0
2021-11-16 09:30:00,9.2,9.2,9.2,9.2,134.0
2021-11-17 09:30:00,9.1,9.4,9.1,9.4,950.0
2021-11-26 09:30:00,10.1,10.1,8.5,8.5,11.0
2021-12-01 09:30:00,9.8,10.0,9.8,10.0,5122.0
2021-12-06 09:30:00,9.0,10.0,9.0,10.0,139.0
2021-12-07 09:30:00,10.0,10.0,9.0,9.0,1006.0
2021-12-08 09:30:00,9.0,9.0,9.0,9.0,25.0
2021-12-14 09:30:00,10.2,10.2,10.2,10.2,3006.0
2021-12-16 09:30:00,9.2,10.0,9.2,10.0,101.0
2021-12-23 09:30:00,9.1,9.1,9.1,9.1,1.0
2021-12-27 09:30:00,9.5,9.5,9.5,9.5,200.0
2021-12-31 09:30:00,10.1,10.1,10.1,10.1,600.0
2022-01-03 09:30:00,9.6,9.9,9.6,9.9,343.0
2022-01-04 09:30:00,10.0,10.1,9.9,10.0,13390.0
2022-01-05 09:30:00,10.0,10.8,10.0,10.8,3088.0
2022-01-07 09:30:00,10.8,10.8,10.2,10.3,4316.0
2022-01-10 09:30:00,10.3,10.8,10.1,10.8,1520.0
2022-01-11 09:30:00,10.1,10.1,10.1,10.1,28.0
2022-01-18 09:30:00,10.7,10.7,10.7,10.7,101.0
2022-01-20 09:30:00,10.6,10.6,10.6,10.6,1500.0
2022-01-26 09:30:00,10.6,10.6,10.6,10.6,34.0
2022-01-31 09:30:00,11.1,11.5,10.7,10.7,6000.0
2022-02-01 09:30:00,10.7,10.7,10.7,10.7,9799.0
2022-02-03 09:30:00,10.7,10.7,10.6,10.6,3052.0
2022-02-07 09:30:00,9.2,11.5,9.2,10.8,5933.0
2022-02-09 09:30:00,10.1,10.1,10.1,10.1,1000.0
2022-02-11 09:30:00,12.1,12.1,11.4,11.4,1270.0
