Date,Open,High,Low,Close,Volume
2021-08-23 13:30:00,9.1,16.9,9.1,9.1,902.0
2021-08-24 10:30:00,9.5,9.5,9.5,9.5,1.0
2021-08-24 11:30:00,11.0,11.0,11.0,11.0,10.0
2021-08-24 12:30:00,10.6,10.6,10.5,10.5,2000.0
2021-08-26 13:30:00,9.8,10.0,9.0,10.0,7760.0
2021-08-27 13:30:00,9.1,9.1,9.1,9.1,10.0
2021-09-01 12:30:00,10.8,10.8,10.8,10.8,2.0
2021-09-01 13:30:00,10.5,10.5,10.5,10.5,5.0
2021-09-03 10:30:00,10.6,10.6,10.6,10.6,150.0
2021-09-03 11:30:00,10.6,10.6,10.6,10.6,101.0
2021-09-03 13:30:00,10.5,10.5,10.5,10.5,30.0
2021-09-06 12:30:00,10.4,10.4,10.4,10.4,1000.0
2021-09-09 11:30:00,10.3,10.3,10.3,10.3,1.0
2021-09-10 10:30:00,10.3,10.3,10.3,10.3,1.0
2021-09-15 12:30:00,10.4,10.4,10.4,10.4,1500.0
2021-09-16 10:30:00,10.3,10.3,10.3,10.3,90.0
2021-09-28 12:30:00,8.0,8.0,8.0,8.0,1500.0
2021-09-30 11:30:00,9.9,10.0,9.9,10.0,8.0
2021-09-30 12:30:00,10.0,10.0,10.0,10.0,1308.0
2021-09-30 13:30:00,10.0,10.0,10.0,10.0,12.0
2021-10-01 11:30:00,10.5,11.0,10.5,10.5,5180.0
2021-10-01 13:30:00,10.5,10.5,10.5,10.5,1.0
2021-10-04 11:30:00,10.5,10.5,10.5,10.5,9.0
2021-10-04 12:30:00,10.0,10.0,10.0,10.0,530.0
2021-10-04 13:30:00,10.5,10.5,9.9,9.9,3700.0
2021-10-05 13:30:00,10.1,10.1,10.1,10.1,10.0
2021-10-13 13:30:00,9.2,9.2,9.0,9.0,8000.0
2021-10-14 11:30:00,9.6,9.6,8.9,8.9,1596.0
2021-10-14 12:30:00,8.9,8.9,8.9,8.9,620.0
2021-10-15 10:30:00,9.9,9.9,9.9,9.9,300.0
2021-10-15 12:30:00,9.4,9.4,9.4,9.4,10.0
2021-10-21 13:30:00,9.7,9.7,9.7,9.7,3.0
2021-10-22 10:30:00,9.8,9.8,9.8,9.8,1.0
2021-10-22 13:30:00,9.7,9.7,9.7,9.7,100.0
2021-10-26 11:30:00,9.5,9.5,9.5,9.5,16.0
2021-10-28 12:30:00,9.2,9.2,9.2,9.2,100.0
2021-10-29 12:30:00,10.7,10.7,10.7,10.7,1.0
2021-11-01 12:30:00,9.2,9.2,9.2,9.2,100.0
2021-11-02 10:30:00,10.0,10.0,10.0,10.0,100.0
2021-11-08 10:30:00,8.9,8.9,8.9,8.9,149.0
2021-11-08 13:30:00,9.2,9.2,9.2,9.2,509.0
2021-11-09 13:30:00,9.5,9.5,9.5,9.5,489.0
2021-11-11 11:30:00,9.3,9.3,9.1,9.1,1130.0
2021-11-16 13:30:00,9.2,9.2,9.2,9.2,134.0
2021-11-17 11:30:00,9.1,9.1,9.1,9.1,200.0
2021-11-17 12:30:00,9.1,9.4,9.1,9.4,400.0
2021-11-17 13:30:00,9.3,9.4,9.3,9.4,350.0
2021-11-26 12:30:00,10.1,10.1,10.1,10.1,10.0
2021-11-26 13:30:00,8.5,8.5,8.5,8.5,1.0
2021-12-02 11:30:00,9.8,10.0,9.8,10.0,5122.0
2021-12-06 12:30:00,9.0,10.0,9.0,10.0,130.0
2021-12-06 13:30:00,10.0,10.0,10.0,10.0,9.0
2021-12-07 10:30:00,10.0,10.0,10.0,10.0,1.0
2021-12-07 12:30:00,9.8,9.8,9.8,9.8,1000.0
2021-12-08 11:30:00,10.0,10.0,10.0,10.0,6.0
2021-12-08 12:30:00,9.0,9.0,9.0,9.0,1000.0
2021-12-09 10:30:00,9.0,9.0,9.0,9.0,25.0
2021-12-14 13:30:00,10.2,10.2,10.2,10.2,3006.0
2021-12-15 10:30:00,10.2,10.2,10.2,10.2,1500.0
2021-12-17 11:30:00,9.2,10.0,9.2,10.0,101.0
2021-12-23 13:30:00,9.1,9.1,9.1,9.1,1.0
2021-12-27 11:30:00,9.5,9.5,9.5,9.5,1994.0
2021-12-28 10:30:00,9.5,9.5,9.5,9.5,200.0
2021-12-31 12:30:00,10.1,10.1,10.1,10.1,249.0
2021-12-31 13:30:00,10.1,10.1,10.1,10.1,351.0
2022-01-03 11:30:00,9.6,9.6,9.6,9.6,333.0
2022-01-03 13:30:00,9.9,9.9,9.9,9.9,10.0
2022-01-04 11:30:00,9.8,9.8,9.8,9.8,1324.0
2022-01-04 12:30:00,9.8,9.8,9.8,9.8,50.0
2022-01-05 10:30:00,10.0,10.0,10.0,10.0,1000.0
2022-01-05 11:30:00,10.0,10.0,10.0,10.0,2000.0
2022-01-05 12:30:00,9.9,10.1,9.9,10.0,10390.0
