Date,Open,High,Low,Close,Volume
2023-03-01 09:30:00,1.67185752,1.67185752,1.67185752,1.67185752,4732184.67333127
2023-03-02 09:30:00,1.71472572,1.71472572,1.71472572,1.71472572,694.99995202
2023-03-24 09:30:00,1.74330452,1.74330452,1.74330452,1.74330452,6845369.52745543
2023-05-16 09:30:00,2.8578762,3.04363821,2.62924618,3.04363821,13984.9990346
2023-05-17 09:30:00,4.26,4.26,3.66,3.66,1500.0
2023-05-23 09:30:00,5.06,5.06,5.06,5.06,495.0
2023-05-30 09:30:00,5.06,5.06,5.06,5.06,20.0
2023-06-01 09:30:00,5.06,5.06,5.06,5.06,505.0
2023-06-16 09:30:00,6.2,6.2,6.2,6.2,5.0
2023-06-26 09:30:00,3.8,6.2,3.8,6.1,45165.0
2023-06-26 13:30:00,6.1,6.1,6.1,6.1,5.0
2023-06-28 09:30:00,4.74,4.74,4.74,4.74,500.0
2023-07-04 09:30:00,5.92,5.92,5.92,5.92,505.0
2023-07-05 09:30:00,6.32,7.4,6.32,7.4,4180.0
2023-07-05 13:30:00,7.4,7.4,7.4,7.4,100.0
2023-07-06 09:30:00,9.24,9.24,9.24,9.24,3165.0
2023-07-06 13:30:00,9.24,9.24,9.24,9.24,17910.0
2023-07-07 09:30:00,11.54,11.54,9.4,10.0,90440.0
2023-07-07 13:30:00,10.0,10.0,9.7,10.0,750.0
2023-07-10 09:30:00,10.0,10.0,9.24,9.96,4670.0
2023-07-11 09:30:00,10.0,10.0,8.02,9.58,2320.0
2023-07-11 13:30:00,9.58,9.58,9.58,9.58,5.0
2023-07-12 09:30:00,8.4,9.78,8.4,9.18,2110.0
2023-07-13 09:30:00,9.58,9.8,9.4,9.4,11390.0
2023-07-13 13:30:00,9.4,9.4,9.4,9.4,2110.0
2023-07-14 09:30:00,9.78,9.78,9.6,9.6,75.0
2023-07-14 13:30:00,9.6,9.6,9.6,9.6,40.0
2023-07-17 09:30:00,9.6,9.6,9.2,9.2,35.0
2023-07-18 09:30:00,9.2,9.2,8.8,8.84,4005.0
2023-07-18 13:30:00,8.82,8.82,8.6,8.6,3025.0
2023-07-19 09:30:00,8.84,8.84,8.44,8.44,15355.0
2023-07-19 13:30:00,8.44,8.54,8.44,8.54,2530.0
2023-07-20 09:30:00,8.54,8.54,8.54,8.54,555.0
2023-07-21 09:30:00,8.28,8.28,8.28,8.28,255.0
2023-07-24 09:30:00,8.24,8.24,8.0,8.0,12370.0
2023-07-25 09:30:00,8.0,8.0,7.58,7.58,4535.0
2023-07-25 13:30:00,7.58,7.58,7.58,7.58,1450.0
2023-07-26 09:30:00,7.98,8.0,7.98,8.0,79625.0
2023-07-26 13:30:00,8.2,8.38,8.0,8.0,93440.0
2023-07-27 09:30:00,8.46,8.86,8.0,8.0,40160.0
2023-07-27 13:30:00,7.92,8.0,7.92,8.0,1325.0
2023-07-28 09:30:00,8.38,8.38,7.6,7.6,12600.0
2023-07-28 13:30:00,8.34,8.34,8.34,8.34,8000.0
