Date,Open,High,Low,Close,Volume
2023-11-14 09:30:00,11.8,12.2,11.8,12.1,48292.0
2023-11-14 13:30:00,12.1,12.1,12.0,12.0,925.0
2023-11-15 09:30:00,12.1,12.1,12.1,12.1,1.0
2023-11-15 13:30:00,11.9,11.9,11.8,11.8,8774.0
2023-11-16 09:30:00,11.8,11.9,11.8,11.8,9600.0
2023-11-16 13:30:00,11.8,11.8,11.8,11.8,1.0
2023-11-17 09:30:00,12.1,12.1,11.8,11.8,3.0
2023-11-20 09:30:00,11.9,11.9,11.9,11.9,1.0
2023-11-21 09:30:00,11.8,12.1,11.1,11.1,32216.0
2023-11-22 09:30:00,11.4,11.4,11.4,11.4,51.0
2023-11-23 09:30:00,11.5,11.5,11.0,11.1,3160.0
2023-11-23 13:30:00,11.2,11.2,11.2,11.2,800.0
2023-11-24 09:30:00,11.6,11.6,11.2,11.2,805.0
2023-11-24 13:30:00,11.2,11.2,11.2,11.2,1.0
2023-11-27 13:30:00,11.5,11.5,11.5,11.5,10000.0
2023-11-28 09:30:00,11.0,11.0,11.0,11.0,2.0
2023-11-29 09:30:00,11.5,11.5,11.5,11.5,403.0
2023-11-30 09:30:00,11.3,12.0,11.2,11.5,3545.0
2023-11-30 13:30:00,11.9,11.9,11.5,11.9,5700.0
2023-12-01 09:30:00,11.9,11.9,11.9,11.9,1083.0
2023-12-01 13:30:00,11.7,11.9,11.6,11.9,32617.0
2023-12-04 09:30:00,12.0,12.1,11.6,11.8,19433.0
2023-12-04 13:30:00,12.0,12.1,12.0,12.1,40407.0
2023-12-05 09:30:00,12.2,12.2,11.7,12.0,4084.0
2023-12-05 13:30:00,12.0,12.1,12.0,12.1,28535.0
2023-12-06 09:30:00,11.8,12.1,11.8,12.0,10013.0
2023-12-06 13:30:00,12.1,12.8,12.1,12.7,339089.0
2023-12-07 09:30:00,12.4,12.4,12.2,12.2,10247.0
2023-12-07 13:30:00,12.2,12.4,12.2,12.4,29201.0
2023-12-08 09:30:00,12.4,12.9,12.1,12.7,142753.0
2023-12-08 13:30:00,12.6,12.6,12.5,12.5,160170.0
2023-12-11 09:30:00,12.5,12.5,12.4,12.4,4747.0
2023-12-11 13:30:00,12.4,12.5,12.4,12.5,80737.0
2023-12-12 09:30:00,12.9,12.9,12.4,12.5,28052.0
2023-12-13 09:30:00,12.8,12.8,12.3,12.3,17036.0
2023-12-13 13:30:00,12.6,12.8,12.6,12.8,173.0
2023-12-14 09:30:00,12.5,12.5,12.5,12.5,41575.0
2023-12-14 13:30:00,12.5,12.5,12.5,12.5,777.0
2023-12-15 09:30:00,12.2,12.5,12.2,12.5,143769.0
2023-12-15 13:30:00,12.4,12.5,12.4,12.5,6651.0
2023-12-18 09:30:00,12.5,12.5,12.2,12.2,62775.0
2023-12-18 13:30:00,12.7,12.7,12.7,12.7,1.0
2023-12-19 09:30:00,12.3,13.1,12.3,13.1,460739.0
2023-12-19 13:30:00,13.0,13.1,12.8,12.8,20624.0
2023-12-20 09:30:00,13.0,14.0,13.0,14.0,768240.0
2023-12-20 13:30:00,14.1,14.5,13.7,14.0,117932.0
2023-12-21 09:30:00,13.0,14.1,13.0,13.7,28922.0
2023-12-21 13:30:00,13.6,14.1,13.6,14.1,24592.0
2023-12-22 09:30:00,13.6,14.1,13.5,14.1,50414.0
2023-12-22 13:30:00,14.0,14.1,13.9,14.0,44580.0
2023-12-27 09:30:00,14.1,16.2,14.1,16.0,1153422.0
2023-12-27 13:30:00,16.0,16.1,15.8,15.8,168101.0
2023-12-28 09:30:00,15.6,15.8,15.5,15.8,76197.0
2023-12-28 13:30:00,15.7,16.9,15.7,16.7,202013.0
2023-12-29 09:30:00,16.4,17.3,16.4,17.1,513232.0
2023-12-29 13:30:00,17.1,18.0,17.1,17.5,1120369.0
2024-01-02 09:30:00,17.5,18.6,17.3,18.6,1086758.0
2024-01-02 13:30:00,18.5,18.6,18.1,18.4,218643.0
2024-01-03 09:30:00,18.5,19.0,17.9,19.0,556916.0
2024-01-03 13:30:00,19.1,19.1,18.4,18.4,381202.0
2024-01-04 09:30:00,18.4,19.0,18.0,18.2,250191.0
2024-01-04 13:30:00,18.2,18.2,18.0,18.1,59423.0
2024-01-05 09:30:00,17.8,21.6,17.8,21.6,2879519.0
2024-01-05 13:30:00,21.6,22.1,21.0,22.1,509471.0
2024-01-08 09:30:00,22.2,22.6,21.9,22.2,1329508.0
2024-01-08 13:30:00,22.3,23.0,22.3,22.3,747462.0
2024-01-09 09:30:00,22.3,22.3,21.6,22.0,555699.0
2024-01-09 13:30:00,22.0,22.3,21.8,22.1,176760.0
2024-01-10 09:30:00,22.2,23.1,21.7,23.0,781243.0
2024-01-10 13:30:00,23.0,23.0,22.6,22.6,49788.0
2024-01-11 09:30:00,22.9,23.0,21.5,22.0,331154.0
2024-01-11 13:30:00,22.0,22.0,21.3,21.3,294855.0
2024-01-12 09:30:00,21.8,22.5,21.0,21.9,182194.0
2024-01-12 13:30:00,21.8,21.9,21.6,21.8,20060.0
2024-01-16 09:30:00,21.0,22.1,21.0,21.3,295805.0
2024-01-16 13:30:00,21.4,21.8,21.3,21.8,3242.0
2024-01-17 09:30:00,21.0,21.7,20.2,20.3,572918.0
2024-01-17 13:30:00,20.3,20.5,19.9,20.0,421611.0
2024-01-18 09:30:00,19.6,21.4,19.2,20.4,716712.0
2024-01-18 13:30:00,20.9,20.9,20.1,20.1,137107.0
2024-01-19 09:30:00,20.1,21.4,20.1,20.5,402994.0
2024-01-19 13:30:00,20.4,21.0,20.1,21.0,39489.0
2024-01-22 09:30:00,21.5,21.5,20.0,20.1,229386.0
2024-01-22 13:30:00,20.1,21.0,20.1,21.0,152143.0
2024-01-23 09:30:00,21.0,21.0,19.9,20.0,334070.0
2024-01-23 13:30:00,20.0,20.0,19.9,19.9,20343.0
2024-01-24 09:30:00,20.0,21.3,20.0,21.2,362889.0
2024-01-24 13:30:00,21.1,21.6,20.9,21.5,367732.0
2024-01-26 09:30:00,21.8,22.8,21.0,22.1,326629.0
2024-01-26 13:30:00,22.5,22.6,22.0,22.0,143269.0
2024-01-29 09:30:00,22.0,23.0,22.0,22.9,192123.0
2024-01-29 13:30:00,22.9,23.1,22.9,23.0,244555.0
2024-01-30 09:30:00,23.1,23.1,21.6,22.0,105564.0
2024-01-30 13:30:00,22.1,22.1,21.5,21.5,312986.0
2024-01-31 09:30:00,21.5,22.8,20.7,21.0,88219.0
2024-01-31 13:30:00,20.7,20.8,20.3,20.7,437592.0
2024-02-01 09:30:00,21.3,21.9,20.8,21.8,331155.0
2024-02-01 13:30:00,21.8,21.8,21.5,21.6,141484.0
2024-02-02 09:30:00,21.9,22.3,21.5,22.2,208686.0
2024-02-02 13:30:00,22.2,23.0,22.1,23.0,727292.0
2024-02-06 09:30:00,23.1,23.6,22.6,23.0,670370.0
2024-02-06 13:30:00,22.8,22.8,22.5,22.5,117535.0
2024-02-07 09:30:00,22.6,22.6,21.9,22.0,81342.0
2024-02-07 13:30:00,22.0,22.3,21.9,22.3,21834.0
2024-02-08 09:30:00,22.3,22.7,21.9,22.7,150509.0
2024-02-08 13:30:00,22.6,22.7,22.5,22.5,24555.0
2024-02-09 09:30:00,22.8,22.8,22.2,22.3,26378.0
2024-02-09 13:30:00,22.2,22.3,22.0,22.3,916.0
2024-02-12 09:30:00,22.1,22.4,21.3,22.1,202638.0
2024-02-12 13:30:00,21.5,22.0,21.4,21.9,26559.0
2024-02-13 09:30:00,22.4,22.4,21.4,21.8,12341.0
2024-02-13 13:30:00,21.9,21.9,21.5,21.5,2659.0
2024-02-14 09:30:00,21.8,23.0,21.6,22.5,454818.0
2024-02-14 13:30:00,22.6,22.7,22.4,22.4,8060.0
2024-02-15 09:30:00,22.9,22.9,21.8,22.7,18100.0
2024-02-15 13:30:00,22.6,22.6,22.0,22.0,94179.0
2024-02-16 09:30:00,22.1,22.6,22.0,22.0,7170.0
2024-02-16 13:30:00,21.9,21.9,21.7,21.9,25900.0
2024-02-19 09:30:00,22.0,22.0,21.3,21.5,443909.0
2024-02-19 13:30:00,21.4,21.5,21.3,21.3,49200.0
2024-02-20 09:30:00,21.1,21.5,21.0,21.0,495210.0
2024-02-20 13:30:00,21.0,21.6,21.0,21.2,36927.0
2024-02-21 09:30:00,21.6,21.6,21.0,21.3,255074.0
2024-02-21 13:30:00,21.4,21.7,21.4,21.6,9661.0
2024-02-22 09:30:00,21.7,21.7,21.2,21.6,37976.0
2024-02-22 13:30:00,21.6,21.6,21.5,21.5,18495.0
2024-02-26 09:30:00,21.0,21.7,21.0,21.7,265250.0
2024-02-26 13:30:00,21.5,21.8,21.4,21.4,26085.0
2024-02-27 09:30:00,21.4,21.7,21.1,21.6,33203.0
2024-02-27 13:30:00,21.3,21.8,21.3,21.7,116001.0
2024-02-28 09:30:00,21.7,22.3,21.7,22.0,318049.0
2024-02-28 13:30:00,22.0,22.0,22.0,22.0,145787.0
2024-02-29 09:30:00,21.5,22.0,21.5,21.9,92813.0
2024-02-29 13:30:00,21.9,21.9,21.5,21.6,179931.0
2024-03-01 09:30:00,21.6,22.0,21.6,22.0,284068.0
2024-03-01 13:30:00,22.0,22.2,22.0,22.0,96967.0
2024-03-04 09:30:00,22.2,22.2,21.0,21.5,708808.0
2024-03-04 13:30:00,21.6,21.6,21.5,21.5,3480.0
2024-03-05 09:30:00,21.5,22.0,21.0,21.2,131313.0
2024-03-05 13:30:00,21.5,21.5,21.5,21.5,9500.0
2024-03-06 09:30:00,22.0,24.3,21.5,24.2,2495202.0
2024-03-06 13:30:00,24.2,25.2,23.9,25.2,847983.0
2024-03-07 09:30:00,25.5,26.6,25.0,26.4,4677103.0
2024-03-07 13:30:00,26.5,26.7,25.9,26.2,1157144.0
2024-03-11 09:30:00,26.0,26.5,24.7,25.1,1680001.0
2024-03-11 13:30:00,25.0,25.5,24.9,25.4,235321.0
2024-03-12 09:30:00,25.2,26.0,24.8,25.7,390561.0
2024-03-12 13:30:00,25.7,25.9,25.7,25.9,82376.0
2024-03-13 09:30:00,25.2,25.9,24.7,25.0,653449.0
2024-03-13 13:30:00,24.9,25.0,24.7,25.0,134742.0
2024-03-14 09:30:00,24.0,25.8,24.0,24.9,366228.0
2024-03-14 13:30:00,24.9,25.2,24.8,25.2,58607.0
2024-03-15 09:30:00,25.6,25.6,24.9,24.9,84881.0
2024-03-15 13:30:00,24.9,24.9,24.5,24.6,195004.0
2024-03-18 09:30:00,25.0,25.0,24.5,24.8,124320.0
2024-03-18 13:30:00,24.7,24.8,24.5,24.8,19002.0
2024-03-19 09:30:00,24.9,25.0,24.2,24.4,167223.0
2024-03-19 13:30:00,24.8,24.8,24.2,24.3,37607.0
2024-03-20 09:30:00,24.9,24.9,24.1,24.7,100232.0
2024-03-20 13:30:00,24.6,24.9,24.2,24.9,33270.0
2024-03-21 09:30:00,24.6,25.2,24.4,24.9,87924.0
2024-03-21 13:30:00,24.8,25.0,24.6,25.0,16979.0
2024-03-22 09:30:00,25.0,25.7,25.0,25.0,203298.0
2024-03-22 13:30:00,25.3,25.3,24.6,24.6,24630.0
2024-03-25 09:30:00,25.0,25.0,24.4,24.5,59001.0
2024-03-25 13:30:00,24.5,25.0,24.5,25.0,87891.0
2024-03-26 09:30:00,25.0,25.0,24.0,24.7,61266.0
2024-03-26 13:30:00,24.7,25.0,24.3,24.8,77142.0
2024-03-27 09:30:00,24.9,25.7,24.1,25.4,221598.0
2024-03-27 13:30:00,25.4,25.4,24.7,25.3,84091.0
2024-03-28 09:30:00,25.4,25.5,24.8,25.3,152326.0
2024-03-28 13:30:00,24.9,24.9,24.8,24.8,5507.0
2024-04-01 09:30:00,24.7,24.8,24.6,24.7,2258.0
2024-04-01 13:30:00,24.6,24.6,24.0,24.5,36805.0
2024-04-02 09:30:00,24.1,24.5,23.9,24.2,62727.0
2024-04-02 13:30:00,24.2,24.5,24.1,24.1,7374.0
2024-04-03 09:30:00,24.2,24.5,23.9,24.5,42987.0
2024-04-03 13:30:00,24.4,24.5,24.4,24.5,10311.0
2024-04-04 09:30:00,24.5,24.5,23.5,23.5,21388.0
2024-04-04 13:30:00,23.5,23.6,23.5,23.6,52501.0
2024-04-05 09:30:00,24.0,24.0,24.0,24.0,6034.0
2024-04-05 13:30:00,23.9,24.5,23.7,24.5,46073.0
2024-04-08 09:30:00,23.9,25.0,23.8,24.0,10297.0
2024-04-08 13:30:00,24.0,24.0,24.0,24.0,1.0
2024-04-09 09:30:00,24.0,24.9,23.5,24.0,26322.0
2024-04-09 13:30:00,23.8,24.0,23.2,23.2,28083.0
2024-04-10 09:30:00,24.4,24.4,23.3,24.0,17550.0
2024-04-15 09:30:00,23.9,24.9,23.9,24.2,15692.0
2024-04-15 13:30:00,24.1,24.1,24.0,24.0,5971.0
