Date,Open,High,Low,Close,Volume
2020-11-09 09:30:00,13.0,13.4,13.0,13.2,33260.0
2020-11-09 13:30:00,13.1,13.1,13.0,13.0,13853.0
2020-11-10 09:30:00,13.0,13.5,13.0,13.5,20469.0
2020-11-10 13:30:00,13.3,13.3,13.2,13.2,12998.0
2020-11-11 09:30:00,13.5,13.5,13.1,13.4,57395.0
2020-11-11 13:30:00,13.1,13.4,12.6,13.0,108730.0
2020-11-12 09:30:00,13.0,13.0,13.0,13.0,100.0
2020-11-12 13:30:00,13.0,13.0,13.0,13.0,23748.0
2020-11-13 09:30:00,13.0,13.1,13.0,13.0,6707.0
2020-11-13 13:30:00,13.1,13.2,13.1,13.2,1255.0
2020-11-16 09:30:00,13.2,13.2,13.0,13.0,51700.0
2020-11-16 13:30:00,13.0,13.2,13.0,13.2,3030.0
2020-11-17 09:30:00,13.0,13.1,13.0,13.0,7376.0
2020-11-17 13:30:00,13.0,13.2,13.0,13.0,25040.0
2020-11-18 09:30:00,13.0,13.0,12.8,12.8,472.0
2020-11-18 13:30:00,13.0,13.0,12.8,12.8,101196.0
2020-11-19 09:30:00,12.8,12.8,12.6,12.6,11242.0
2020-11-20 09:30:00,12.5,12.5,12.5,12.5,2016.0
2020-11-20 13:30:00,12.5,12.5,12.5,12.5,8086.0
2020-11-23 09:30:00,12.4,12.4,12.0,12.0,7635.0
2020-11-23 13:30:00,12.0,12.0,12.0,12.0,9830.0
2020-11-24 09:30:00,11.7,12.0,11.7,11.9,3401.0
2020-11-24 13:30:00,11.9,12.0,11.9,12.0,1010.0
2020-11-25 09:30:00,12.0,12.6,12.0,12.6,10504.0
2020-11-25 13:30:00,12.5,12.5,12.0,12.0,12498.0
2020-11-26 09:30:00,12.4,12.4,12.4,12.4,1926.0
2020-11-27 09:30:00,12.7,12.7,12.1,12.6,6400.0
2020-11-27 13:30:00,12.7,13.1,12.7,12.7,40312.0
2020-11-30 09:30:00,13.0,13.0,13.0,13.0,65000.0
2020-11-30 13:30:00,13.0,13.0,13.0,13.0,6951.0
2020-12-01 09:30:00,13.1,13.2,12.8,13.0,91297.0
2020-12-01 13:30:00,13.0,13.2,13.0,13.2,39834.0
2020-12-02 09:30:00,13.4,14.6,13.4,14.2,715360.0
2020-12-02 13:30:00,14.2,14.4,14.2,14.2,16715.0
2020-12-03 09:30:00,14.2,14.5,14.2,14.2,404442.0
2020-12-03 13:30:00,14.2,14.5,14.2,14.5,205717.0
2020-12-04 09:30:00,14.5,14.6,14.4,14.4,510161.0
2020-12-04 13:30:00,14.5,14.5,14.5,14.5,167.0
2020-12-07 09:30:00,14.1,14.5,14.1,14.2,13151.0
2020-12-07 13:30:00,14.4,14.4,14.3,14.4,15001.0
2020-12-08 09:30:00,14.4,14.4,14.3,14.4,19212.0
2020-12-08 13:30:00,14.4,14.4,14.4,14.4,461.0
2020-12-09 09:30:00,14.4,14.6,14.0,14.6,346896.0
2020-12-09 13:30:00,14.5,14.5,14.5,14.5,1000.0
2020-12-10 09:30:00,14.6,14.6,14.0,14.2,9685.0
2020-12-10 13:30:00,14.2,14.2,14.2,14.2,1150.0
2020-12-11 09:30:00,14.5,15.4,14.5,15.0,89115.0
2020-12-11 13:30:00,14.9,15.0,14.9,15.0,23500.0
2020-12-14 09:30:00,15.3,16.9,15.3,16.3,821325.0
2020-12-14 13:30:00,16.3,18.0,16.3,17.1,1002554.0
2020-12-15 09:30:00,17.5,18.5,17.5,18.1,432404.0
2020-12-15 13:30:00,18.2,18.5,18.0,18.0,112290.0
2020-12-16 09:30:00,18.3,19.0,17.6,18.6,930447.0
2020-12-16 13:30:00,18.6,18.6,18.1,18.1,22019.0
2020-12-17 09:30:00,18.9,19.0,18.0,18.0,126263.0
2020-12-17 13:30:00,18.4,18.4,18.0,18.0,50020.0
2020-12-18 09:30:00,18.1,18.7,18.0,18.0,128751.0
2020-12-18 13:30:00,18.0,18.4,17.9,18.1,40211.0
2020-12-21 09:30:00,18.1,18.1,17.6,17.9,10130.0
2020-12-21 13:30:00,17.9,17.9,17.5,17.9,18020.0
2020-12-22 09:30:00,17.0,18.4,16.9,18.4,32010.0
2020-12-22 13:30:00,17.6,17.6,17.6,17.6,1000.0
2020-12-23 09:30:00,17.7,18.0,17.1,17.1,1752.0
2020-12-23 13:30:00,17.5,18.0,17.1,17.8,19532.0
2020-12-24 09:30:00,18.0,18.5,17.3,17.4,148240.0
2020-12-24 13:30:00,17.3,17.3,17.1,17.1,6540.0
2020-12-28 09:30:00,17.5,17.5,17.0,17.5,13955.0
2020-12-28 13:30:00,17.3,17.3,17.3,17.3,5.0
2020-12-30 09:30:00,17.5,17.5,17.0,17.0,10825.0
2020-12-30 13:30:00,17.1,17.5,17.0,17.0,15161.0
2020-12-31 09:30:00,17.0,17.5,17.0,17.3,73255.0
2020-12-31 13:30:00,17.4,17.4,17.2,17.2,11481.0
2021-01-04 09:30:00,17.3,17.3,17.2,17.3,45675.0
2021-01-04 13:30:00,17.3,17.3,17.3,17.3,1210.0
2021-01-05 09:30:00,17.3,17.3,16.9,16.9,43571.0
2021-01-05 13:30:00,17.2,17.4,16.9,16.9,17000.0
2021-01-06 09:30:00,17.0,17.0,16.9,16.9,8548.0
2021-01-06 13:30:00,16.9,16.9,16.8,16.9,305.0
2021-01-07 09:30:00,16.8,16.9,16.7,16.9,2734.0
2021-01-07 13:30:00,16.7,16.7,16.7,16.7,50232.0
2021-01-08 09:30:00,16.8,17.0,16.8,16.8,2526.0
2021-01-08 13:30:00,16.7,16.9,16.7,16.9,215.0
2021-01-11 09:30:00,16.8,16.8,16.5,16.7,12691.0
2021-01-11 13:30:00,16.7,16.7,16.4,16.4,10738.0
2021-01-12 09:30:00,16.4,16.6,16.0,16.2,58567.0
2021-01-12 13:30:00,16.2,16.2,15.9,15.9,10489.0
2021-01-13 09:30:00,16.4,16.5,15.8,15.9,72261.0
2021-01-13 13:30:00,15.9,16.0,15.8,16.0,108400.0
2021-01-15 09:30:00,16.0,16.4,16.0,16.4,200032.0
2021-01-15 13:30:00,16.4,16.6,16.4,16.6,6145.0
2021-01-18 09:30:00,16.6,16.7,16.0,16.0,182522.0
2021-01-19 09:30:00,16.1,16.3,16.1,16.3,3160.0
2021-01-19 13:30:00,16.3,16.4,16.3,16.3,118776.0
2021-01-20 09:30:00,16.4,16.5,16.4,16.5,17265.0
2021-01-20 13:30:00,16.5,16.5,16.4,16.5,5952.0
2021-01-21 09:30:00,16.5,16.5,16.0,16.5,14655.0
2021-01-21 13:30:00,16.5,16.5,16.3,16.5,241609.0
2021-01-22 09:30:00,16.5,16.5,16.0,16.3,30322.0
2021-01-22 13:30:00,16.3,16.5,16.3,16.3,27024.0
2021-01-25 09:30:00,16.0,16.5,15.9,16.0,562124.0
2021-01-25 13:30:00,16.2,16.6,16.1,16.6,51795.0
2021-01-26 09:30:00,16.6,16.6,16.0,16.1,34257.0
2021-01-26 13:30:00,16.1,16.1,16.0,16.0,5200.0
2021-01-27 09:30:00,16.5,16.6,15.8,15.8,162114.0
2021-01-27 13:30:00,16.3,16.3,15.8,15.9,36690.0
2021-01-29 09:30:00,16.1,16.1,15.7,15.7,29994.0
2021-01-29 13:30:00,15.6,15.8,15.5,15.5,2156.0
2021-02-01 09:30:00,16.0,16.0,14.9,15.4,31869.0
2021-02-01 13:30:00,15.4,15.4,15.4,15.4,12000.0
2021-02-02 09:30:00,15.0,15.0,14.8,14.9,31857.0
2021-02-02 13:30:00,14.8,14.8,12.9,13.1,20452.0
2021-02-03 09:30:00,16.0,16.0,14.0,14.9,7060.0
2021-02-03 13:30:00,14.9,15.0,14.9,15.0,800.0
2021-02-05 09:30:00,15.6,15.6,14.8,15.4,2179.0
2021-02-05 13:30:00,15.1,15.1,14.8,14.8,39413.0
2021-02-08 09:30:00,14.8,15.6,14.7,14.7,129781.0
2021-02-08 13:30:00,14.7,14.7,14.2,14.2,5712.0
2021-02-09 09:30:00,14.3,14.3,13.6,14.0,16310.0
2021-02-10 09:30:00,14.0,14.7,14.0,14.0,22500.0
2021-02-10 13:30:00,14.0,14.0,13.9,14.0,8221.0
2021-02-11 09:30:00,14.0,14.9,13.5,13.5,5176.0
2021-02-11 13:30:00,14.0,14.9,13.5,13.5,43822.0
2021-02-12 09:30:00,14.5,14.8,14.5,14.5,1290.0
2021-02-12 13:30:00,14.5,14.5,14.0,14.0,18119.0
2021-02-15 09:30:00,14.3,14.6,14.0,14.6,18129.0
2021-02-15 13:30:00,14.6,14.6,14.3,14.3,704.0
2021-02-16 09:30:00,14.0,14.5,14.0,14.5,7040.0
2021-02-16 13:30:00,14.4,14.4,14.4,14.4,1.0
2021-02-17 09:30:00,14.5,14.6,13.7,14.1,106710.0
2021-02-17 13:30:00,14.1,14.1,14.0,14.0,1878.0
2021-02-18 09:30:00,14.6,14.8,14.6,14.7,7339.0
2021-02-18 13:30:00,14.7,14.7,14.6,14.7,2246.0
2021-02-19 09:30:00,14.7,14.7,14.3,14.3,2938.0
2021-02-19 13:30:00,14.4,14.4,14.4,14.4,2500.0
2021-02-22 09:30:00,14.8,14.9,14.6,14.6,3374.0
2021-02-22 13:30:00,14.7,14.7,14.7,14.7,1945.0
2021-02-23 09:30:00,14.3,14.9,14.0,14.0,1651.0
2021-02-23 13:30:00,14.1,14.1,14.1,14.1,1040.0
2021-02-24 09:30:00,14.1,14.1,14.1,14.1,515.0
2021-02-24 13:30:00,14.0,14.0,14.0,14.0,500.0
2021-02-25 09:30:00,14.0,14.7,14.0,14.7,102147.0
2021-02-25 13:30:00,14.7,14.7,14.7,14.7,302.0
2021-03-01 09:30:00,14.6,14.6,13.5,13.6,11011.0
2021-03-02 09:30:00,13.5,13.5,13.5,13.5,9000.0
2021-03-02 13:30:00,14.4,14.5,14.4,14.5,1000.0
2021-03-03 09:30:00,13.5,13.6,13.5,13.5,3750.0
2021-03-04 09:30:00,13.5,13.5,13.4,13.4,2100.0
2021-03-04 13:30:00,13.3,13.3,13.1,13.1,19795.0
2021-03-05 09:30:00,13.0,13.0,13.0,13.0,5000.0
2021-03-05 13:30:00,13.2,13.3,13.2,13.3,125.0
2021-03-08 09:30:00,13.4,13.9,13.4,13.9,7948.0
2021-03-08 13:30:00,13.5,13.9,13.4,13.9,1505.0
2021-03-09 09:30:00,13.9,13.9,13.9,13.9,1180.0
2021-03-09 13:30:00,13.5,13.5,13.5,13.5,15.0
2021-03-10 09:30:00,13.5,13.5,13.5,13.5,152.0
2021-03-10 13:30:00,13.5,13.5,13.5,13.5,174.0
2021-03-12 09:30:00,13.8,13.8,13.5,13.5,1038.0
2021-03-16 09:30:00,13.8,13.8,13.4,13.5,10261.0
2021-03-16 13:30:00,13.5,13.8,13.0,13.8,7740.0
2021-03-17 09:30:00,13.9,14.3,13.5,13.9,52258.0
2021-03-17 13:30:00,14.0,14.0,14.0,14.0,13957.0
2021-03-18 09:30:00,13.6,14.0,13.1,14.0,14904.0
2021-03-18 13:30:00,14.0,14.0,14.0,14.0,2447.0
2021-03-19 09:30:00,14.0,14.0,13.6,13.6,2668.0
2021-03-19 13:30:00,13.6,13.9,13.6,13.9,1577.0
2021-03-22 09:30:00,14.0,14.0,14.0,14.0,36100.0
2021-03-22 13:30:00,14.0,14.0,14.0,14.0,108950.0
2021-03-23 09:30:00,14.0,14.0,13.8,14.0,10116.0
2021-03-23 13:30:00,13.9,14.0,13.9,14.0,3453.0
2021-03-24 09:30:00,14.0,14.5,13.7,14.5,18449.0
2021-03-24 13:30:00,14.0,14.5,14.0,14.5,202.0
2021-03-25 09:30:00,14.5,14.7,14.1,14.7,490.0
2021-03-25 13:30:00,14.5,14.6,14.2,14.6,2497.0
2021-03-26 09:30:00,14.4,14.4,13.1,14.2,15914.0
2021-03-26 13:30:00,13.3,13.3,13.3,13.3,100.0
2021-03-29 09:30:00,14.2,14.2,14.2,14.2,230.0
2021-03-30 09:30:00,13.6,13.7,13.6,13.7,750.0
2021-03-30 13:30:00,13.8,13.8,13.6,13.6,52.0
