Date,Open,High,Low,Close,Volume
2021-01-18 09:30:00,15.7,16.9,15.7,16.3,298027.0
2021-01-18 13:30:00,16.5,17.0,16.5,16.6,90602.0
2021-01-19 09:30:00,16.8,16.8,16.4,16.5,68415.0
2021-01-19 13:30:00,16.4,16.4,16.4,16.4,200.0
2021-01-20 09:30:00,16.5,16.5,16.1,16.1,21302.0
2021-01-20 13:30:00,16.1,16.5,16.1,16.5,11100.0
2021-01-21 09:30:00,16.2,16.2,15.9,16.0,4028.0
2021-01-21 13:30:00,16.2,16.5,16.2,16.5,70.0
2021-01-22 09:30:00,16.0,16.5,16.0,16.0,14467.0
2021-01-22 13:30:00,16.0,16.3,16.0,16.1,502.0
2021-01-25 09:30:00,16.2,19.5,16.1,17.6,186420.0
2021-01-25 13:30:00,17.0,17.5,17.0,17.5,2825.0
2021-01-26 09:30:00,17.4,17.9,16.5,17.8,141110.0
2021-01-26 13:30:00,17.7,17.8,17.3,17.4,180542.0
2021-01-27 09:30:00,17.5,17.5,16.3,16.9,12845.0
2021-01-27 13:30:00,16.9,16.9,16.9,16.9,3.0
2021-01-29 09:30:00,16.5,17.0,15.7,15.7,27901.0
2021-01-29 13:30:00,16.9,17.0,16.0,17.0,310.0
2021-02-01 09:30:00,17.0,17.4,16.0,16.0,29561.0
2021-02-01 13:30:00,16.0,16.8,15.5,16.8,3775.0
2021-02-02 09:30:00,16.7,16.7,15.9,15.9,4540.0
2021-02-02 13:30:00,15.9,15.9,15.1,15.1,18000.0
2021-02-03 09:30:00,15.1,15.5,14.5,15.5,22861.0
2021-02-03 13:30:00,15.2,15.7,15.1,15.5,2034.0
2021-02-05 09:30:00,15.0,15.8,15.0,15.7,10522.0
2021-02-05 13:30:00,15.3,15.3,15.1,15.1,11600.0
2021-02-08 09:30:00,15.2,16.1,14.9,14.9,16690.0
2021-02-08 13:30:00,14.9,15.0,14.5,15.0,30281.0
2021-02-09 09:30:00,15.0,15.0,14.5,14.6,52712.0
2021-02-09 13:30:00,15.0,15.0,15.0,15.0,138.0
2021-02-10 09:30:00,14.5,14.8,14.3,14.3,405.0
2021-02-10 13:30:00,14.2,14.2,13.8,13.8,27949.0
2021-02-11 09:30:00,13.8,14.0,12.0,12.2,18535.0
2021-02-11 13:30:00,14.0,14.0,12.1,13.9,1234.0
2021-02-12 09:30:00,14.6,15.0,13.0,14.9,78774.0
2021-02-12 13:30:00,14.6,14.6,14.6,14.6,752.0
2021-02-15 09:30:00,14.5,15.2,14.5,15.2,4855.0
2021-02-15 13:30:00,14.5,14.5,14.5,14.5,100.0
2021-02-16 09:30:00,13.6,14.4,13.0,14.4,16799.0
2021-02-17 09:30:00,13.0,13.0,13.0,13.0,200.0
2021-02-17 13:30:00,13.1,13.1,13.0,13.0,9248.0
2021-02-18 09:30:00,13.5,14.8,13.5,14.8,1121.0
2021-02-18 13:30:00,14.4,14.4,14.4,14.4,701.0
2021-02-19 09:30:00,14.0,14.9,13.8,14.5,2015.0
2021-02-22 09:30:00,14.8,14.8,13.6,13.6,2050.0
2021-02-22 13:30:00,13.6,13.6,13.6,13.6,500.0
2021-02-23 09:30:00,13.6,13.6,13.5,13.5,3590.0
2021-02-23 13:30:00,13.5,14.4,13.0,13.0,6446.0
2021-02-24 09:30:00,13.0,14.9,13.0,13.8,14675.0
2021-02-24 13:30:00,14.1,14.2,14.1,14.2,3525.0
2021-02-25 09:30:00,13.2,13.2,13.1,13.1,500.0
2021-02-25 13:30:00,14.0,14.0,14.0,14.0,200.0
2021-03-01 09:30:00,14.0,14.5,14.0,14.0,10500.0
