Date,Open,High,Low,Close,Volume
2023-05-19 09:30:00,11.2,11.2,11.1,11.2,2088.0
2023-05-19 13:30:00,11.1,11.1,11.0,11.0,1100.0
2023-05-22 09:30:00,11.0,11.2,11.0,11.2,813.0
2023-05-22 13:30:00,11.0,11.0,11.0,11.0,100.0
2023-05-23 09:30:00,11.0,11.2,11.0,11.2,2547.0
2023-05-24 09:30:00,11.2,11.2,11.0,11.2,7525.0
2023-05-25 09:30:00,11.2,11.2,11.1,11.1,104820.0
2023-05-25 13:30:00,11.0,11.0,11.0,11.0,1.0
2023-05-26 09:30:00,11.0,11.2,11.0,11.2,11644.0
2023-05-29 09:30:00,11.2,11.2,10.9,10.9,1552.0
2023-05-29 13:30:00,10.3,10.3,10.0,10.3,6052.0
2023-05-30 09:30:00,10.3,10.4,10.0,10.4,3875.0
2023-05-30 13:30:00,10.4,10.4,10.4,10.4,1765.0
2023-05-31 09:30:00,10.5,11.1,10.0,10.0,4005.0
2023-05-31 13:30:00,10.1,10.1,10.0,10.0,2500.0
2023-06-01 09:30:00,10.9,11.1,10.5,10.5,8085.0
2023-06-01 13:30:00,11.0,11.0,11.0,11.0,1000.0
2023-06-02 09:30:00,11.2,11.4,10.6,11.4,6829.0
2023-06-02 13:30:00,11.2,11.2,11.2,11.2,76.0
2023-06-05 09:30:00,11.4,11.4,10.6,11.4,520.0
2023-06-05 13:30:00,11.3,11.3,11.1,11.1,135.0
2023-06-06 09:30:00,11.2,11.2,11.2,11.2,100.0
2023-06-07 09:30:00,10.6,10.7,10.6,10.7,732.0
2023-06-07 13:30:00,11.3,11.3,11.3,11.3,10.0
2023-06-08 09:30:00,10.8,11.4,10.8,11.4,2100.0
2023-06-09 09:30:00,11.3,11.4,11.3,11.4,4010.0
2023-06-09 13:30:00,11.4,11.8,11.4,11.8,1300.0
2023-06-12 09:30:00,10.8,11.3,10.7,11.3,251.0
2023-06-13 09:30:00,11.3,11.3,11.1,11.3,3188.0
2023-06-13 13:30:00,11.3,11.7,11.3,11.7,3100.0
2023-06-14 09:30:00,11.5,11.7,11.1,11.7,2578.0
2023-06-14 13:30:00,11.2,11.2,11.2,11.2,1000.0
2023-06-15 09:30:00,11.8,11.8,11.7,11.7,10.0
2023-06-16 09:30:00,11.8,11.8,11.0,11.0,14241.0
2023-06-16 13:30:00,11.8,11.8,11.8,11.8,3.0
2023-06-19 09:30:00,11.5,11.5,11.5,11.5,390.0
2023-06-20 09:30:00,11.0,11.7,10.6,11.6,9012.0
2023-06-21 09:30:00,11.0,11.1,11.0,11.0,100.0
2023-06-21 13:30:00,11.0,11.0,11.0,11.0,55.0
2023-06-22 09:30:00,10.6,11.4,10.6,10.8,45.0
2023-06-23 09:30:00,11.4,11.4,11.0,11.4,511.0
2023-06-26 09:30:00,11.4,11.4,10.8,10.9,22.0
2023-06-26 13:30:00,10.8,10.8,10.7,10.7,1180.0
2023-06-27 09:30:00,10.8,10.8,10.8,10.8,100.0
2023-06-28 09:30:00,10.8,11.0,10.8,11.0,460.0
2023-07-04 09:30:00,11.0,11.3,11.0,11.3,786.0
