Date,Open,High,Low,Close,Volume
2023-03-01 09:30:00,11.2,11.2,10.5,11.1,2261.0
2023-03-02 09:30:00,11.1,11.1,11.1,11.1,109.0
2023-03-03 09:30:00,10.4,11.4,10.4,11.4,300.0
2023-03-07 09:30:00,11.3,11.3,11.3,11.3,106.0
2023-03-08 09:30:00,11.3,11.3,11.3,11.3,1.0
2023-03-09 09:30:00,11.3,11.3,11.3,11.3,1.0
2023-03-10 09:30:00,11.3,11.3,11.3,11.3,100.0
2023-03-13 09:30:00,11.3,11.3,11.3,11.3,1.0
2023-03-14 09:30:00,11.3,11.3,11.3,11.3,1.0
2023-03-15 09:30:00,11.2,11.2,10.4,10.4,91.0
2023-03-16 09:30:00,11.0,11.0,11.0,11.0,25.0
2023-03-17 09:30:00,10.9,11.2,10.9,11.2,93.0
2023-03-21 09:30:00,11.1,11.1,11.1,11.1,100.0
2023-03-22 09:30:00,11.3,11.3,11.3,11.3,12.0
2023-03-23 09:30:00,11.3,11.3,10.5,10.6,7371.0
2023-03-24 09:30:00,11.2,11.3,11.2,11.2,600.0
2023-03-27 09:30:00,11.5,11.5,11.3,11.3,12.0
2023-03-30 09:30:00,11.2,11.3,11.2,11.3,739.0
2023-03-31 09:30:00,11.3,11.4,11.3,11.4,7500.0
2023-04-04 09:30:00,11.4,11.4,11.4,11.4,100.0
2023-04-10 09:30:00,11.4,11.4,11.4,11.4,2.0
2023-04-12 09:30:00,11.4,11.4,11.4,11.4,1.0
2023-04-17 09:30:00,11.5,11.5,11.0,11.0,401.0
2023-04-17 13:30:00,11.4,11.7,11.4,11.5,3370.0
2023-04-19 09:30:00,10.4,10.4,10.1,10.1,7000.0
2023-04-19 13:30:00,11.5,11.5,11.5,11.5,105.0
2023-04-20 09:30:00,10.2,10.2,10.2,10.2,2.0
2023-04-20 13:30:00,11.0,11.0,11.0,11.0,100.0
2023-04-21 09:30:00,11.5,11.5,11.5,11.5,1.0
2023-04-21 13:30:00,11.0,11.0,11.0,11.0,1000.0
2023-04-24 09:30:00,10.4,10.4,9.8,9.8,9575.0
2023-04-24 13:30:00,10.0,11.5,9.9,11.5,413.0
