Date,Open,High,Low,Close,Volume
2024-05-09 09:30:00,49.4,49.4,48.8,48.8,17103.0
2024-05-09 10:30:00,48.8,49.3,48.3,48.8,156315.0
2024-05-09 11:30:00,49.0,49.2,49.0,49.2,109408.0
2024-05-09 12:30:00,49.0,49.2,48.6,48.9,81553.0
2024-05-09 13:30:00,48.8,49.6,48.8,49.6,95845.0
2024-05-10 09:30:00,49.7,49.8,49.0,49.7,58263.0
2024-05-10 10:30:00,49.7,49.7,48.5,49.0,106530.0
2024-05-10 11:30:00,49.0,49.0,48.7,48.7,67866.0
2024-05-10 12:30:00,48.9,49.5,48.7,49.5,16637.0
2024-05-10 13:30:00,49.5,49.5,48.7,49.4,13634.0
2024-05-13 09:30:00,49.8,49.8,48.8,48.9,32402.0
2024-05-13 10:30:00,48.9,49.4,48.9,49.0,32357.0
2024-05-13 11:30:00,49.1,49.1,48.8,49.0,12303.0
2024-05-13 12:30:00,49.0,49.6,49.0,49.0,191335.0
2024-05-13 13:30:00,49.3,49.3,49.0,49.3,13550.0
2024-05-14 09:30:00,49.0,49.5,48.6,49.0,98108.0
2024-05-14 10:30:00,49.0,49.5,48.5,49.5,76174.0
2024-05-14 11:30:00,49.5,49.5,48.9,48.9,10775.0
2024-05-14 12:30:00,48.9,48.9,48.5,48.7,83107.0
2024-05-14 13:30:00,48.7,49.0,48.5,48.6,54316.0
2024-05-15 09:30:00,49.0,49.4,48.6,49.4,18712.0
2024-05-15 10:30:00,49.4,49.4,49.0,49.2,3631.0
2024-05-15 11:30:00,49.1,49.2,48.9,48.9,12327.0
2024-05-15 12:30:00,48.9,49.3,48.9,49.3,19380.0
2024-05-15 13:30:00,48.9,48.9,48.5,48.6,76760.0
2024-05-16 09:30:00,49.0,49.0,48.5,48.8,1911.0
2024-05-16 10:30:00,48.7,48.7,48.4,48.4,21303.0
2024-05-16 11:30:00,48.4,48.7,48.3,48.4,18625.0
2024-05-16 12:30:00,48.5,48.5,48.4,48.5,35150.0
2024-05-16 13:30:00,48.5,48.7,48.5,48.5,22406.0
2024-05-17 09:30:00,48.6,48.8,48.3,48.3,28081.0
2024-05-17 10:30:00,48.8,48.8,48.3,48.4,1608.0
2024-05-17 11:30:00,48.5,48.5,48.3,48.4,49921.0
2024-05-17 12:30:00,48.4,48.5,48.3,48.5,31492.0
2024-05-17 13:30:00,48.5,48.6,48.3,48.5,13222.0
2024-05-20 09:30:00,48.3,48.9,48.2,48.5,21884.0
2024-05-20 10:30:00,48.7,48.7,47.7,48.1,119103.0
