Date,Open,High,Low,Close,Volume
2020-08-20 09:30:00,26.4,27.0,26.4,27.0,1104.0
2020-08-20 13:30:00,27.8,28.0,27.0,27.5,13408.0
2020-08-21 09:30:00,27.5,28.0,27.5,27.5,387.0
2020-08-24 13:30:00,28.3,28.4,28.3,28.4,200.0
2020-08-27 13:30:00,27.5,27.5,27.5,27.5,200.0
2020-08-28 09:30:00,27.2,27.2,27.1,27.1,601.0
2020-09-03 09:30:00,28.0,28.0,28.0,28.0,700.0
2020-09-03 13:30:00,28.0,28.0,28.0,28.0,200.0
2020-09-04 09:30:00,28.0,28.0,28.0,28.0,1000.0
2020-09-04 13:30:00,28.0,28.0,28.0,28.0,1000.0
2020-09-07 09:30:00,28.0,28.0,28.0,28.0,8776.0
2020-09-08 13:30:00,29.8,29.8,29.8,29.8,1.0
2020-09-10 09:30:00,29.0,29.0,29.0,29.0,100.0
2020-09-11 09:30:00,28.9,29.0,28.9,29.0,3570.0
2020-09-11 13:30:00,29.0,29.0,29.0,29.0,300.0
2020-09-14 09:30:00,29.8,29.9,29.0,29.0,4955.0
2020-09-15 09:30:00,29.9,30.4,29.9,30.4,1457.0
2020-09-16 09:30:00,29.6,30.9,29.4,29.4,6183.0
2020-09-17 09:30:00,29.9,30.9,29.9,29.9,6185.0
2020-09-18 09:30:00,29.4,29.4,29.4,29.4,1000.0
2020-09-21 09:30:00,29.5,29.5,29.4,29.4,9975.0
2020-09-21 13:30:00,29.0,29.0,28.9,28.9,727.0
2020-09-22 09:30:00,30.0,30.0,30.0,30.0,6773.0
2020-09-23 09:30:00,30.0,30.2,30.0,30.2,3445.0
2020-09-23 13:30:00,30.2,30.2,30.2,30.2,50.0
2020-09-24 09:30:00,29.5,29.5,29.5,29.5,1000.0
2020-09-25 13:30:00,29.2,29.2,29.0,29.0,1200.0
2020-09-28 09:30:00,29.1,29.1,29.0,29.0,4936.0
2020-09-28 13:30:00,29.9,29.9,29.9,29.9,100.0
2020-09-29 09:30:00,29.1,29.1,29.1,29.1,236.0
2020-09-30 09:30:00,29.1,29.1,29.1,29.1,1000.0
2020-10-02 09:30:00,29.1,29.1,29.1,29.1,800.0
2020-10-05 09:30:00,28.2,28.3,27.0,28.2,14100.0
2020-10-06 09:30:00,28.0,28.0,28.0,28.0,527.0
2020-10-07 09:30:00,28.0,28.0,28.0,28.0,1373.0
2020-10-08 09:30:00,28.0,28.0,28.0,28.0,50.0
2020-10-09 09:30:00,28.0,28.0,27.8,27.8,1660.0
2020-10-13 09:30:00,28.8,29.0,28.8,29.0,1135.0
2020-10-14 09:30:00,30.0,30.0,30.0,30.0,1.0
2020-10-15 09:30:00,29.9,29.9,29.0,29.0,2024.0
2020-10-16 09:30:00,29.9,30.0,29.9,30.0,13910.0
2020-10-16 13:30:00,30.3,30.3,30.3,30.3,100.0
2020-10-19 09:30:00,30.0,30.4,30.0,30.4,4163.0
2020-10-20 09:30:00,30.4,30.4,29.0,29.0,96460.0
2020-10-21 09:30:00,29.3,29.3,28.6,28.6,38.0
2020-10-23 09:30:00,28.1,28.1,28.1,28.1,249.0
2020-10-26 09:30:00,28.5,28.5,28.5,28.5,123.0
2020-10-27 09:30:00,27.1,27.1,27.1,27.1,1.0
2020-10-28 09:30:00,29.9,29.9,29.9,29.9,38.0
2020-10-29 09:30:00,28.4,28.4,28.4,28.4,19.0
2020-11-05 13:30:00,29.8,29.8,29.8,29.8,19.0
2020-11-06 09:30:00,29.0,29.0,29.0,29.0,250.0
2020-11-06 13:30:00,29.7,29.7,29.6,29.7,220.0
2020-11-11 09:30:00,29.0,29.0,29.0,29.0,12617.0
2020-11-16 09:30:00,30.4,35.0,30.4,32.5,26110.0
2020-11-16 13:30:00,32.8,34.7,32.5,32.5,12537.0
2020-11-17 09:30:00,33.5,35.0,32.0,32.0,52442.0
2020-11-17 13:30:00,31.1,31.1,31.1,31.1,100.0
2020-11-18 09:30:00,34.5,35.4,32.5,35.0,15830.0
2020-11-18 13:30:00,35.0,35.3,35.0,35.3,1159.0
2020-11-19 09:30:00,35.3,35.3,33.5,33.5,1203.0
2020-11-20 09:30:00,35.0,35.1,35.0,35.0,328.0
2020-11-20 13:30:00,35.0,35.0,35.0,35.0,1.0
2020-11-23 09:30:00,34.5,35.1,34.5,35.0,4332.0
2020-11-23 13:30:00,35.1,35.1,35.1,35.1,18.0
2020-11-24 09:30:00,35.1,35.3,35.0,35.3,2267.0
2020-11-24 13:30:00,35.3,35.3,35.3,35.3,58.0
2020-11-25 09:30:00,35.4,37.8,35.4,36.5,1563.0
2020-11-25 13:30:00,36.5,36.5,36.5,36.5,2.0
2020-11-26 09:30:00,36.3,36.3,36.3,36.3,185.0
2020-11-30 09:30:00,33.8,36.3,33.8,36.2,312.0
2020-12-01 13:30:00,35.9,36.0,34.0,34.0,1233.0
2020-12-02 09:30:00,35.8,35.8,34.0,34.1,2992.0
2020-12-02 13:30:00,34.1,34.1,34.0,34.0,450.0
2020-12-03 09:30:00,35.0,35.0,34.0,35.0,1006.0
2020-12-03 13:30:00,35.0,35.0,33.8,33.8,62.0
2020-12-04 09:30:00,34.0,34.0,33.0,33.0,3995.0
2020-12-04 13:30:00,34.0,34.0,34.0,34.0,1.0
2020-12-07 09:30:00,34.9,34.9,33.0,34.9,2002.0
2020-12-08 09:30:00,34.9,34.9,34.9,34.9,12.0
2020-12-08 13:30:00,34.9,34.9,34.0,34.0,1012.0
2020-12-09 09:30:00,34.9,34.9,33.6,33.6,3016.0
2020-12-09 13:30:00,33.6,34.8,33.6,34.8,2305.0
2020-12-10 09:30:00,34.0,34.0,34.0,34.0,100.0
2020-12-10 13:30:00,34.0,34.0,34.0,34.0,1.0
2020-12-11 09:30:00,33.5,33.5,33.0,33.0,3505.0
2020-12-11 13:30:00,33.1,33.1,33.0,33.0,2600.0
2020-12-14 09:30:00,33.0,34.5,32.6,33.0,17113.0
2020-12-14 13:30:00,33.0,33.0,33.0,33.0,860.0
2020-12-15 09:30:00,33.9,33.9,33.0,33.0,4928.0
2020-12-15 13:30:00,33.0,33.0,33.0,33.0,120.0
2020-12-16 09:30:00,32.9,33.0,32.7,33.0,1304.0
2020-12-16 13:30:00,33.0,33.0,33.0,33.0,501.0
2020-12-17 09:30:00,33.0,33.0,33.0,33.0,1775.0
2020-12-17 13:30:00,32.7,32.7,32.5,32.5,100.0
2020-12-18 09:30:00,32.6,33.0,32.6,33.0,298.0
2020-12-18 13:30:00,32.6,32.6,32.0,32.0,1300.0
2020-12-21 09:30:00,33.0,33.0,32.1,32.1,1221.0
2020-12-21 13:30:00,32.1,32.8,32.1,32.8,488.0
2020-12-24 09:30:00,32.9,32.9,32.0,32.9,4009.0
2020-12-24 13:30:00,32.6,32.6,32.2,32.2,510.0
2020-12-28 09:30:00,32.9,33.0,32.9,33.0,500.0
2020-12-28 13:30:00,33.0,33.0,33.0,33.0,11125.0
2020-12-30 09:30:00,33.0,33.0,33.0,33.0,9000.0
2020-12-30 13:30:00,33.0,33.0,33.0,33.0,511.0
2020-12-31 09:30:00,33.5,33.5,33.0,33.0,4310.0
2020-12-31 13:30:00,33.0,33.0,32.5,32.6,4566.0
2021-01-04 09:30:00,33.4,35.0,33.4,34.0,10066.0
2021-01-05 09:30:00,34.4,34.4,34.4,34.4,30.0
2021-01-05 13:30:00,34.0,34.0,34.0,34.0,50.0
2021-01-06 09:30:00,34.4,37.1,34.4,36.5,40462.0
2021-01-06 13:30:00,36.4,36.4,36.4,36.4,10.0
2021-01-07 09:30:00,35.1,35.1,34.2,34.5,2836.0
2021-01-07 13:30:00,34.5,34.5,34.0,34.0,5570.0
2021-01-08 09:30:00,34.2,36.4,32.0,36.4,3431.0
2021-01-08 13:30:00,35.0,35.0,35.0,35.0,10.0
2021-01-11 09:30:00,33.3,33.3,33.3,33.3,500.0
2021-01-12 09:30:00,33.5,35.9,33.5,33.8,11651.0
2021-01-13 09:30:00,35.6,35.6,35.0,35.0,1620.0
2021-01-13 13:30:00,35.0,35.6,35.0,35.0,9003.0
2021-01-15 09:30:00,34.0,34.0,34.0,34.0,2336.0
2021-01-18 09:30:00,34.0,34.1,33.6,33.6,5601.0
2021-01-18 13:30:00,33.7,33.7,33.0,33.0,2500.0
2021-01-19 09:30:00,33.2,34.0,33.1,34.0,7860.0
2021-01-19 13:30:00,33.1,33.1,33.1,33.1,800.0
2021-01-20 09:30:00,34.0,35.0,34.0,34.0,2515.0
2021-01-20 13:30:00,34.0,34.0,34.0,34.0,800.0
2021-01-21 09:30:00,34.0,34.5,33.4,33.4,2598.0
2021-01-21 13:30:00,33.8,33.8,33.5,33.8,3886.0
2021-01-22 09:30:00,33.0,35.6,33.0,33.3,6927.0
