Date,Open,High,Low,Close,Volume
2021-07-28 09:30:00,14.9,14.9,14.7,14.8,12765.0
2021-07-29 09:30:00,14.7,14.8,14.6,14.8,26727.0
2021-07-30 09:30:00,14.6,15.7,14.6,14.9,447858.0
2021-08-02 09:30:00,15.2,15.4,14.8,14.8,18976.0
2021-08-03 09:30:00,14.6,15.2,14.5,15.0,57824.0
2021-08-04 09:30:00,14.9,15.0,14.5,15.0,16579.0
2021-08-05 09:30:00,14.7,14.9,14.0,14.2,115759.0
2021-08-06 09:30:00,14.3,14.5,14.2,14.2,3925.0
2021-08-09 09:30:00,14.3,15.4,14.2,15.0,142549.0
2021-08-10 09:30:00,15.0,15.3,14.0,14.5,60620.0
2021-08-11 09:30:00,14.9,15.0,14.8,15.0,119108.0
2021-08-12 09:30:00,14.8,15.1,14.4,14.8,28654.0
2021-08-13 09:30:00,14.4,15.0,14.4,14.7,10594.0
2021-08-16 09:30:00,14.9,14.9,14.3,14.3,5462.0
2021-08-17 09:30:00,14.5,14.8,14.5,14.5,5820.0
2021-08-18 09:30:00,14.7,14.8,14.5,14.6,23193.0
2021-08-19 09:30:00,14.5,14.5,14.0,14.5,23009.0
2021-08-20 09:30:00,14.0,14.8,14.0,14.3,34318.0
2021-08-23 09:30:00,14.8,14.8,14.0,14.8,42298.0
2021-08-24 09:30:00,14.2,14.7,13.9,13.9,127333.0
2021-08-25 09:30:00,14.0,14.4,13.9,13.9,16539.0
2021-08-26 09:30:00,13.9,14.4,13.9,14.1,10501.0
2021-08-27 09:30:00,14.0,14.4,13.5,13.8,36501.0
2021-08-30 09:30:00,13.8,14.0,13.7,13.8,15807.0
2021-08-31 09:30:00,14.0,14.0,13.5,13.9,17597.0
2021-09-01 09:30:00,13.9,14.0,13.0,13.2,152005.0
2021-09-02 09:30:00,13.5,14.0,13.5,13.7,36330.0
2021-09-03 09:30:00,14.0,14.1,13.8,13.9,29775.0
2021-09-06 09:30:00,14.0,14.0,13.8,13.8,2160.0
2021-09-07 09:30:00,13.8,13.8,13.7,13.7,7110.0
2021-09-08 09:30:00,13.7,13.9,13.5,13.9,35540.0
2021-09-09 09:30:00,13.6,15.0,13.5,14.8,51714.0
2021-09-10 09:30:00,14.6,14.8,14.1,14.2,4634.0
2021-09-13 09:30:00,13.5,13.5,13.5,13.5,978.0
2021-09-14 09:30:00,14.4,14.5,13.5,13.5,3003.0
2021-09-15 09:30:00,14.0,14.2,13.6,13.6,11058.0
2021-09-16 09:30:00,13.7,14.0,13.6,13.9,7080.0
2021-09-21 09:30:00,14.0,14.0,14.0,14.0,10.0
2021-09-22 09:30:00,13.6,14.0,13.5,13.9,2022.0
2021-09-23 09:30:00,13.6,13.7,13.6,13.7,5600.0
2021-09-24 09:30:00,13.5,13.9,13.5,13.8,5777.0
2021-09-27 09:30:00,13.8,13.9,13.5,13.8,107823.0
2021-09-28 09:30:00,13.9,14.4,13.5,13.5,17831.0
2021-09-29 09:30:00,13.6,14.1,13.5,13.9,15460.0
2021-09-30 09:30:00,13.6,13.8,13.5,13.8,16456.0
2021-10-01 09:30:00,13.4,14.0,13.4,14.0,2883.0
2021-10-04 09:30:00,13.6,14.3,13.6,14.3,186131.0
2021-10-05 09:30:00,14.5,15.5,14.4,14.6,583557.0
2021-10-06 09:30:00,15.1,15.1,14.6,14.6,50364.0
2021-10-07 09:30:00,14.3,15.7,14.3,15.7,534696.0
2021-10-08 09:30:00,15.7,15.7,15.0,15.0,170090.0
2021-10-11 09:30:00,15.4,16.4,15.0,15.9,1552613.0
2021-10-12 09:30:00,15.9,17.4,15.9,16.799999,4398420.0
2021-10-13 09:30:00,16.9,16.9,15.9,16.0,1457153.0
2021-10-14 09:30:00,16.5,16.799999,16.0,16.200001,412267.0
2021-10-15 09:30:00,16.299999,16.799999,16.1,16.6,425553.0
2021-10-18 09:30:00,16.6,17.0,16.5,16.5,384731.0
2021-10-21 09:30:00,16.4,16.799999,15.9,16.1,221114.0
2021-10-22 09:30:00,16.0,16.799999,15.8,16.299999,319099.0
2021-10-25 09:30:00,15.9,16.700001,15.8,16.5,499474.0
2021-10-26 09:30:00,16.0,16.6,16.0,16.200001,233582.0
2021-10-27 09:30:00,16.0,16.299999,15.9,16.0,316662.0
2021-10-28 09:30:00,15.9,16.200001,15.9,16.0,438474.0
2021-10-29 09:30:00,16.0,16.4,16.0,16.0,127920.0
2021-11-01 09:30:00,16.0,16.4,15.9,16.0,152603.0
2021-11-02 09:30:00,16.299999,16.299999,15.8,16.0,170454.0
2021-11-03 09:30:00,15.9,16.0,15.6,15.8,95113.0
2021-11-05 09:30:00,15.8,15.9,15.6,15.6,38408.0
2021-11-08 09:30:00,15.5,16.299999,15.5,16.0,391121.0
2021-11-09 09:30:00,16.1,16.700001,15.9,16.6,1081463.0
2021-11-10 09:30:00,16.1,19.299999,16.1,18.799999,3525150.0
2021-11-11 09:30:00,19.200001,19.9,18.5,19.6,1721852.0
2021-11-12 09:30:00,19.9,19.9,18.5,18.9,376343.0
2021-11-15 09:30:00,18.0,20.5,16.5,20.200001,1449995.0
2021-11-16 09:30:00,19.9,20.9,18.6,19.6,1177697.0
2021-11-17 09:30:00,20.9,22.799999,19.799999,21.6,4179221.0
2021-11-19 09:30:00,22.0,22.0,20.1,21.0,262008.0
2021-11-22 09:30:00,20.0,21.4,19.9,20.9,529787.0
2021-11-23 09:30:00,21.0,21.0,19.799999,20.0,180268.0
2021-11-24 09:30:00,19.799999,20.5,19.799999,19.9,393406.0
2021-11-25 09:30:00,20.0,21.299999,20.0,20.5,306999.0
2021-11-26 09:30:00,21.0,24.0,20.5,23.5,4432666.0
2021-11-29 09:30:00,24.5,24.5,22.0,22.299999,2395834.0
2021-11-30 09:30:00,24.0,24.0,21.700001,22.200001,935415.0
2021-12-01 09:30:00,23.5,23.5,21.9,22.0,350229.0
2021-12-02 09:30:00,21.5,22.5,21.200001,21.200001,120270.0
2021-12-03 09:30:00,21.6,22.200001,21.299999,21.299999,57072.0
2021-12-06 09:30:00,21.1,22.200001,21.0,22.1,50568.0
2021-12-07 09:30:00,22.0,23.4,22.0,23.0,1151170.0
2021-12-08 09:30:00,23.200001,25.5,23.0,24.5,1370671.0
2021-12-09 09:30:00,25.0,25.1,23.799999,23.9,128495.0
2021-12-10 09:30:00,23.6,27.799999,23.5,27.799999,2753268.0
2021-12-13 09:30:00,28.0,28.0,26.299999,26.9,809613.0
2021-12-14 09:30:00,27.4,28.9,26.6,27.9,2042740.0
2021-12-15 09:30:00,28.0,28.1,26.6,27.0,859229.0
2021-12-16 09:30:00,27.0,27.0,25.9,26.0,202002.0
2021-12-17 09:30:00,26.1,26.5,25.0,25.0,348609.0
2021-12-20 09:30:00,26.0,27.0,25.0,25.200001,189833.0
2021-12-21 09:30:00,25.1,25.9,25.0,25.799999,140789.0
2021-12-22 09:30:00,25.200001,26.799999,25.200001,26.299999,48826.0
2021-12-23 09:30:00,26.9,27.0,25.5,26.0,380995.0
2021-12-27 09:30:00,26.0,27.0,25.5,25.5,74989.0
2021-12-28 09:30:00,25.4,26.4,25.200001,26.4,44127.0
2021-12-29 09:30:00,26.0,26.5,25.5,26.299999,875059.0
2021-12-30 09:30:00,26.0,26.4,25.0,25.0,151269.0
2021-12-31 09:30:00,26.0,26.0,25.0,25.1,22216.0
2022-01-03 09:30:00,26.0,26.299999,25.6,25.9,283857.0
2022-01-04 09:30:00,25.9,26.799999,25.1,25.299999,168605.0
2022-01-05 09:30:00,26.200001,26.799999,25.9,26.0,623750.0
2022-01-06 09:30:00,26.0,27.799999,25.799999,26.299999,214658.0
2022-01-07 09:30:00,27.9,27.9,25.799999,26.6,75752.0
2022-01-10 09:30:00,25.700001,27.1,25.5,26.6,77490.0
2022-01-11 09:30:00,25.200001,25.299999,24.6,25.299999,89485.0
2022-01-12 09:30:00,24.799999,26.5,24.799999,25.700001,51475.0
2022-01-13 09:30:00,25.700001,25.700001,24.5,25.0,60820.0
2022-01-18 09:30:00,24.6,25.5,24.6,25.0,31756.0
2022-01-19 09:30:00,25.299999,27.0,25.0,26.0,257796.0
2022-01-20 09:30:00,26.700001,26.700001,25.4,25.4,14204.0
2022-01-21 09:30:00,25.5,27.5,25.5,27.0,1704479.0
2022-01-24 09:30:00,27.4,27.5,26.0,27.0,136257.0
2022-01-25 09:30:00,27.6,27.6,26.0,26.9,99989.0
2022-01-26 09:30:00,25.799999,26.9,25.1,25.299999,39675.0
2022-01-27 09:30:00,27.0,27.0,25.0,25.9,71683.0
2022-01-28 09:30:00,24.9,26.200001,24.0,24.6,21877.0
2022-01-31 09:30:00,25.0,26.5,25.0,26.0,147707.0
2022-02-01 09:30:00,24.0,27.9,24.0,26.700001,549243.0
2022-02-02 09:30:00,26.6,27.5,25.5,25.6,107602.0
2022-02-03 09:30:00,25.4,27.0,25.200001,27.0,61343.0
2022-02-07 09:30:00,27.0,27.200001,25.6,26.5,167795.0
2022-02-08 09:30:00,26.9,27.0,25.0,25.6,57027.0
2022-02-09 09:30:00,26.0,26.5,23.700001,24.0,245635.0
2022-02-10 09:30:00,23.6,25.4,23.6,24.0,27842.0
2022-02-11 09:30:00,25.5,25.5,24.5,24.700001,90918.0
2022-02-14 09:30:00,25.0,25.5,24.4,24.5,68904.0
2022-02-15 09:30:00,24.4,24.9,23.700001,24.5,82448.0
2022-02-17 09:30:00,24.5,26.0,23.6,24.0,158170.0
2022-02-18 09:30:00,23.700001,23.700001,23.0,23.6,37894.0
2022-02-21 09:30:00,23.1,23.5,19.299999,22.5,236343.0
2022-02-22 09:30:00,22.4,22.9,20.0,21.0,125044.0
2022-02-23 09:30:00,21.0,22.200001,19.5,21.799999,95344.0
2022-02-24 09:30:00,20.1,21.9,19.4,20.6,31557.0
2022-02-25 09:30:00,20.700001,20.799999,19.299999,20.0,27791.0
2022-02-28 09:30:00,20.299999,21.5,19.6,20.200001,18661.0
2022-03-02 09:30:00,20.1,21.5,19.9,20.700001,13168.0
2022-03-03 09:30:00,21.4,21.4,20.0,21.0,1516.0
2022-03-04 09:30:00,19.799999,20.799999,19.799999,20.0,2109.0
2022-03-07 09:30:00,20.5,20.5,19.5,19.5,6373.0
2022-03-08 09:30:00,19.4,19.4,19.0,19.0,24980.0
2022-03-09 09:30:00,19.0,19.1,18.0,19.0,63989.0
2022-03-10 09:30:00,18.700001,19.6,18.5,19.5,31255.0
2022-03-11 09:30:00,19.5,19.5,17.0,18.200001,30904.0
2022-03-14 09:30:00,18.0,18.0,16.0,16.1,27901.0
2022-03-15 09:30:00,17.0,17.0,15.8,16.5,6252.0
2022-03-16 09:30:00,15.8,16.799999,15.5,16.799999,15505.0
2022-03-18 09:30:00,16.700001,18.4,16.700001,17.799999,16785.0
2022-03-21 09:30:00,18.4,21.4,16.799999,20.200001,6738.0
2022-03-22 09:30:00,16.799999,20.5,16.799999,20.0,6431.0
2022-03-23 09:30:00,17.299999,19.9,17.0,18.9,21125.0
2022-03-24 09:30:00,17.4,18.9,17.4,18.9,61.0
2022-03-28 09:30:00,18.9,18.9,18.4,18.700001,1512.0
2022-03-29 09:30:00,18.200001,18.799999,17.200001,18.700001,106.0
2022-03-30 09:30:00,17.0,17.0,16.0,17.0,7047.0
2022-04-04 09:30:00,10.9,13.6,10.9,13.6,53673.0
2022-04-05 09:30:00,13.8,13.8,13.0,13.0,24979.0
2022-04-06 09:30:00,14.0,14.0,12.1,12.1,8804.0
2022-04-07 09:30:00,12.0,13.4,11.5,13.4,66100.0
2022-04-25 09:30:00,10.0,10.0,10.0,10.0,7200.0
2022-04-26 09:30:00,10.0,12.0,10.0,10.4,26190.0
2022-04-27 09:30:00,13.0,13.0,12.2,12.2,725.0
2022-04-28 09:30:00,12.8,12.8,11.5,11.5,30305.0
2022-05-04 09:30:00,11.5,12.0,11.0,12.0,11775.0
2022-05-11 09:30:00,11.9,12.0,11.9,12.0,1962.0
2022-05-12 09:30:00,12.0,12.8,12.0,12.8,22018.0
2022-05-17 09:30:00,12.2,12.3,11.8,12.0,99654.0
2022-05-18 09:30:00,11.9,11.9,11.6,11.6,4293.0
2022-05-19 09:30:00,11.5,12.0,11.5,12.0,31514.0
2022-05-23 09:30:00,12.0,13.0,12.0,13.0,25001.0
2022-05-24 09:30:00,12.0,12.0,11.8,11.8,4758.0
2022-05-25 09:30:00,11.8,12.0,11.6,11.6,187758.0
2022-05-26 09:30:00,11.8,11.8,11.5,11.5,730.0
2022-05-30 09:30:00,11.0,11.9,11.0,11.9,44443.0
2022-05-31 09:30:00,11.9,11.9,11.9,11.9,201.0
2022-06-01 09:30:00,11.2,11.8,11.0,11.0,5603.0
2022-06-02 09:30:00,11.0,11.0,10.9,10.9,3033.0
2022-06-07 09:30:00,11.2,11.4,10.8,10.8,37376.0
2022-06-08 09:30:00,11.0,11.0,10.6,11.0,25970.0
2022-06-09 09:30:00,11.0,11.0,11.0,11.0,929.0
2022-06-15 09:30:00,10.9,11.0,10.9,10.9,958.0
2022-06-16 09:30:00,11.0,11.0,10.5,10.5,10050.0
2022-06-20 09:30:00,10.9,11.2,10.9,11.0,503718.0
2022-06-21 09:30:00,11.0,12.0,11.0,12.0,134497.0
2022-06-22 09:30:00,12.3,13.5,12.0,13.5,327378.0
2022-06-23 09:30:00,13.8,14.5,12.7,12.8,1996591.0
2022-06-27 09:30:00,12.6,12.6,12.6,12.6,519.0
2022-06-29 09:30:00,13.0,13.0,13.0,13.0,1.0
