Date,Open,High,Low,Close,Volume
2022-01-06 10:30:00,13.6,13.7,13.6,13.6,178615.0
2022-01-06 11:30:00,13.62,13.9,13.62,13.8,237930.0
2022-01-06 12:30:00,13.8,13.9,13.6,13.9,611250.0
2022-01-06 13:30:00,13.9,13.9,13.6,13.6,188855.0
2022-01-07 10:30:00,13.8,14.0,13.8,13.8,738405.0
2022-01-07 11:30:00,13.94,13.94,13.7,13.7,82310.0
2022-01-07 12:30:00,13.66,13.66,13.54,13.54,126350.0
2022-01-07 13:30:00,13.54,13.6,13.52,13.6,336105.0
2022-01-10 10:30:00,13.6,13.6,13.48,13.48,117140.0
2022-01-10 11:30:00,13.48,13.54,13.04,13.54,163155.0
2022-01-10 12:30:00,13.44,13.44,13.04,13.4,59550.0
2022-01-10 13:30:00,13.4,13.4,13.04,13.04,35365.0
2022-01-11 10:30:00,13.0,13.02,12.4,12.64,1368660.0
2022-01-11 11:30:00,12.64,13.0,12.64,12.98,111650.0
2022-01-11 12:30:00,12.98,12.98,12.6,12.64,122075.0
2022-01-11 13:30:00,12.9,13.0,12.9,13.0,533030.0
2022-01-12 10:30:00,13.0,13.2,12.6,12.8,95825.0
2022-01-12 11:30:00,12.8,13.0,12.6,12.6,122405.0
2022-01-12 12:30:00,12.6,12.6,12.4,12.4,82210.0
2022-01-12 13:30:00,12.58,13.0,12.58,12.9,252230.0
2022-01-13 10:30:00,12.58,13.1,12.48,12.9,1075630.0
2022-01-13 11:30:00,12.9,13.0,12.5,12.8,150050.0
2022-01-13 12:30:00,12.94,13.0,12.7,12.7,404330.0
2022-01-13 13:30:00,12.8,12.98,12.7,12.94,494095.0
2022-01-18 10:30:00,12.9,13.24,12.56,13.24,58875.0
2022-01-18 11:30:00,13.18,13.18,12.8,13.04,22035.0
2022-01-18 12:30:00,13.0,13.16,13.0,13.16,39600.0
2022-01-18 13:30:00,13.18,13.18,13.0,13.0,798450.0
2022-01-19 10:30:00,12.82,13.3,12.8,12.98,129730.0
2022-01-19 11:30:00,12.8,13.28,12.8,13.0,63630.0
2022-01-19 12:30:00,13.0,13.0,13.0,13.0,25750.0
2022-01-19 13:30:00,13.04,13.1,13.0,13.1,99485.0
2022-01-20 10:30:00,13.08,13.08,13.0,13.0,76620.0
2022-01-20 11:30:00,13.0,13.6,13.0,13.46,1209390.0
2022-01-20 12:30:00,13.46,13.6,13.44,13.6,940185.0
2022-01-20 13:30:00,13.6,13.6,13.52,13.54,164560.0
2022-01-21 10:30:00,13.58,13.58,13.3,13.4,392735.0
2022-01-21 11:30:00,13.4,13.5,13.3,13.5,594150.0
2022-01-21 12:30:00,13.5,13.66,13.5,13.6,374430.0
2022-01-21 13:30:00,13.54,13.78,13.52,13.78,116955.0
2022-01-24 10:30:00,13.9,13.98,13.3,13.3,448580.0
2022-01-24 11:30:00,13.4,13.6,13.38,13.6,84595.0
2022-01-24 12:30:00,13.4,13.7,13.4,13.6,338665.0
2022-01-24 13:30:00,13.6,13.6,13.4,13.4,691605.0
2022-01-25 10:30:00,13.6,13.86,13.4,13.4,261155.0
2022-01-25 11:30:00,13.4,13.54,13.32,13.32,384250.0
2022-01-25 12:30:00,13.34,13.56,13.3,13.5,16860.0
2022-01-25 13:30:00,13.46,13.6,13.12,13.12,1410145.0
2022-01-26 10:30:00,13.36,13.36,13.06,13.2,290910.0
2022-01-26 11:30:00,13.2,13.3,13.06,13.06,20030.0
2022-01-26 12:30:00,13.02,13.2,13.0,13.2,41300.0
2022-01-26 13:30:00,13.2,13.2,13.2,13.2,69565.0
2022-01-27 10:30:00,13.2,13.4,13.0,13.02,401705.0
2022-01-27 11:30:00,13.02,13.02,12.8,12.8,96495.0
2022-01-27 12:30:00,12.8,12.9,12.5,12.9,106125.0
2022-01-27 13:30:00,12.8,12.98,12.54,12.96,54160.0
2022-01-28 10:30:00,13.0,13.0,12.6,12.6,496025.0
2022-01-28 11:30:00,12.6,12.64,12.56,12.64,178765.0
2022-01-28 12:30:00,12.8,13.0,12.8,12.8,4510.0
2022-01-28 13:30:00,12.6,12.8,12.6,12.6,129055.0
2022-01-31 10:30:00,12.72,12.72,12.5,12.6,73860.0
2022-01-31 11:30:00,12.58,12.58,12.54,12.54,18300.0
2022-01-31 12:30:00,12.56,12.56,12.54,12.54,67005.0
2022-01-31 13:30:00,12.56,12.6,12.4,12.6,564260.0
2022-02-01 10:30:00,12.6,12.98,12.6,12.98,52120.0
2022-02-01 11:30:00,12.62,13.0,12.62,12.7,50830.0
2022-02-01 12:30:00,12.64,12.64,12.62,12.62,2545.0
2022-02-01 13:30:00,12.64,12.7,12.62,12.62,11780.0
2022-02-02 10:30:00,12.7,12.98,12.5,12.5,20880.0
2022-02-02 11:30:00,12.6,12.8,12.6,12.6,435510.0
2022-02-02 12:30:00,12.5,12.5,12.2,12.2,187280.0
2022-02-02 13:30:00,12.2,12.2,12.0,12.0,339130.0
