Date,Open,High,Low,Close,Volume
2021-04-06 13:30:00,9.1,9.78,9.1,9.6,2387550.0
2021-04-07 09:30:00,9.6,9.7,9.1,9.5,570280.0
2021-04-07 13:30:00,9.42,9.42,9.2,9.2,625825.0
2021-04-08 09:30:00,9.58,9.6,9.22,9.6,2250720.0
2021-04-08 13:30:00,9.64,9.8,9.6,9.64,836920.0
2021-04-09 09:30:00,9.78,10.06,9.72,9.72,5347680.0
2021-04-09 13:30:00,9.76,9.88,9.72,9.8,629155.0
2021-04-12 09:30:00,9.82,9.82,9.52,9.76,132280.0
2021-04-12 13:30:00,9.78,9.78,9.4,9.52,754985.0
2021-04-15 09:30:00,9.78,10.04,9.6,10.0,1823165.0
2021-04-15 13:30:00,10.0,10.0,9.92,9.92,750230.0
2021-04-16 09:30:00,10.0,10.0,9.64,9.8,829225.0
2021-04-16 13:30:00,9.8,9.9,9.8,9.9,50680.0
2021-04-19 09:30:00,9.9,10.0,9.7,9.76,491255.0
2021-04-19 13:30:00,9.76,9.8,9.76,9.76,103005.0
2021-04-20 09:30:00,9.9,9.9,9.22,9.38,773220.0
2021-04-20 13:30:00,9.36,9.36,9.0,9.0,503550.0
2021-04-21 09:30:00,9.4,9.68,9.2,9.38,910915.0
2021-04-21 13:30:00,9.38,9.58,9.28,9.5,538570.0
2021-04-22 09:30:00,9.58,9.6,8.2,8.9,762225.0
2021-04-22 13:30:00,8.98,9.1,8.9,8.98,42105.0
2021-04-23 09:30:00,8.9,8.92,8.64,8.82,1249135.0
2021-04-23 13:30:00,8.82,8.92,8.4,8.74,399970.0
2021-04-27 09:30:00,8.72,8.78,8.38,8.5,1489600.0
2021-04-27 13:30:00,8.5,8.5,8.44,8.44,89385.0
2021-04-28 09:30:00,8.44,8.8,8.3,8.68,2252790.0
2021-04-28 13:30:00,8.68,8.7,8.6,8.66,551960.0
2021-04-29 09:30:00,8.78,8.8,8.5,8.5,1307630.0
2021-04-29 13:30:00,8.52,8.7,8.5,8.5,1282070.0
2021-04-30 09:30:00,8.5,8.5,8.18,8.2,1598195.0
2021-05-03 09:30:00,8.24,8.24,7.62,7.82,2913370.0
2021-05-03 13:30:00,7.9,7.9,7.6,7.6,3090450.0
2021-05-04 09:30:00,7.5,7.6,7.3,7.38,1916660.0
2021-05-04 13:30:00,7.4,7.4,7.2,7.2,2403085.0
2021-05-05 09:30:00,7.24,7.5,7.2,7.48,822940.0
2021-05-05 13:30:00,7.48,7.8,7.48,7.68,689605.0
2021-05-06 09:30:00,7.6,7.78,7.46,7.46,667235.0
2021-05-06 13:30:00,7.6,7.6,7.5,7.58,16035.0
2021-05-07 09:30:00,7.8,7.8,7.5,7.6,332800.0
2021-05-07 13:30:00,7.54,7.7,7.54,7.6,301790.0
2021-05-10 09:30:00,7.6,7.62,7.3,7.3,676620.0
2021-05-10 13:30:00,7.36,7.4,7.32,7.34,131750.0
2021-05-11 09:30:00,7.34,7.58,7.28,7.4,308890.0
2021-05-11 13:30:00,7.38,7.38,7.3,7.38,46410.0
2021-05-12 09:30:00,7.4,7.4,7.3,7.36,64855.0
2021-05-12 13:30:00,7.38,7.38,7.3,7.3,23465.0
2021-05-13 09:30:00,7.36,7.44,7.28,7.44,310950.0
2021-05-13 13:30:00,7.4,7.44,7.38,7.44,232040.0
2021-05-17 09:30:00,7.4,7.5,7.3,7.38,1150955.0
2021-05-17 13:30:00,7.38,7.4,7.36,7.4,542050.0
2021-05-18 09:30:00,7.4,7.74,7.36,7.6,3434290.0
2021-05-18 13:30:00,7.66,7.72,7.62,7.62,623350.0
2021-05-19 09:30:00,7.7,7.7,7.42,7.5,296560.0
2021-05-19 13:30:00,7.56,7.58,7.4,7.52,433820.0
2021-05-20 09:30:00,7.52,7.52,7.3,7.34,126865.0
2021-05-20 13:30:00,7.5,7.56,7.5,7.5,68905.0
2021-05-21 09:30:00,7.56,7.56,7.2,7.3,402660.0
2021-05-21 13:30:00,7.3,7.3,7.3,7.3,64760.0
2021-05-24 09:30:00,7.4,7.4,7.12,7.38,1325550.0
2021-05-24 13:30:00,7.38,7.38,7.32,7.32,95930.0
2021-05-25 09:30:00,7.4,7.4,7.3,7.36,368135.0
2021-05-25 13:30:00,7.36,7.4,7.36,7.36,245150.0
2021-05-28 09:30:00,7.36,7.36,7.28,7.28,265185.0
2021-05-28 13:30:00,7.28,7.3,7.26,7.3,94160.0
2021-05-31 09:30:00,7.3,7.34,7.28,7.28,316250.0
2021-05-31 13:30:00,7.3,7.3,7.28,7.3,438990.0
2021-06-01 09:30:00,7.3,7.32,7.28,7.3,835515.0
2021-06-01 13:30:00,7.3,7.3,7.28,7.3,176250.0
2021-06-02 09:30:00,7.3,7.62,7.28,7.56,2380635.0
2021-06-02 13:30:00,7.56,8.6,7.56,8.6,10576315.0
2021-06-03 09:30:00,8.7,8.88,8.22,8.8,14660465.0
2021-06-03 13:30:00,8.8,8.8,8.56,8.64,2961575.0
2021-06-04 09:30:00,8.7,8.7,8.4,8.52,1368880.0
2021-06-04 13:30:00,8.52,8.62,8.5,8.62,673210.0
2021-06-07 09:30:00,8.52,8.78,8.5,8.66,964865.0
2021-06-07 13:30:00,8.66,8.72,8.64,8.64,746305.0
2021-06-08 09:30:00,8.64,8.8,8.46,8.6,1625265.0
2021-06-08 13:30:00,8.62,8.7,8.62,8.68,238530.0
2021-06-09 09:30:00,8.7,9.02,8.68,8.8,5190765.0
2021-06-09 13:30:00,8.8,8.88,8.8,8.86,328550.0
2021-06-10 09:30:00,8.88,9.1,8.88,9.0,4000825.0
2021-06-10 13:30:00,9.0,9.0,8.94,8.96,285750.0
2021-06-11 09:30:00,9.0,9.0,8.76,8.76,1524030.0
2021-06-11 13:30:00,8.8,8.86,8.8,8.8,391175.0
2021-06-14 09:30:00,8.84,8.9,8.58,8.9,688640.0
2021-06-14 13:30:00,8.74,8.96,8.72,8.96,148115.0
2021-06-15 09:30:00,8.76,8.98,8.7,8.96,1341850.0
2021-06-15 13:30:00,8.76,8.8,8.76,8.8,57505.0
2021-06-16 09:30:00,8.8,8.96,8.6,8.76,145595.0
2021-06-16 13:30:00,8.76,8.82,8.76,8.78,1345485.0
2021-06-17 09:30:00,8.78,9.04,8.66,9.04,5111720.0
2021-06-17 13:30:00,9.02,9.18,9.02,9.14,918740.0
2021-06-18 09:30:00,9.18,9.28,9.12,9.18,1624175.0
2021-06-18 13:30:00,9.12,9.16,9.1,9.1,222650.0
2021-06-21 09:30:00,9.1,9.18,8.9,9.08,358505.0
2021-06-21 13:30:00,9.0,9.1,8.92,9.08,135085.0
2021-06-22 09:30:00,9.16,9.16,8.8,8.8,393285.0
2021-06-22 13:30:00,8.86,8.86,8.8,8.8,51025.0
2021-06-23 09:30:00,8.8,8.84,8.6,8.84,1167610.0
2021-06-23 13:30:00,8.84,8.9,8.76,8.8,122400.0
2021-06-25 09:30:00,9.18,9.18,8.9,9.1,1687760.0
2021-06-25 13:30:00,9.12,9.12,9.02,9.1,802090.0
2021-06-28 09:30:00,9.1,9.12,8.82,8.9,496350.0
2021-06-28 13:30:00,8.86,8.9,8.82,8.9,542745.0
2021-06-29 09:30:00,8.9,8.9,8.52,8.6,666495.0
2021-06-29 13:30:00,8.78,8.78,8.7,8.78,26270.0
2021-06-30 09:30:00,8.6,8.78,8.32,8.6,1147925.0
2021-06-30 13:30:00,8.6,8.6,8.54,8.6,426340.0
2021-07-01 09:30:00,8.6,8.6,8.3,8.3,127245.0
2021-07-01 13:30:00,8.36,8.36,8.32,8.36,26000.0
2021-07-02 09:30:00,8.58,8.58,8.36,8.4,140220.0
2021-07-02 13:30:00,8.4,8.5,8.4,8.48,49490.0
2021-07-05 09:30:00,8.48,8.48,8.3,8.3,96465.0
2021-07-05 13:30:00,8.3,8.4,8.3,8.4,48510.0
2021-07-06 09:30:00,8.4,8.4,8.2,8.34,560810.0
2021-07-06 13:30:00,8.32,8.32,8.22,8.22,4650.0
2021-07-07 09:30:00,8.2,8.38,8.2,8.2,431395.0
2021-07-07 13:30:00,8.32,8.32,8.18,8.2,34105.0
2021-07-08 09:30:00,8.22,8.38,8.22,8.38,149490.0
2021-07-08 13:30:00,8.26,8.38,8.26,8.3,7050.0
2021-07-09 09:30:00,8.36,8.36,8.22,8.22,101110.0
2021-07-09 13:30:00,8.22,8.22,8.18,8.18,236070.0
2021-07-12 09:30:00,8.2,8.3,8.1,8.2,258755.0
2021-07-12 13:30:00,8.22,8.26,8.16,8.16,299150.0
2021-07-13 09:30:00,8.2,8.6,8.2,8.52,454960.0
2021-07-13 13:30:00,8.52,8.66,8.5,8.66,532295.0
2021-07-14 09:30:00,8.66,8.72,8.6,8.7,330080.0
2021-07-14 13:30:00,8.64,8.84,8.6,8.82,1072695.0
2021-07-15 09:30:00,8.8,8.8,8.7,8.76,985190.0
2021-07-15 13:30:00,8.76,8.8,8.76,8.76,82560.0
2021-07-16 09:30:00,8.8,8.98,8.8,8.8,541335.0
2021-07-16 13:30:00,8.8,8.8,8.78,8.8,100010.0
2021-07-19 09:30:00,8.8,8.88,8.74,8.8,307535.0
2021-07-19 13:30:00,8.8,8.8,8.8,8.8,27620.0
2021-07-20 09:30:00,8.88,8.88,8.6,8.7,1069665.0
2021-07-20 13:30:00,8.76,8.86,8.74,8.78,692655.0
2021-07-22 09:30:00,8.82,8.9,8.76,8.8,774505.0
2021-07-22 13:30:00,8.8,8.96,8.74,8.9,1734275.0
2021-07-26 09:30:00,9.1,9.1,8.78,8.78,1372640.0
2021-07-26 13:30:00,8.76,8.88,8.76,8.8,33475.0
2021-07-27 09:30:00,8.92,8.92,8.76,8.8,675775.0
