Date,Open,High,Low,Close,Volume
2020-08-28 12:30:00,24.5,24.5,23.3,24.5,30295.0
2020-08-28 13:30:00,24.0,24.6,24.0,24.6,3500.0
2020-08-31 10:30:00,25.0,25.0,24.6,24.8,302.0
2020-08-31 11:30:00,24.0,24.0,24.0,24.0,8865.0
2020-08-31 12:30:00,24.0,24.0,23.7,24.0,10863.0
2020-08-31 13:30:00,23.7,24.0,23.7,24.0,6487.0
2020-09-02 10:30:00,23.9,24.5,23.5,24.5,11855.0
2020-09-02 11:30:00,24.0,24.0,24.0,24.0,100.0
2020-09-02 12:30:00,24.0,24.0,24.0,24.0,800.0
2020-09-03 10:30:00,24.0,24.0,24.0,24.0,1003.0
2020-09-03 12:30:00,24.0,24.0,24.0,24.0,110.0
2020-09-03 13:30:00,24.0,24.0,24.0,24.0,7261.0
2020-09-04 10:30:00,24.0,24.0,24.0,24.0,3100.0
2020-09-04 11:30:00,23.6,23.8,23.1,23.1,72762.0
2020-09-04 12:30:00,23.1,23.8,23.0,23.5,44909.0
2020-09-04 13:30:00,23.5,23.8,22.5,23.0,42960.0
2020-09-07 10:30:00,23.6,23.9,23.6,23.9,6906.0
2020-09-07 11:30:00,23.6,23.6,23.6,23.6,15.0
2020-09-07 12:30:00,23.5,23.5,23.0,23.0,2029.0
2020-09-07 13:30:00,23.5,23.5,22.9,23.0,18338.0
2020-09-08 10:30:00,23.0,24.0,23.0,24.0,21301.0
2020-09-08 11:30:00,23.9,23.9,23.9,23.9,1.0
2020-09-09 10:30:00,23.2,23.2,23.2,23.2,4312.0
2020-09-09 11:30:00,23.9,23.9,23.5,23.5,463.0
2020-09-09 12:30:00,23.7,24.2,23.5,23.5,53333.0
2020-09-09 13:30:00,23.5,24.1,23.5,24.0,5434.0
2020-09-10 10:30:00,24.0,24.1,24.0,24.1,2185.0
2020-09-10 11:30:00,24.0,24.0,24.0,24.0,15.0
2020-09-10 12:30:00,23.5,24.0,23.5,24.0,1201.0
2020-09-10 13:30:00,23.9,23.9,23.5,23.9,17047.0
2020-09-11 10:30:00,24.0,24.2,23.9,24.1,23561.0
2020-09-11 11:30:00,24.1,24.1,23.9,23.9,8817.0
2020-09-11 12:30:00,23.5,23.8,23.5,23.8,5322.0
2020-09-11 13:30:00,23.6,23.9,23.6,23.8,7530.0
2020-09-14 10:30:00,23.6,24.0,23.6,24.0,2000.0
2020-09-14 11:30:00,24.0,26.8,24.0,25.9,1426904.0
2020-09-14 12:30:00,25.7,26.0,25.5,25.9,54058.0
2020-09-14 13:30:00,25.9,25.9,25.5,25.9,100056.0
2020-09-15 10:30:00,26.0,27.0,26.0,26.4,101801.0
2020-09-15 11:30:00,26.4,26.8,26.3,26.3,158719.0
2020-09-15 12:30:00,26.5,26.5,26.3,26.3,14303.0
2020-09-15 13:30:00,26.3,26.3,26.1,26.1,43672.0
2020-09-16 10:30:00,26.1,26.1,25.9,26.0,11671.0
2020-09-16 11:30:00,26.1,26.6,26.1,26.5,70796.0
2020-09-16 12:30:00,26.3,26.6,26.3,26.5,13015.0
2020-09-16 13:30:00,26.5,27.0,26.4,26.7,110165.0
2020-09-17 10:30:00,27.1,27.3,26.9,26.9,113020.0
2020-09-17 11:30:00,26.8,26.8,26.0,26.4,96295.0
2020-09-17 12:30:00,26.5,26.8,26.5,26.5,36840.0
2020-09-17 13:30:00,26.6,26.9,26.6,26.9,37098.0
2020-09-18 10:30:00,26.9,27.0,26.3,27.0,80531.0
2020-09-18 11:30:00,27.0,27.2,27.0,27.2,22169.0
2020-09-18 12:30:00,27.3,27.6,27.0,27.5,59892.0
2020-09-18 13:30:00,27.5,27.9,27.0,27.8,54459.0
2020-09-21 10:30:00,27.9,28.0,27.0,27.0,24740.0
2020-09-21 11:30:00,27.0,28.1,27.0,28.1,59210.0
2020-09-21 12:30:00,28.0,28.5,28.0,28.2,31013.0
2020-09-21 13:30:00,28.1,28.1,27.7,28.0,10208.0
2020-09-22 10:30:00,28.0,28.5,26.6,27.0,8250.0
2020-09-22 11:30:00,27.0,27.8,27.0,27.0,10211.0
2020-09-22 12:30:00,27.0,27.6,27.0,27.6,2201.0
2020-09-22 13:30:00,27.0,27.4,27.0,27.4,955.0
2020-09-23 10:30:00,27.0,27.0,27.0,27.0,8500.0
2020-09-23 11:30:00,27.0,27.0,26.6,26.6,8001.0
2020-09-23 12:30:00,27.0,27.1,27.0,27.1,2100.0
2020-09-23 13:30:00,27.0,27.0,26.3,26.6,11184.0
2020-09-24 10:30:00,27.0,27.0,26.0,27.0,16880.0
2020-09-24 12:30:00,26.0,26.0,26.0,26.0,11820.0
2020-09-24 13:30:00,26.7,26.7,26.0,26.0,2128.0
2020-09-25 10:30:00,26.8,26.8,26.0,26.0,6204.0
2020-09-25 11:30:00,26.0,26.0,25.9,25.9,2850.0
2020-09-25 12:30:00,25.9,26.0,25.8,26.0,5272.0
2020-09-25 13:30:00,26.0,26.5,26.0,26.0,62846.0
2020-09-28 10:30:00,26.0,26.0,25.7,26.0,201.0
2020-09-28 11:30:00,26.0,26.5,26.0,26.5,1507.0
2020-09-28 12:30:00,26.5,27.0,26.5,26.7,19671.0
2020-09-28 13:30:00,26.5,26.5,26.1,26.5,5178.0
2020-09-29 10:30:00,26.1,26.1,26.1,26.1,3000.0
2020-09-29 12:30:00,26.3,26.7,26.3,26.7,8750.0
2020-09-29 13:30:00,26.1,26.1,26.0,26.0,3050.0
2020-09-30 10:30:00,26.5,26.5,26.5,26.5,25000.0
2020-09-30 11:30:00,26.0,26.0,26.0,26.0,14200.0
2020-09-30 13:30:00,26.0,26.8,26.0,26.8,42173.0
2020-10-02 10:30:00,26.7,26.7,26.0,26.1,4757.0
2020-10-02 11:30:00,26.7,26.8,26.0,26.8,40051.0
2020-10-02 12:30:00,26.1,26.1,26.0,26.1,10019.0
2020-10-02 13:30:00,26.2,27.0,26.2,26.9,53250.0
2020-10-05 10:30:00,25.0,25.0,25.0,25.0,1.0
2020-10-05 11:30:00,24.0,24.0,22.0,22.0,3188.0
2020-10-05 12:30:00,22.0,25.0,22.0,23.2,106622.0
2020-10-05 13:30:00,23.2,23.2,22.5,22.5,46601.0
2020-10-06 10:30:00,22.0,22.5,20.3,22.5,63225.0
2020-10-06 11:30:00,22.6,24.0,22.6,22.7,19024.0
2020-10-06 12:30:00,22.8,22.8,22.8,22.8,2000.0
2020-10-06 13:30:00,22.7,23.5,21.0,21.0,23640.0
2020-10-07 10:30:00,21.3,22.9,21.3,22.8,548.0
2020-10-07 11:30:00,23.5,23.5,23.5,23.5,266.0
2020-10-07 12:30:00,23.5,23.9,23.5,23.9,625.0
2020-10-07 13:30:00,23.5,23.8,23.5,23.8,10210.0
2020-10-08 10:30:00,23.8,24.3,23.8,24.0,24200.0
