Date,Open,High,Low,Close,Volume
2019-10-24 13:30:00,5.5,5.5,5.5,5.5,500.0
2019-10-25 11:30:00,5.59,5.59,5.59,5.59,320.0
2019-10-25 12:30:00,5.45,5.45,5.45,5.45,5000.0
2019-10-28 10:30:00,5.45,5.45,5.45,5.45,1000.0
2019-10-28 13:30:00,5.51,5.56,5.51,5.56,2560.0
2019-10-29 09:30:00,5.57,5.59,5.57,5.59,3970.0
2019-10-29 10:30:00,5.69,6.3,5.69,6.0,6000.0
2019-10-29 11:30:00,5.8,5.8,5.8,5.8,4500.0
2019-10-29 13:30:00,5.8,5.85,5.8,5.85,6000.0
2019-10-30 10:30:00,5.72,5.72,5.72,5.72,500.0
2019-10-31 09:30:00,5.83,6.01,5.83,6.01,42480.0
2019-10-31 10:30:00,6.02,6.02,6.01,6.01,10720.0
2019-10-31 11:30:00,6.01,6.02,6.01,6.02,9350.0
2019-11-01 09:30:00,6.0,6.08,6.0,6.08,13000.0
2019-11-01 11:30:00,6.08,6.08,6.08,6.08,200.0
2019-11-01 12:30:00,6.1,6.1,6.0,6.1,22150.0
2019-11-06 11:30:00,6.1,6.1,5.91,5.91,1240.0
2019-11-06 12:30:00,5.91,5.91,5.91,5.91,5370.0
2019-11-07 09:30:00,6.09,6.09,6.09,6.09,650.0
2019-11-07 10:30:00,6.1,6.1,6.1,6.1,2200.0
2019-11-07 12:30:00,6.09,6.09,6.09,6.09,500.0
2019-11-07 13:30:00,6.09,6.09,6.0,6.0,5600.0
2019-11-13 11:30:00,5.89,5.89,5.89,5.89,10.0
2019-11-13 12:30:00,6.0,6.0,6.0,6.0,10.0
2019-11-14 09:30:00,5.63,5.63,5.63,5.63,340.0
2019-11-14 13:30:00,5.98,5.98,5.98,5.98,200.0
2019-11-15 13:30:00,5.65,5.9,5.65,5.9,5100.0
2019-11-19 09:30:00,6.0,6.0,6.0,6.0,5000.0
2019-11-19 10:30:00,5.99,6.0,5.99,6.0,36500.0
2019-11-19 11:30:00,6.0,6.08,6.0,6.0,117400.0
2019-11-19 13:30:00,6.0,6.25,6.0,6.25,33840.0
2019-11-20 09:30:00,6.3,6.7,6.3,6.5,147280.0
2019-11-20 10:30:00,6.45,6.5,6.4,6.4,37170.0
2019-11-20 11:30:00,6.4,6.4,6.4,6.4,2060.0
2019-11-20 12:30:00,6.39,6.4,6.31,6.31,79450.0
