Date,Open,High,Low,Close,Volume
2020-09-24 13:30:00,15.0,15.0,15.0,15.0,300.0
2020-09-25 09:30:00,15.0,15.15,15.0,15.1,6342.0
2020-09-25 13:30:00,15.05,15.05,14.95,14.95,1002.0
2020-09-28 09:30:00,15.5,15.5,14.9,15.0,23210.0
2020-09-28 13:30:00,14.95,15.0,14.9,15.0,7048.0
2020-09-29 09:30:00,15.5,15.5,14.85,15.0,18000.0
2020-09-29 13:30:00,15.0,15.0,15.0,15.0,650.0
2020-09-30 09:30:00,14.85,14.85,14.85,14.85,9528.0
2020-10-02 09:30:00,15.0,15.0,14.85,14.85,15588.0
2020-10-02 13:30:00,15.0,15.0,15.0,15.0,6978.0
2020-10-05 09:30:00,14.5,14.5,14.25,14.25,21106.0
2020-10-05 13:30:00,14.75,14.75,14.25,14.25,20348.0
2020-10-06 09:30:00,14.0,15.5,13.75,15.5,4356.0
2020-10-06 13:30:00,14.95,14.95,13.25,13.35,20024.0
2020-10-08 09:30:00,14.9,14.9,14.9,14.9,740.0
2020-10-08 13:30:00,14.0,14.35,13.75,14.35,7090.0
2020-10-09 09:30:00,14.5,14.7,13.75,14.7,11758.0
2020-10-09 13:30:00,14.5,14.5,14.5,14.5,220.0
2020-10-12 09:30:00,14.25,14.25,13.75,13.9,3782.0
2020-10-13 09:30:00,14.25,14.5,14.25,14.5,1638.0
2020-10-13 13:30:00,14.5,14.5,14.5,14.5,42.0
2020-10-14 09:30:00,14.3,14.6,14.3,14.6,406.0
2020-10-15 09:30:00,14.7,14.75,14.7,14.75,296.0
2020-10-15 13:30:00,14.55,14.65,14.0,14.65,5260.0
2020-10-16 09:30:00,14.7,14.7,14.65,14.65,170.0
2020-10-16 13:30:00,14.65,14.65,14.65,14.65,150.0
2020-10-19 09:30:00,15.75,15.75,14.95,15.6,4616.0
2020-10-19 13:30:00,15.4,15.4,15.4,15.4,174.0
2020-10-20 09:30:00,14.75,14.8,14.6,14.75,10410.0
2020-10-20 13:30:00,15.0,15.0,15.0,15.0,200.0
2020-10-21 09:30:00,14.55,14.55,14.55,14.55,2200.0
2020-10-21 13:30:00,14.55,14.55,14.55,14.55,4200.0
2020-10-22 09:30:00,14.5,14.6,14.5,14.6,18084.0
2020-10-23 13:30:00,14.8,14.8,14.8,14.8,1000.0
2020-10-26 09:30:00,14.6,14.95,14.25,14.95,4806.0
2020-10-26 13:30:00,14.95,15.0,14.75,15.0,17004.0
2020-10-27 09:30:00,14.95,15.0,14.95,15.0,57762.0
2020-10-27 13:30:00,15.45,15.45,15.45,15.45,200.0
2020-10-28 09:30:00,15.5,15.5,14.35,14.35,848.0
2020-10-28 13:30:00,15.5,15.5,15.5,15.5,200.0
2020-11-03 09:30:00,14.5,14.5,14.5,14.5,2.0
2020-11-03 13:30:00,14.95,15.0,14.95,15.0,16002.0
2020-11-04 09:30:00,15.15,15.15,15.0,15.0,40306.0
2020-11-04 13:30:00,15.0,15.0,15.0,15.0,39700.0
2020-11-05 09:30:00,15.0,15.2,15.0,15.2,34018.0
2020-11-05 13:30:00,15.0,15.0,15.0,15.0,20006.0
2020-11-06 09:30:00,15.4,15.4,15.0,15.2,2754.0
2020-11-06 13:30:00,15.2,15.2,15.2,15.2,5740.0
2020-11-09 09:30:00,15.0,15.2,14.8,15.0,854.0
2020-11-09 13:30:00,15.0,15.45,15.0,15.45,7508.0
2020-11-10 09:30:00,17.5,18.0,15.5,15.75,74164.0
2020-11-10 13:30:00,16.1,16.2,15.5,15.5,16270.0
2020-11-11 09:30:00,16.0,16.0,15.35,15.35,18656.0
2020-11-11 13:30:00,15.35,16.0,15.35,15.5,242400.0
2020-11-12 09:30:00,16.0,16.0,16.0,16.0,3000.0
2020-11-12 13:30:00,16.0,16.0,15.95,15.95,1006.0
2020-11-13 09:30:00,15.75,15.75,15.0,15.0,24200.0
2020-11-13 13:30:00,15.0,15.0,15.0,15.0,4002.0
