Date,Open,High,Low,Close,Volume
2020-12-31 13:30:00,10.5,10.5,10.4,10.5,67792.0
2021-01-04 09:30:00,10.5,10.7,10.4,10.4,126472.0
2021-01-04 13:30:00,10.4,10.5,10.3,10.5,219379.0
2021-01-05 09:30:00,10.6,12.7,10.4,12.5,2816261.0
2021-01-05 13:30:00,12.4,13.0,12.3,12.5,1831997.0
2021-01-06 09:30:00,13.0,14.7,12.8,14.0,7241180.0
2021-01-06 13:30:00,14.0,14.1,13.8,13.9,765309.0
2021-01-07 09:30:00,14.0,14.8,14.0,14.6,2047572.0
2021-01-07 13:30:00,14.7,14.7,14.4,14.4,511695.0
2021-01-08 09:30:00,14.6,14.7,13.6,14.3,864730.0
2021-01-08 13:30:00,14.3,14.3,13.7,13.9,176553.0
2021-01-11 09:30:00,13.9,14.5,13.5,13.7,496515.0
2021-01-11 13:30:00,13.7,13.8,13.4,13.5,442038.0
2021-01-12 09:30:00,13.6,14.0,13.5,13.5,471897.0
2021-01-12 13:30:00,13.5,13.7,13.3,13.4,154096.0
2021-01-13 09:30:00,13.9,16.8,13.7,16.3,5370757.0
2021-01-13 13:30:00,16.3,16.3,15.2,15.5,1906316.0
2021-01-15 09:30:00,16.1,17.1,15.9,16.3,4144390.0
2021-01-15 13:30:00,16.3,16.5,16.1,16.5,1097422.0
2021-01-18 09:30:00,16.7,17.0,15.2,15.5,1589093.0
2021-01-18 13:30:00,15.6,15.8,15.4,15.8,381155.0
2021-01-19 09:30:00,15.8,15.8,14.9,14.9,776504.0
2021-01-19 13:30:00,14.9,15.0,14.3,14.8,217872.0
2021-01-20 09:30:00,15.0,15.1,14.0,14.5,463075.0
2021-01-20 13:30:00,14.6,14.6,14.3,14.5,170426.0
2021-01-21 09:30:00,15.0,16.0,14.2,15.4,772053.0
2021-01-21 13:30:00,15.5,15.5,14.7,14.7,182684.0
2021-01-22 09:30:00,14.9,15.0,14.5,14.5,285454.0
2021-01-22 13:30:00,14.6,15.2,14.5,14.7,415198.0
2021-01-25 09:30:00,14.9,14.9,14.2,14.3,481782.0
2021-01-25 13:30:00,14.3,14.3,14.0,14.2,254822.0
2021-01-26 09:30:00,14.2,14.5,14.0,14.3,671875.0
2021-01-26 13:30:00,14.3,14.5,14.2,14.3,145747.0
2021-01-27 09:30:00,14.3,14.5,13.9,14.1,312665.0
2021-01-27 13:30:00,14.2,14.2,13.8,13.8,181650.0
2021-01-29 09:30:00,13.7,13.9,13.0,13.4,179797.0
2021-01-29 13:30:00,13.3,13.5,13.1,13.3,144244.0
2021-02-01 09:30:00,13.1,13.1,12.4,13.0,184008.0
2021-02-01 13:30:00,13.0,13.0,12.9,12.9,19352.0
2021-02-02 09:30:00,12.9,12.9,11.9,11.9,143573.0
2021-02-02 13:30:00,11.6,11.9,11.2,11.8,136761.0
2021-02-03 09:30:00,11.8,12.7,11.5,12.5,181491.0
2021-02-03 13:30:00,12.5,13.1,12.3,13.1,152585.0
2021-02-05 09:30:00,13.0,13.9,13.0,13.8,314676.0
2021-02-05 13:30:00,13.8,13.9,13.7,13.7,107175.0
2021-02-08 09:30:00,14.2,15.9,14.2,14.4,1711066.0
2021-02-08 13:30:00,14.4,14.9,14.4,14.8,216640.0
2021-02-09 09:30:00,14.9,14.9,13.7,14.3,565839.0
2021-02-09 13:30:00,14.3,14.5,14.2,14.3,81245.0
2021-02-10 09:30:00,14.8,14.8,13.7,13.7,227103.0
2021-02-10 13:30:00,13.6,13.7,12.8,13.0,266219.0
2021-02-11 09:30:00,13.0,13.6,11.5,12.4,418916.0
2021-02-11 13:30:00,12.4,13.5,12.4,13.0,144030.0
2021-02-12 09:30:00,13.0,14.6,13.0,14.1,668116.0
2021-02-12 13:30:00,14.0,14.0,13.7,13.9,137298.0
2021-02-15 09:30:00,14.4,14.5,13.7,13.7,477128.0
2021-02-15 13:30:00,13.7,13.8,13.5,13.5,73580.0
2021-02-16 09:30:00,13.0,13.2,11.9,11.9,604993.0
2021-02-16 13:30:00,12.0,12.3,11.5,12.2,173801.0
2021-02-17 09:30:00,12.5,12.6,11.6,12.2,383769.0
2021-02-17 13:30:00,12.4,12.5,12.3,12.5,50336.0
2021-02-18 09:30:00,12.6,12.9,12.4,12.5,43683.0
2021-02-18 13:30:00,12.6,12.9,12.6,12.8,14750.0
2021-02-19 09:30:00,12.9,12.9,12.5,12.8,87981.0
2021-02-19 13:30:00,12.8,12.8,12.3,12.6,140272.0
2021-02-22 09:30:00,12.4,12.4,12.0,12.0,67777.0
2021-02-22 13:30:00,12.0,12.2,12.0,12.2,42429.0
2021-02-23 09:30:00,12.1,12.1,11.4,11.5,193336.0
2021-02-23 13:30:00,11.5,11.9,11.5,11.8,189560.0
2021-02-24 09:30:00,11.5,12.0,11.5,12.0,13686.0
2021-02-24 13:30:00,12.0,12.0,11.5,11.5,193737.0
2021-02-25 09:30:00,11.9,12.0,11.3,12.0,39228.0
2021-02-25 13:30:00,12.0,12.1,11.9,11.9,18136.0
2021-03-01 09:30:00,12.1,12.1,11.8,12.0,14969.0
2021-03-01 13:30:00,11.8,11.8,11.8,11.8,3120.0
2021-03-02 09:30:00,11.9,12.0,11.7,11.8,61144.0
2021-03-02 13:30:00,11.7,11.9,11.7,11.9,13690.0
2021-03-03 09:30:00,11.8,11.8,11.1,11.4,99128.0
2021-03-03 13:30:00,11.2,11.4,11.2,11.4,10188.0
2021-03-04 09:30:00,11.2,11.6,10.7,10.7,36525.0
2021-03-04 13:30:00,10.6,10.8,10.1,10.8,21481.0
2021-03-05 09:30:00,11.4,11.4,10.5,10.9,15721.0
2021-03-05 13:30:00,10.9,11.0,10.8,11.0,12848.0
