Date,Open,High,Low,Close,Volume
2020-09-15 10:30:00,12.5,12.7,12.4,12.6,244972.0
2020-09-15 11:30:00,12.5,12.5,12.0,12.1,147313.0
2020-09-15 12:30:00,12.2,12.4,12.2,12.4,66814.0
2020-09-15 13:30:00,12.3,12.5,12.2,12.2,28456.0
2020-09-16 10:30:00,12.6,12.6,12.5,12.6,334148.0
2020-09-16 11:30:00,12.6,12.6,12.3,12.3,245401.0
2020-09-16 12:30:00,12.3,12.5,12.3,12.5,88168.0
2020-09-16 13:30:00,12.5,13.6,12.5,13.2,2828385.0
2020-09-17 10:30:00,13.5,13.5,12.9,13.0,239253.0
2020-09-17 11:30:00,13.0,13.2,12.8,13.0,149175.0
2020-09-17 12:30:00,12.9,13.0,12.8,12.8,131305.0
2020-09-17 13:30:00,12.8,13.1,12.8,13.0,197075.0
2020-09-18 10:30:00,13.0,13.0,12.7,12.9,73450.0
2020-09-18 11:30:00,12.9,12.9,12.8,12.8,8690.0
2020-09-18 12:30:00,12.7,12.9,12.5,12.7,83894.0
2020-09-18 13:30:00,12.8,12.9,12.6,12.6,189325.0
2020-09-21 10:30:00,12.8,12.9,12.5,12.8,50810.0
2020-09-21 11:30:00,12.8,13.0,12.4,13.0,171769.0
2020-09-21 12:30:00,12.9,13.2,12.9,13.1,335594.0
2020-09-21 13:30:00,13.0,13.0,12.9,13.0,159860.0
2020-09-22 10:30:00,13.1,13.8,13.1,13.5,923252.0
2020-09-22 11:30:00,13.4,13.4,13.1,13.1,248196.0
2020-09-22 12:30:00,13.1,13.2,13.1,13.1,166000.0
2020-09-22 13:30:00,13.3,13.3,13.0,13.1,203704.0
2020-09-23 10:30:00,13.1,13.2,12.9,13.0,40772.0
2020-09-23 11:30:00,13.0,13.1,12.7,12.8,173414.0
2020-09-23 12:30:00,12.8,12.9,12.8,12.9,8506.0
2020-09-23 13:30:00,13.0,13.0,12.8,13.0,113663.0
2020-09-24 10:30:00,13.0,13.0,12.8,12.9,62236.0
2020-09-24 11:30:00,12.8,13.0,12.8,12.9,206549.0
2020-09-24 12:30:00,13.0,13.0,12.8,12.9,12806.0
2020-09-24 13:30:00,12.9,13.0,12.8,12.9,194500.0
2020-09-25 10:30:00,13.0,13.0,12.9,13.0,26767.0
2020-09-25 11:30:00,12.9,13.0,12.8,13.0,34650.0
2020-09-25 12:30:00,12.9,12.9,12.8,12.9,28000.0
2020-09-25 13:30:00,12.9,13.0,12.8,12.8,31572.0
2020-09-28 10:30:00,12.8,13.0,12.7,12.8,92696.0
2020-09-28 11:30:00,12.7,12.8,12.6,12.7,83658.0
2020-09-28 12:30:00,12.6,12.8,12.5,12.7,206729.0
2020-09-28 13:30:00,12.8,12.8,12.5,12.6,88355.0
2020-09-29 10:30:00,12.3,12.9,12.3,12.4,219095.0
2020-09-29 11:30:00,12.5,12.8,12.4,12.7,62008.0
2020-09-29 12:30:00,12.5,12.8,12.5,12.5,56881.0
2020-09-29 13:30:00,12.6,12.7,12.6,12.6,56522.0
2020-09-30 10:30:00,12.9,12.9,12.8,12.8,2010.0
2020-09-30 11:30:00,12.8,12.8,12.6,12.6,750.0
2020-09-30 12:30:00,12.7,12.7,12.5,12.5,26050.0
2020-09-30 13:30:00,12.6,12.8,12.5,12.8,207604.0
2020-10-02 10:30:00,12.7,12.9,12.7,12.9,4900.0
2020-10-02 11:30:00,12.9,13.0,12.5,13.0,315626.0
2020-10-02 12:30:00,13.1,13.4,12.6,12.7,357334.0
2020-10-02 13:30:00,12.7,12.8,12.6,12.7,163441.0
2020-10-05 10:30:00,11.9,11.9,11.9,11.9,124456.0
2020-10-05 11:30:00,11.6,11.7,11.0,11.7,50200.0
2020-10-05 12:30:00,12.0,12.5,11.6,11.6,85677.0
2020-10-05 13:30:00,11.8,11.8,10.8,11.1,77508.0
2020-10-06 10:30:00,10.3,11.6,10.0,11.6,175212.0
2020-10-06 11:30:00,11.7,12.2,11.0,11.1,193067.0
2020-10-06 12:30:00,11.5,11.9,11.5,11.9,37310.0
2020-10-06 13:30:00,11.3,11.7,11.0,11.0,70338.0
2020-10-07 10:30:00,11.7,11.7,11.7,11.7,1.0
2020-10-07 11:30:00,11.6,12.0,11.4,11.8,88637.0
2020-10-07 12:30:00,11.7,11.7,11.6,11.6,14800.0
2020-10-07 13:30:00,11.5,11.5,11.4,11.4,14100.0
2020-10-08 10:30:00,11.4,11.5,11.4,11.5,53324.0
2020-10-08 11:30:00,11.5,12.1,11.5,12.1,197880.0
2020-10-08 12:30:00,12.1,12.2,11.8,12.0,63290.0
2020-10-08 13:30:00,12.0,12.0,11.8,12.0,42663.0
2020-10-09 10:30:00,12.2,12.3,12.1,12.1,28767.0
2020-10-09 11:30:00,12.1,12.2,11.6,12.0,221112.0
2020-10-09 12:30:00,12.0,12.0,11.7,12.0,29051.0
2020-10-09 13:30:00,11.8,12.0,11.8,12.0,43394.0
2020-10-12 10:30:00,11.8,12.5,11.8,12.0,24813.0
2020-10-12 11:30:00,12.0,12.4,12.0,12.2,40914.0
2020-10-12 12:30:00,12.1,12.1,11.8,11.8,139060.0
2020-10-12 13:30:00,11.9,12.1,11.8,12.1,176400.0
2020-10-13 10:30:00,12.0,12.4,11.9,11.9,55819.0
2020-10-13 11:30:00,12.0,12.4,11.9,12.0,20851.0
2020-10-13 12:30:00,11.9,12.0,11.8,11.8,52824.0
2020-10-13 13:30:00,11.8,12.4,11.8,12.3,410784.0
2020-10-14 10:30:00,12.3,13.1,12.3,13.0,899078.0
2020-10-14 11:30:00,13.0,13.1,12.8,12.8,438762.0
2020-10-14 12:30:00,12.8,13.0,12.5,12.9,237462.0
2020-10-14 13:30:00,12.9,12.9,12.5,12.6,86347.0
2020-10-15 10:30:00,13.0,13.1,12.7,12.8,281250.0
2020-10-15 11:30:00,12.8,12.8,12.6,12.6,40085.0
2020-10-15 12:30:00,12.8,12.8,12.3,12.5,102766.0
2020-10-15 13:30:00,12.5,12.7,12.0,12.0,319956.0
2020-10-16 10:30:00,12.2,12.4,12.0,12.0,197239.0
2020-10-16 11:30:00,12.0,12.2,11.9,12.0,78533.0
2020-10-16 12:30:00,12.0,12.2,12.0,12.0,56650.0
2020-10-16 13:30:00,12.0,12.4,12.0,12.0,152526.0
2020-10-19 10:30:00,12.0,12.4,12.0,12.3,25028.0
2020-10-19 11:30:00,12.4,12.4,12.1,12.2,15500.0
2020-10-19 12:30:00,12.3,12.3,12.0,12.3,25069.0
2020-10-19 13:30:00,12.1,12.2,11.9,12.2,74375.0
2020-10-20 10:30:00,12.0,12.0,11.9,12.0,40802.0
2020-10-20 11:30:00,12.0,12.0,11.9,12.0,13425.0
2020-10-20 12:30:00,12.0,12.0,11.9,11.9,77611.0
2020-10-20 13:30:00,12.0,12.0,11.8,12.0,154878.0
2020-10-21 10:30:00,12.3,12.3,11.6,11.6,63008.0
2020-10-21 11:30:00,11.8,11.8,11.4,11.6,181500.0
2020-10-21 12:30:00,11.6,11.6,11.1,11.2,133974.0
2020-10-21 13:30:00,11.2,11.3,11.0,11.0,233240.0
2020-10-22 10:30:00,11.0,11.6,11.0,11.6,170347.0
2020-10-22 11:30:00,11.5,11.5,11.0,11.0,111939.0
2020-10-22 12:30:00,11.2,11.2,11.2,11.2,200.0
2020-10-22 13:30:00,11.2,11.5,11.2,11.5,18167.0
2020-10-23 10:30:00,11.8,11.9,11.6,11.6,68554.0
2020-10-23 11:30:00,11.5,11.5,11.0,11.4,139091.0
2020-10-23 12:30:00,11.4,11.4,11.4,11.4,2210.0
2020-10-23 13:30:00,11.3,11.4,11.0,11.4,15003.0
2020-10-26 10:30:00,10.5,11.1,10.5,11.0,138454.0
2020-10-26 11:30:00,11.0,11.4,11.0,11.0,12735.0
2020-10-26 12:30:00,11.0,11.1,10.5,10.5,39901.0
2020-10-26 13:30:00,11.0,11.0,10.6,10.6,38431.0
2020-10-27 10:30:00,10.5,11.2,10.5,11.2,26323.0
2020-10-27 11:30:00,10.9,11.0,10.8,11.0,35918.0
2020-10-27 12:30:00,10.9,10.9,10.8,10.9,4010.0
2020-10-27 13:30:00,10.8,10.9,10.6,10.9,29508.0
2020-10-28 10:30:00,10.8,11.1,10.8,11.1,303.0
2020-10-28 11:30:00,11.1,11.1,11.0,11.0,123.0
2020-10-28 12:30:00,10.8,11.0,10.6,10.6,136002.0
2020-10-28 13:30:00,10.6,11.0,10.5,10.7,116358.0
2020-10-29 10:30:00,10.6,10.8,10.6,10.8,30002.0
2020-10-29 11:30:00,10.6,10.9,10.6,10.9,19019.0
2020-10-29 12:30:00,11.0,11.0,11.0,11.0,80925.0
2020-10-29 13:30:00,10.9,11.1,10.8,11.1,36522.0
2020-11-02 10:30:00,11.0,11.2,11.0,11.2,8112.0
2020-11-02 11:30:00,11.2,11.2,10.9,10.9,21504.0
2020-11-02 12:30:00,11.1,11.1,10.9,10.9,5621.0
2020-11-02 13:30:00,10.8,11.0,10.8,11.0,7040.0
2020-11-03 10:30:00,10.8,10.8,10.8,10.8,2997.0
2020-11-03 11:30:00,11.1,11.3,10.9,11.3,55744.0
2020-11-03 12:30:00,11.3,11.8,11.3,11.8,66595.0
2020-11-03 13:30:00,11.6,11.7,11.3,11.6,14510.0
2020-11-04 10:30:00,11.7,11.7,11.7,11.7,92.0
2020-11-04 11:30:00,11.7,11.7,11.6,11.6,2005.0
2020-11-04 12:30:00,11.3,11.6,11.3,11.6,12195.0
2020-11-04 13:30:00,11.4,11.7,11.4,11.6,5860.0
2020-11-05 10:30:00,11.7,11.7,11.7,11.7,100.0
2020-11-05 11:30:00,11.5,11.5,11.2,11.2,14996.0
2020-11-05 12:30:00,11.2,11.4,11.1,11.1,202157.0
2020-11-05 13:30:00,11.4,11.4,11.0,11.1,99195.0
2020-11-06 10:30:00,11.1,11.5,11.0,11.1,54462.0
2020-11-06 11:30:00,11.1,11.2,11.0,11.1,59093.0
2020-11-06 12:30:00,11.1,11.2,10.9,11.2,145735.0
2020-11-06 13:30:00,11.0,11.0,10.9,11.0,144359.0
2020-11-09 10:30:00,11.0,11.2,11.0,11.2,10856.0
2020-11-09 11:30:00,11.2,11.3,11.1,11.1,13535.0
2020-11-09 12:30:00,11.2,11.2,11.1,11.2,27117.0
2020-11-09 13:30:00,11.2,11.4,11.1,11.4,51390.0
2020-11-10 10:30:00,11.1,11.1,11.0,11.0,20000.0
2020-11-10 11:30:00,11.0,11.1,11.0,11.0,33700.0
2020-11-10 12:30:00,11.0,11.3,11.0,11.0,4391.0
2020-11-10 13:30:00,11.2,11.2,11.0,11.0,41500.0
2020-11-11 10:30:00,11.3,11.3,11.1,11.1,1302.0
2020-11-11 11:30:00,11.1,11.1,11.0,11.0,55646.0
2020-11-11 12:30:00,11.0,11.0,11.0,11.0,1619.0
2020-11-11 13:30:00,11.2,11.2,11.0,11.0,52318.0
2020-11-12 10:30:00,11.0,11.0,10.8,10.8,8310.0
2020-11-12 11:30:00,10.8,10.9,10.8,10.9,10700.0
2020-11-12 12:30:00,10.9,11.1,10.9,11.0,5058.0
2020-11-12 13:30:00,11.0,11.0,11.0,11.0,5000.0
2020-11-13 10:30:00,10.9,10.9,10.9,10.9,100.0
2020-11-13 11:30:00,10.9,10.9,10.9,10.9,4594.0
2020-11-13 12:30:00,11.0,11.0,11.0,11.0,500.0
2020-11-13 13:30:00,11.0,11.0,10.9,10.9,5061.0
2020-11-16 10:30:00,11.2,11.2,11.0,11.1,1264.0
2020-11-16 11:30:00,11.0,11.1,10.8,11.1,20011.0
2020-11-17 10:30:00,11.0,11.0,11.0,11.0,60.0
2020-11-17 11:30:00,10.8,11.2,10.8,11.2,3842.0
2020-11-17 12:30:00,11.0,11.0,10.9,11.0,17410.0
2020-11-17 13:30:00,11.2,11.2,11.2,11.2,49.0
2020-11-18 10:30:00,11.2,11.2,10.8,10.9,14450.0
2020-11-18 11:30:00,10.9,11.0,10.8,10.8,22945.0
2020-11-18 12:30:00,10.9,11.0,10.9,11.0,28098.0
2020-11-18 13:30:00,10.9,11.3,10.8,11.0,19001.0
2020-11-19 10:30:00,11.0,11.0,10.9,11.0,28600.0
2020-11-19 11:30:00,11.0,11.1,11.0,11.0,8528.0
2020-11-19 12:30:00,11.0,11.0,10.9,10.9,20870.0
2020-11-19 13:30:00,10.9,11.0,10.8,10.8,39680.0
2020-11-20 10:30:00,10.8,10.8,10.8,10.8,3000.0
2020-11-20 11:30:00,10.8,11.0,10.8,10.9,37874.0
2020-11-20 12:30:00,10.9,10.9,10.7,10.8,30950.0
2020-11-20 13:30:00,10.9,11.0,10.9,11.0,57542.0
2020-11-23 10:30:00,11.2,11.2,10.9,11.0,32821.0
2020-11-23 11:30:00,11.0,11.1,10.9,10.9,31214.0
2020-11-23 12:30:00,11.0,11.1,11.0,11.1,11835.0
2020-11-23 13:30:00,11.0,11.1,11.0,11.0,24844.0
2020-11-24 10:30:00,10.9,11.0,10.9,11.0,1720.0
2020-11-24 11:30:00,11.1,11.2,11.0,11.1,7592.0
2020-11-24 12:30:00,11.1,11.1,11.1,11.1,16008.0
2020-11-24 13:30:00,11.1,11.1,10.9,10.9,32388.0
2020-11-25 10:30:00,10.9,10.9,10.9,10.9,15.0
2020-11-25 12:30:00,11.0,11.0,10.8,10.8,50505.0
2020-11-25 13:30:00,10.9,10.9,10.9,10.9,1818.0
2020-11-26 10:30:00,11.0,11.1,10.8,10.8,37791.0
2020-11-26 11:30:00,11.1,11.1,10.8,10.8,5200.0
2020-11-26 12:30:00,11.0,11.0,10.8,10.8,15294.0
2020-11-26 13:30:00,11.0,11.0,10.9,11.0,5056.0
2020-11-27 10:30:00,10.9,10.9,10.8,10.8,15075.0
2020-11-27 11:30:00,10.8,10.9,10.8,10.9,47135.0
2020-11-27 13:30:00,10.9,10.9,10.8,10.8,96575.0
2020-11-30 10:30:00,10.8,10.9,10.8,10.9,400.0
2020-11-30 11:30:00,11.0,11.0,10.8,10.8,4206.0
2020-11-30 12:30:00,10.9,10.9,10.8,10.8,50850.0
2020-11-30 13:30:00,10.9,10.9,10.7,10.8,18634.0
2020-12-01 10:30:00,10.8,10.9,10.8,10.9,10228.0
2020-12-01 11:30:00,10.9,11.2,10.9,11.0,22545.0
2020-12-01 12:30:00,11.0,11.4,11.0,11.4,126816.0
2020-12-01 13:30:00,11.2,11.4,11.1,11.4,70695.0
2020-12-02 10:30:00,11.4,11.4,11.3,11.4,5614.0
2020-12-02 11:30:00,11.3,11.4,11.2,11.2,27059.0
2020-12-02 12:30:00,11.2,11.3,11.2,11.3,10900.0
2020-12-02 13:30:00,11.2,11.3,11.2,11.3,6213.0
2020-12-03 10:30:00,11.2,11.2,11.2,11.2,5157.0
2020-12-03 11:30:00,11.1,11.3,11.0,11.3,33260.0
2020-12-03 12:30:00,11.2,11.2,11.1,11.1,500.0
2020-12-03 13:30:00,11.1,11.2,11.1,11.1,6883.0
2020-12-04 10:30:00,11.0,11.2,11.0,11.2,6023.0
2020-12-04 11:30:00,11.1,11.3,11.0,11.2,74838.0
2020-12-04 12:30:00,11.2,11.3,11.1,11.3,5772.0
2020-12-04 13:30:00,11.2,11.9,11.2,11.9,454686.0
2020-12-07 10:30:00,11.2,12.2,11.2,12.0,118412.0
