Date,Open,High,Low,Close,Volume
2021-09-27 09:30:00,3.6,24.0,3.6,18.1,3357714.0
2021-09-27 13:30:00,18.0,18.0,15.7,15.8,581711.0
2021-09-28 09:30:00,17.4,17.8,12.5,14.1,846388.0
2021-09-28 13:30:00,14.4,14.5,12.9,13.0,283236.0
2021-09-29 09:30:00,13.0,13.5,12.0,13.0,161124.0
2021-09-29 13:30:00,12.9,13.1,12.8,13.0,103141.0
2021-09-30 09:30:00,13.9,18.2,13.4,17.4,807777.0
2021-09-30 13:30:00,17.0,18.8,16.9,18.6,643297.0
2021-10-01 09:30:00,18.6,20.0,13.7,14.1,20711920.0
2021-10-01 13:30:00,14.1,14.1,13.7,14.0,1193549.0
2021-10-04 09:30:00,14.0,14.1,13.4,13.9,1068583.0
2021-10-04 13:30:00,13.9,13.9,13.7,13.9,230094.0
2021-10-05 09:30:00,13.9,13.9,12.8,13.1,1352917.0
2021-10-05 13:30:00,13.2,13.4,13.2,13.4,31301.0
2021-10-06 09:30:00,13.5,14.2,13.4,13.9,1184130.0
2021-10-06 13:30:00,13.9,14.3,13.6,14.2,640269.0
2021-10-07 09:30:00,14.3,14.3,13.7,13.8,324420.0
2021-10-07 13:30:00,13.8,13.9,13.7,13.9,85921.0
2021-10-08 09:30:00,13.9,14.1,13.7,13.8,207937.0
2021-10-08 13:30:00,14.0,14.0,13.8,13.9,79667.0
2021-10-11 09:30:00,13.9,14.1,13.8,13.9,94493.0
2021-10-11 13:30:00,13.9,14.0,13.8,13.9,42112.0
2021-10-12 09:30:00,14.0,14.0,13.4,13.5,182834.0
2021-10-12 13:30:00,13.5,13.6,13.4,13.5,149743.0
2021-10-13 09:30:00,13.4,13.5,13.2,13.2,145739.0
2021-10-13 13:30:00,13.4,13.4,13.2,13.2,92330.0
2021-10-14 09:30:00,13.3,13.9,13.1,13.3,127221.0
2021-10-14 13:30:00,13.4,13.5,13.3,13.3,41895.0
2021-10-15 09:30:00,13.5,13.6,13.3,13.4,65682.0
2021-10-15 13:30:00,13.4,13.4,13.1,13.1,28569.0
2021-10-18 09:30:00,13.3,13.6,13.0,13.3,116950.0
2021-10-18 13:30:00,13.2,13.4,13.0,13.2,33499.0
2021-10-21 09:30:00,13.2,13.4,12.7,13.0,88246.0
2021-10-21 13:30:00,13.0,13.0,12.8,12.8,41207.0
2021-10-22 09:30:00,13.5,13.5,12.4,12.4,226181.0
2021-10-22 13:30:00,12.5,12.7,12.4,12.5,70586.0
2021-10-25 09:30:00,12.8,12.8,12.0,12.1,325040.0
2021-10-25 13:30:00,12.1,12.2,12.0,12.0,244772.0
2021-10-26 09:30:00,12.3,13.9,11.9,13.1,845141.0
2021-10-26 13:30:00,13.1,13.2,13.0,13.0,151235.0
2021-10-27 09:30:00,13.4,13.6,12.0,13.2,6256241.0
2021-10-27 13:30:00,13.2,13.4,13.0,13.1,612101.0
2021-10-28 09:30:00,13.2,13.6,13.0,13.1,811431.0
2021-10-28 13:30:00,13.1,13.2,12.9,13.0,347356.0
2021-10-29 09:30:00,13.0,13.4,13.0,13.2,436896.0
2021-10-29 13:30:00,13.2,13.2,13.0,13.0,417316.0
2021-11-01 09:30:00,13.3,13.3,12.9,12.9,117830.0
2021-11-01 13:30:00,13.0,13.0,12.5,12.5,140420.0
2021-11-02 09:30:00,12.8,13.0,12.5,12.5,102901.0
2021-11-02 13:30:00,12.9,12.9,12.6,12.9,49784.0
2021-11-03 09:30:00,12.9,12.9,12.4,12.7,323554.0
2021-11-03 13:30:00,12.5,12.6,12.1,12.6,154756.0
2021-11-05 09:30:00,12.6,12.6,11.8,11.9,510818.0
2021-11-05 13:30:00,11.9,12.3,11.8,12.1,40982.0
2021-11-08 09:30:00,12.0,12.9,11.8,12.8,243988.0
2021-11-08 13:30:00,12.9,12.9,12.6,12.9,188877.0
2021-11-09 09:30:00,13.0,13.5,12.7,13.2,369047.0
2021-11-09 13:30:00,13.1,13.2,12.8,13.0,150144.0
2021-11-10 09:30:00,12.8,15.6,12.5,14.0,4123238.0
2021-11-10 13:30:00,14.1,14.7,13.8,14.5,870335.0
2021-11-11 09:30:00,14.8,15.5,14.0,14.6,2230926.0
2021-11-11 13:30:00,14.6,14.6,14.0,14.1,286212.0
2021-11-12 09:30:00,15.0,15.1,13.8,13.9,999266.0
2021-11-12 13:30:00,14.0,14.4,13.8,14.1,213712.0
2021-11-15 09:30:00,13.9,14.8,13.7,14.5,317328.0
2021-11-15 13:30:00,14.4,14.7,14.2,14.2,217710.0
2021-11-16 09:30:00,14.3,14.3,13.9,14.2,474145.0
2021-11-16 13:30:00,14.3,14.5,13.9,14.1,332291.0
2021-11-17 09:30:00,14.3,14.6,13.9,14.2,542485.0
2021-11-17 13:30:00,14.3,14.5,14.2,14.4,112735.0
2021-11-19 09:30:00,14.5,14.7,14.0,14.2,429073.0
2021-11-19 13:30:00,14.2,14.4,14.2,14.4,112521.0
2021-11-22 09:30:00,14.4,17.5,14.0,16.2,3031308.0
2021-11-22 13:30:00,16.2,17.7,16.2,17.7,1958446.0
2021-11-23 09:30:00,19.9,25.4,19.0,22.5,7652767.0
2021-11-23 13:30:00,22.8,23.0,21.0,22.6,1424104.0
2021-11-24 09:30:00,22.9,23.2,20.0,21.0,1462706.0
2021-11-24 13:30:00,21.0,21.3,20.3,21.2,199000.0
2021-11-25 09:30:00,21.2,25.2,20.9,23.5,2875735.0
2021-11-25 13:30:00,23.5,23.7,23.0,23.5,379919.0
2021-11-26 09:30:00,23.5,31.0,23.5,29.5,6401913.0
2021-11-26 13:30:00,29.1,34.0,28.8,29.4,3098754.0
2021-11-29 09:30:00,31.4,32.0,26.5,28.6,6305025.0
2021-11-29 13:30:00,28.7,29.4,27.6,27.7,841214.0
2021-11-30 09:30:00,29.0,29.5,26.5,27.0,1062707.0
