Date,Open,High,Low,Close,Volume
2019-02-26 10:30:00,45.2,45.2,45.2,45.2,1.0
2019-02-28 12:30:00,57.3,57.3,57.3,57.3,2.0
2019-03-05 10:30:00,57.3,57.3,57.3,57.3,32.0
2019-03-07 09:30:00,56.9,56.9,56.9,56.9,3.0
2019-03-08 10:30:00,48.5,48.5,48.5,48.5,100.0
2019-03-14 10:30:00,58.9,58.9,58.9,58.9,17.0
2019-03-19 09:30:00,49.1,49.1,48.5,48.5,100.0
2019-03-27 13:30:00,52.9,53.0,52.9,53.0,1000.0
2019-04-09 12:30:00,43.4,43.4,43.4,43.4,1.0
2019-04-09 13:30:00,58.7,58.7,58.7,58.7,1.0
2019-04-23 10:30:00,43.0,43.0,43.0,43.0,565.0
2019-04-30 13:30:00,53.0,53.0,53.0,53.0,1.0
2019-05-03 11:30:00,45.6,45.6,45.6,45.6,4.0
2019-05-03 12:30:00,45.5,45.6,45.5,45.6,37.0
2019-05-21 11:30:00,51.8,51.8,51.8,51.8,4.0
2019-05-23 11:30:00,51.5,51.5,51.5,51.5,10.0
2019-05-28 10:30:00,43.6,43.6,43.6,43.6,4.0
2019-05-28 12:30:00,43.6,43.6,43.0,43.0,1000.0
2019-05-28 13:30:00,45.9,45.9,45.9,45.9,100.0
2019-05-30 11:30:00,48.0,48.0,48.0,48.0,1.0
2019-05-30 13:30:00,51.5,51.5,51.5,51.5,2.0
2019-05-31 13:30:00,48.0,48.0,48.0,48.0,2.0
2019-06-03 13:30:00,45.0,45.0,45.0,45.0,2.0
2019-06-07 09:30:00,45.0,45.0,45.0,45.0,98.0
2019-06-10 13:30:00,47.0,47.0,47.0,47.0,112.0
2019-06-12 13:30:00,50.0,50.0,50.0,50.0,100.0
2019-06-13 09:30:00,53.0,53.0,53.0,53.0,1.0
2019-06-19 13:30:00,53.0,54.8,53.0,54.8,200.0
2019-06-28 13:30:00,54.9,54.9,54.9,54.9,505.0
2019-07-02 11:30:00,54.9,54.9,54.9,54.9,2.0
2019-07-04 09:30:00,54.8,55.0,54.8,55.0,200.0
2019-07-04 13:30:00,59.9,60.0,59.9,60.0,200.0
2019-07-10 12:30:00,59.8,59.8,59.8,59.8,10.0
2019-07-12 09:30:00,59.9,59.9,59.9,59.9,6.0
2019-07-15 13:30:00,46.1,49.9,46.1,49.9,540.0
2019-07-26 09:30:00,59.0,59.0,59.0,59.0,201.0
2019-07-29 13:30:00,59.5,59.5,59.5,59.5,18.0
2019-08-27 13:30:00,62.9,63.0,62.9,63.0,505.0
2019-08-30 09:30:00,62.5,62.5,62.5,62.5,1.0
2019-09-20 12:30:00,60.0,60.0,55.0,55.0,5.0
2019-09-27 09:30:00,55.0,55.0,55.0,55.0,100.0
2019-09-30 09:30:00,55.0,55.0,55.0,55.0,94.0
2019-10-03 12:30:00,53.5,53.5,48.1,48.1,200.0
2019-10-03 13:30:00,55.0,55.0,55.0,55.0,1.0
2019-10-10 13:30:00,50.0,50.0,49.2,49.2,200.0
2019-10-11 12:30:00,54.9,54.9,54.9,54.9,292.0
2019-10-21 09:30:00,54.9,54.9,54.9,54.9,2.0
2019-10-24 09:30:00,51.6,51.6,51.6,51.6,100.0
2019-10-28 09:30:00,51.8,51.8,51.8,51.8,1.0
2019-10-31 13:30:00,60.0,60.0,60.0,60.0,2.0
2019-11-06 10:30:00,51.9,51.9,51.9,51.9,1.0
2019-11-15 13:30:00,52.2,52.2,51.0,51.0,102.0
2019-11-20 10:30:00,51.0,51.0,46.2,46.2,100.0
2019-11-27 10:30:00,52.0,52.0,52.0,52.0,1.0
2019-11-27 13:30:00,55.0,55.0,55.0,55.0,1.0
2019-11-28 10:30:00,50.1,50.1,50.0,50.0,291.0
2019-11-28 11:30:00,55.0,55.0,55.0,55.0,3.0
2019-11-29 13:30:00,61.0,61.7,61.0,61.7,4.0
2019-12-04 10:30:00,55.0,55.0,55.0,55.0,65.0
2019-12-04 11:30:00,61.3,61.3,61.3,61.3,338.0
2019-12-10 10:30:00,51.3,52.0,51.0,51.0,106.0
2019-12-10 11:30:00,51.0,51.0,50.0,50.0,45.0
2019-12-10 12:30:00,50.2,53.9,50.0,50.0,810.0
2019-12-10 13:30:00,50.0,52.8,50.0,52.8,3090.0
2019-12-12 09:30:00,52.5,52.5,52.5,52.5,30.0
2019-12-12 11:30:00,56.9,56.9,56.9,56.9,1.0
2019-12-12 12:30:00,59.6,59.6,59.6,59.6,1.0
2019-12-12 13:30:00,59.5,59.5,55.0,55.0,159.0
2019-12-17 09:30:00,52.5,52.5,52.5,52.5,2.0
2019-12-20 09:30:00,54.0,54.0,54.0,54.0,100.0
2019-12-23 10:30:00,52.5,52.5,52.5,52.5,20.0
2020-01-02 12:30:00,42.8,42.8,42.8,42.8,26.0
2020-01-07 13:30:00,54.0,54.0,54.0,54.0,2.0
2020-01-08 10:30:00,45.2,53.0,45.2,53.0,101.0
2020-01-08 11:30:00,53.0,53.0,53.0,53.0,4.0
2020-01-08 12:30:00,45.4,45.4,45.4,45.4,93.0
2020-01-09 09:30:00,54.4,54.4,54.4,54.4,1.0
2020-01-16 09:30:00,53.8,53.8,53.8,53.8,10.0
2020-01-16 11:30:00,50.0,50.0,50.0,50.0,50.0
2020-01-16 12:30:00,51.0,51.0,51.0,51.0,20.0
2020-01-20 12:30:00,48.6,48.6,48.6,48.6,1037.0
2020-01-22 13:30:00,50.7,50.7,50.7,50.7,3.0
2020-01-24 11:30:00,51.3,51.5,51.3,51.5,100.0
2020-01-27 11:30:00,51.5,51.5,51.5,51.5,16.0
2020-01-31 10:30:00,53.0,55.4,53.0,55.4,11.0
2020-02-06 11:30:00,52.9,53.0,52.9,53.0,95.0
2020-02-06 13:30:00,52.9,52.9,52.9,52.9,583.0
2020-02-13 13:30:00,48.0,48.0,48.0,48.0,1.0
2020-02-14 09:30:00,45.0,45.0,40.6,40.6,50.0
2020-02-14 11:30:00,43.0,45.0,43.0,45.0,2450.0
2020-02-18 09:30:00,45.3,45.3,45.3,45.3,1.0
2020-02-27 10:30:00,45.3,45.3,45.3,45.3,100.0
2020-02-28 13:30:00,51.6,51.6,51.6,51.6,2.0
2020-03-10 09:30:00,41.0,41.0,41.0,41.0,4.0
2020-03-20 11:30:00,41.0,41.0,41.0,41.0,2.0
2020-05-13 11:30:00,45.0,45.0,45.0,45.0,20.0
2020-05-19 11:30:00,43.0,47.9,40.9,47.9,437.0
2020-05-29 12:30:00,49.9,49.9,49.9,49.9,10.0
2020-06-01 12:30:00,50.9,50.9,50.9,50.9,1.0
2020-06-02 11:30:00,50.9,50.9,50.9,50.9,10.0
2020-06-02 12:30:00,50.9,50.9,50.9,50.9,1.0
2020-06-19 12:30:00,51.3,51.3,51.3,51.3,2.0
2020-06-25 10:30:00,50.9,50.9,50.9,50.9,50.0
2020-06-25 11:30:00,50.9,50.9,50.0,50.0,550.0
2020-06-26 10:30:00,50.9,50.9,50.8,50.8,683.0
2020-06-30 13:30:00,53.5,53.5,53.5,53.5,10.0
2020-07-03 13:30:00,48.0,48.0,48.0,48.0,80.0
2020-07-06 12:30:00,48.0,48.0,48.0,48.0,1.0
2020-07-07 11:30:00,48.0,48.0,43.5,43.5,15000.0
2020-07-07 13:30:00,54.9,55.0,54.9,55.0,126.0
2020-07-10 13:30:00,48.2,48.2,48.0,48.0,650.0
2020-07-21 11:30:00,57.9,57.9,57.9,57.9,5.0
2020-07-21 13:30:00,57.6,57.6,57.6,57.6,180.0
2020-07-22 11:30:00,57.0,57.0,57.0,57.0,300.0
2020-07-24 10:30:00,49.2,49.2,49.2,49.2,180.0
2020-07-27 12:30:00,51.0,51.0,50.3,50.3,500.0
2020-07-31 13:30:00,53.5,54.0,53.5,54.0,81.0
2020-08-04 10:30:00,49.5,49.5,49.5,49.5,101.0
2020-08-04 11:30:00,51.0,51.0,51.0,51.0,76.0
2020-08-04 12:30:00,50.1,50.1,50.1,50.1,25.0
2020-08-05 11:30:00,50.1,50.1,49.5,49.5,500.0
2020-08-10 13:30:00,49.1,49.1,49.1,49.1,100.0
2020-08-17 12:30:00,48.5,48.5,48.5,48.5,10.0
2020-08-19 10:30:00,53.0,53.0,53.0,53.0,1.0
2020-08-19 11:30:00,52.5,52.7,52.5,52.7,21.0
2020-08-20 12:30:00,52.0,52.0,52.0,52.0,50.0
2020-08-20 13:30:00,49.0,49.0,49.0,49.0,5.0
2020-08-24 11:30:00,49.0,49.0,48.5,48.5,300.0
2020-08-25 10:30:00,48.6,48.6,48.6,48.6,9.0
2020-08-31 12:30:00,51.5,51.5,51.5,51.5,34.0
2020-09-08 10:30:00,52.0,56.8,52.0,56.8,519.0
2020-09-08 13:30:00,55.9,55.9,55.9,55.9,100.0
2020-09-09 12:30:00,50.2,55.5,50.2,50.3,3.0
2020-09-14 13:30:00,51.2,51.2,51.1,51.2,420.0
2020-09-17 11:30:00,52.1,52.1,52.1,52.1,120.0
2020-09-18 11:30:00,52.1,52.1,52.1,52.1,100.0
2020-09-21 10:30:00,55.0,55.0,55.0,55.0,100.0
2020-09-22 11:30:00,51.0,51.0,51.0,51.0,126.0
2020-09-23 12:30:00,54.0,54.0,54.0,54.0,5.0
2020-09-24 10:30:00,54.0,55.0,54.0,55.0,343.0
2020-09-24 11:30:00,54.0,54.0,54.0,54.0,1000.0
2020-09-25 10:30:00,54.0,54.0,54.0,54.0,15.0
2020-09-25 13:30:00,54.0,55.0,54.0,55.0,488.0
2020-09-28 10:30:00,55.5,65.0,55.5,65.0,1506.0
2020-09-28 12:30:00,64.7,67.9,64.7,64.8,10349.0
2020-09-28 13:30:00,64.8,64.8,64.8,64.8,50.0
2020-09-29 12:30:00,67.7,67.7,64.8,64.8,1201.0
2020-09-29 13:30:00,64.8,64.8,64.8,64.8,248.0
2020-09-30 10:30:00,64.8,64.8,64.8,64.8,15.0
2020-09-30 12:30:00,68.0,68.0,68.0,68.0,1.0
2020-10-05 11:30:00,64.8,64.8,64.8,64.8,537.0
2020-10-05 13:30:00,57.2,57.2,57.2,57.2,10.0
2020-10-06 11:30:00,64.0,64.0,64.0,64.0,1000.0
2020-10-13 11:30:00,60.0,60.0,51.6,51.6,245.0
2020-10-13 13:30:00,55.1,55.1,55.0,55.0,1728.0
2020-10-14 11:30:00,59.9,59.9,59.9,59.9,1.0
2020-10-14 12:30:00,55.0,55.0,55.0,55.0,15.0
2020-10-15 10:30:00,55.0,55.0,55.0,55.0,17.0
2020-10-15 11:30:00,58.5,58.5,58.5,58.5,1.0
2020-10-16 10:30:00,55.0,55.0,55.0,55.0,183.0
2020-10-19 10:30:00,58.5,58.5,58.5,58.5,154.0
2020-10-21 11:30:00,55.0,55.0,55.0,55.0,4.0
2020-10-21 12:30:00,55.0,55.0,52.0,52.0,396.0
2020-10-26 11:30:00,52.0,52.0,52.0,52.0,50.0
2020-10-29 11:30:00,54.0,54.0,54.0,54.0,1.0
2020-10-29 13:30:00,54.0,64.0,54.0,64.0,54.0
2020-11-04 12:30:00,55.9,55.9,55.9,55.9,160.0
2020-11-06 12:30:00,55.9,55.9,55.9,55.9,140.0
2020-11-11 12:30:00,55.9,55.9,55.9,55.9,100.0
2020-11-13 10:30:00,56.0,56.0,47.0,47.0,25.0
2020-11-13 11:30:00,54.0,54.0,54.0,54.0,10.0
2020-11-13 12:30:00,54.4,54.5,54.4,54.5,4.0
2020-11-16 13:30:00,53.1,53.1,53.1,53.1,50.0
2020-11-17 11:30:00,53.5,53.5,53.5,53.5,2.0
2020-11-18 10:30:00,55.8,55.8,55.8,55.8,2.0
2020-11-19 13:30:00,53.0,55.8,51.5,55.8,102.0
2020-11-20 13:30:00,52.0,52.0,51.4,51.4,231.0
2020-11-25 12:30:00,53.5,53.5,53.5,53.5,81.0
2020-11-27 11:30:00,50.5,50.5,50.5,50.5,11.0
2020-11-30 12:30:00,54.5,55.0,51.2,51.2,106.0
2020-12-01 11:30:00,55.0,55.0,55.0,55.0,18.0
2020-12-01 13:30:00,54.0,54.0,52.1,52.1,300.0
2020-12-07 11:30:00,52.1,55.0,52.1,55.0,37.0
2020-12-09 10:30:00,58.5,58.5,58.5,58.5,160.0
2020-12-09 11:30:00,59.2,59.2,59.2,59.2,5.0
2020-12-09 12:30:00,58.0,58.0,58.0,58.0,100.0
2020-12-10 13:30:00,52.6,52.6,52.6,52.6,85.0
2020-12-16 12:30:00,57.8,57.8,55.0,55.0,170.0
