Date,Open,High,Low,Close,Volume
2021-02-01 13:30:00,60.5,60.5,60.0,60.0,10991.0
2021-02-02 09:30:00,60.5,61.0,59.5,59.6,85427.0
2021-02-02 13:30:00,59.5,59.5,58.1,59.0,28231.0
2021-02-03 09:30:00,59.0,61.0,58.1,60.0,37881.0
2021-02-03 13:30:00,59.5,60.0,59.0,59.0,176115.0
2021-02-05 09:30:00,59.0,61.4,59.0,59.0,143332.0
2021-02-05 13:30:00,59.7,61.0,59.7,60.0,1474.0
2021-02-08 09:30:00,60.0,60.8,59.0,59.0,15392.0
2021-02-08 13:30:00,59.1,60.7,59.1,60.0,2850.0
2021-02-09 09:30:00,60.0,60.7,58.5,60.5,106107.0
2021-02-09 13:30:00,60.5,62.0,60.1,61.8,47802.0
2021-02-10 09:30:00,61.0,61.6,60.0,60.2,44625.0
2021-02-10 13:30:00,60.2,60.3,60.0,60.1,48541.0
2021-02-11 09:30:00,60.2,60.2,55.0,58.5,83840.0
2021-02-11 13:30:00,58.5,58.5,58.0,58.5,4992.0
2021-02-12 09:30:00,61.5,61.5,58.6,59.1,17902.0
2021-02-12 13:30:00,60.0,61.0,60.0,61.0,1865.0
2021-02-15 09:30:00,60.1,60.7,59.0,59.0,6982.0
2021-02-15 13:30:00,59.0,59.0,58.7,59.0,20335.0
2021-02-16 09:30:00,59.0,60.0,59.0,59.9,12279.0
2021-02-16 13:30:00,59.1,59.1,59.0,59.0,19638.0
2021-02-17 09:30:00,59.0,60.0,58.7,60.0,43741.0
2021-02-17 13:30:00,59.0,60.0,59.0,59.0,1650.0
2021-02-18 09:30:00,59.2,59.9,58.1,59.0,183804.0
2021-02-18 13:30:00,58.9,59.0,58.9,58.9,1084.0
2021-02-19 09:30:00,60.0,60.0,58.5,58.5,247959.0
2021-02-19 13:30:00,58.5,59.0,58.5,59.0,20202.0
2021-02-22 09:30:00,59.0,59.9,58.7,58.7,196699.0
2021-02-22 13:30:00,58.7,59.0,58.6,59.0,67923.0
2021-02-23 09:30:00,59.0,59.0,57.2,58.0,33516.0
2021-02-23 13:30:00,57.9,59.0,57.9,59.0,29768.0
2021-02-24 09:30:00,58.8,58.8,58.0,58.8,6561.0
2021-02-24 13:30:00,58.7,58.7,58.6,58.7,504.0
2021-02-25 09:30:00,60.0,60.0,58.0,58.0,22025.0
2021-02-25 13:30:00,59.9,60.0,58.2,58.2,3600.0
2021-03-01 09:30:00,60.0,60.7,60.0,60.0,141.0
2021-03-01 13:30:00,58.8,58.8,58.8,58.8,230.0
2021-03-02 09:30:00,59.2,59.2,58.0,58.0,32613.0
2021-03-03 09:30:00,58.0,58.0,57.5,58.0,3288.0
2021-03-03 13:30:00,58.0,58.0,57.6,57.9,3110.0
2021-03-04 09:30:00,57.1,59.9,56.0,56.0,48629.0
2021-03-04 13:30:00,56.0,56.0,55.5,56.0,15580.0
2021-03-05 09:30:00,58.7,58.7,55.8,56.0,79441.0
2021-03-05 13:30:00,56.0,57.0,55.9,57.0,26500.0
2021-03-08 09:30:00,58.0,58.0,57.0,57.9,10116.0
2021-03-08 13:30:00,57.2,57.2,55.8,57.0,34168.0
2021-03-09 09:30:00,57.9,58.0,56.5,57.9,22019.0
2021-03-09 13:30:00,57.9,57.9,56.6,56.6,10857.0
2021-03-10 09:30:00,58.8,58.9,58.7,58.8,1255.0
2021-03-10 13:30:00,58.9,59.0,58.9,59.0,900.0
2021-03-12 09:30:00,57.2,57.3,57.2,57.2,11850.0
2021-03-12 13:30:00,58.9,58.9,58.9,58.9,5010.0
2021-03-15 09:30:00,57.0,59.9,56.0,56.0,34698.0
2021-03-15 13:30:00,58.8,58.8,58.8,58.8,10.0
2021-03-16 09:30:00,56.6,58.8,55.9,56.1,51886.0
2021-03-16 13:30:00,57.0,57.0,56.0,57.0,10112.0
2021-03-17 09:30:00,57.0,57.0,56.4,56.4,235.0
2021-03-18 09:30:00,57.0,57.0,56.1,56.1,3.0
2021-03-18 13:30:00,56.1,56.1,56.0,56.0,13684.0
2021-03-19 09:30:00,56.0,57.0,56.0,57.0,51.0
2021-03-19 13:30:00,56.1,56.9,56.0,56.9,6653.0
2021-03-22 09:30:00,57.0,57.0,56.0,56.0,21471.0
2021-03-22 13:30:00,56.0,57.0,56.0,57.0,11208.0
2021-03-23 09:30:00,57.1,57.1,56.0,56.0,7269.0
2021-03-23 13:30:00,56.0,56.0,56.0,56.0,5580.0
2021-03-24 09:30:00,57.0,59.8,57.0,59.8,1300.0
2021-03-24 13:30:00,56.1,59.7,56.0,59.7,116196.0
2021-03-25 09:30:00,57.0,58.8,56.7,58.8,203.0
2021-03-25 13:30:00,56.7,56.7,56.7,56.7,100.0
2021-03-26 09:30:00,56.7,56.7,56.7,56.7,50.0
2021-03-26 13:30:00,58.3,58.3,58.3,58.3,400.0
2021-03-29 09:30:00,58.3,59.6,58.0,59.6,4103.0
2021-03-29 13:30:00,59.6,59.6,59.6,59.6,1573.0
2021-03-30 09:30:00,59.0,59.8,58.2,59.6,6502.0
2021-03-30 13:30:00,59.5,59.6,59.5,59.6,1030.0
2021-03-31 09:30:00,59.6,59.7,57.7,59.5,19814.0
2021-03-31 13:30:00,59.5,59.5,59.0,59.0,13492.0
2021-04-01 09:30:00,57.9,58.5,57.3,58.5,5887.0
2021-04-01 13:30:00,57.8,58.9,57.8,58.9,2480.0
2021-04-05 09:30:00,58.0,58.8,57.0,57.0,11367.0
2021-04-05 13:30:00,57.0,58.0,57.0,58.0,7310.0
2021-04-06 09:30:00,57.9,57.9,57.0,57.5,1250.0
2021-04-06 13:30:00,57.9,57.9,57.3,57.9,1487.0
2021-04-07 09:30:00,57.8,57.9,57.1,57.8,24004.0
2021-04-07 13:30:00,57.8,57.8,57.4,57.8,5114.0
2021-04-08 09:30:00,57.8,57.9,57.2,57.9,29304.0
2021-04-08 13:30:00,58.0,58.0,57.9,58.0,242100.0
2021-04-09 09:30:00,58.0,58.5,57.7,58.0,2661.0
2021-04-09 13:30:00,57.9,58.0,57.0,58.0,50216.0
2021-04-12 09:30:00,58.0,59.0,57.2,58.5,1992.0
2021-04-12 13:30:00,58.5,58.5,58.5,58.5,500.0
2021-04-15 09:30:00,58.9,59.9,57.4,59.2,3650.0
2021-04-15 13:30:00,59.2,59.2,58.1,58.1,1100.0
2021-04-16 09:30:00,59.3,59.8,59.0,59.0,5012.0
2021-04-16 13:30:00,59.0,59.2,59.0,59.2,3023.0
2021-04-19 09:30:00,59.0,59.8,57.1,59.5,23876.0
2021-04-19 13:30:00,57.8,58.5,57.8,58.5,91.0
2021-04-20 09:30:00,58.0,59.0,57.1,57.1,8799.0
2021-04-20 13:30:00,57.2,58.6,56.5,56.5,51962.0
2021-04-21 09:30:00,57.0,58.0,56.2,58.0,12642.0
2021-04-21 13:30:00,57.0,58.0,57.0,58.0,50020.0
2021-04-22 09:30:00,58.0,58.0,56.5,56.5,114.0
2021-04-22 13:30:00,56.6,56.6,56.6,56.6,100.0
2021-04-23 09:30:00,56.5,57.9,56.0,56.0,65733.0
2021-04-23 13:30:00,57.0,57.0,56.0,56.0,15463.0
2021-04-27 09:30:00,56.3,57.9,56.0,56.0,8726.0
2021-04-27 13:30:00,56.0,56.0,56.0,56.0,200.0
2021-04-28 09:30:00,56.2,57.8,56.0,56.5,2996.0
2021-04-28 13:30:00,56.5,57.4,56.5,57.4,2875.0
2021-04-29 09:30:00,57.6,57.6,56.5,57.6,6150.0
2021-04-30 09:30:00,57.6,57.6,56.5,56.5,600.0
2021-05-03 09:30:00,56.1,57.5,56.1,57.5,3440.0
2021-05-03 13:30:00,56.5,56.5,56.5,56.5,250000.0
2021-05-04 09:30:00,57.5,57.5,56.5,56.5,1551.0
2021-05-04 13:30:00,56.4,56.5,56.0,56.0,12206.0
2021-05-05 09:30:00,57.0,57.0,56.0,56.5,1063.0
2021-05-05 13:30:00,56.8,56.8,56.8,56.8,5.0
