Date,Open,High,Low,Close,Volume
2022-03-11 12:30:00,58.0,58.0,57.9,58.0,8716.0
2022-03-11 13:30:00,57.9,58.0,57.8,57.9,21313.0
2022-03-14 10:30:00,59.0,67.0,58.6,64.9,192487.0
2022-03-14 11:30:00,64.9,65.0,62.1,63.3,77381.0
2022-03-14 12:30:00,62.2,63.9,61.0,63.9,10199.0
2022-03-14 13:30:00,61.5,63.5,60.9,60.9,28188.0
2022-03-15 10:30:00,63.0,64.8,61.0,62.9,12129.0
2022-03-15 11:30:00,61.5,62.0,60.0,61.8,10894.0
2022-03-15 12:30:00,61.7,62.0,61.0,61.0,4112.0
2022-03-15 13:30:00,61.0,61.5,60.0,61.5,16476.0
2022-03-16 10:30:00,61.1,61.1,60.0,60.0,30644.0
2022-03-16 11:30:00,59.9,60.0,56.5,58.0,75488.0
2022-03-16 12:30:00,58.0,58.2,58.0,58.2,13962.0
2022-03-16 13:30:00,59.9,60.0,58.2,59.6,4731.0
2022-03-18 10:30:00,59.7,61.3,59.7,59.8,30426.0
2022-03-18 11:30:00,60.0,61.0,58.2,58.5,32136.0
2022-03-18 12:30:00,59.0,59.0,58.5,58.5,3912.0
2022-03-18 13:30:00,58.6,59.5,58.1,59.4,36317.0
2022-03-21 10:30:00,58.7,60.0,58.5,58.7,3359.0
2022-03-21 11:30:00,59.9,59.9,59.5,59.5,3510.0
2022-03-21 12:30:00,59.5,59.9,59.5,59.9,1431.0
2022-03-21 13:30:00,59.9,59.9,59.5,59.5,2900.0
2022-03-22 10:30:00,59.0,61.9,59.0,61.9,23742.0
2022-03-22 11:30:00,61.8,62.0,60.5,62.0,22803.0
2022-03-22 12:30:00,61.8,61.9,60.5,60.6,10639.0
2022-03-22 13:30:00,60.6,61.6,60.0,61.6,20326.0
2022-03-23 10:30:00,61.6,61.6,60.0,60.0,4515.0
2022-03-23 11:30:00,60.5,60.5,59.5,59.5,532.0
2022-03-23 12:30:00,60.0,60.5,59.6,60.5,2523.0
2022-03-23 13:30:00,60.5,60.5,60.4,60.4,110.0
2022-03-24 10:30:00,60.5,60.5,60.0,60.5,11516.0
2022-03-24 11:30:00,60.5,61.0,60.4,60.4,12616.0
2022-03-24 12:30:00,60.4,60.5,59.3,60.5,11315.0
2022-03-24 13:30:00,60.3,60.4,59.5,59.5,4235.0
2022-03-25 10:30:00,59.7,61.0,59.7,61.0,6934.0
2022-03-25 11:30:00,61.0,62.0,59.7,59.7,75715.0
2022-03-25 12:30:00,59.7,59.7,59.5,59.5,1023.0
2022-03-25 13:30:00,59.6,59.6,59.3,59.4,15946.0
2022-03-28 10:30:00,59.2,61.0,59.2,61.0,6415.0
2022-03-28 11:30:00,59.2,61.0,59.1,61.0,12921.0
2022-03-28 12:30:00,60.0,60.0,59.2,59.2,11625.0
2022-03-28 13:30:00,59.2,59.5,59.1,59.3,28685.0
2022-03-29 10:30:00,59.2,59.2,58.0,58.5,64021.0
2022-03-29 11:30:00,58.2,58.4,58.0,58.0,8623.0
2022-03-29 12:30:00,58.1,58.1,58.0,58.0,8200.0
2022-03-29 13:30:00,58.0,58.0,56.7,56.7,17701.0
2022-03-30 10:30:00,56.7,56.7,53.0,53.0,91304.0
2022-03-30 11:30:00,53.0,55.0,50.1,52.0,113736.0
2022-03-30 12:30:00,51.0,53.5,51.0,53.0,21934.0
2022-03-30 13:30:00,52.3,53.5,50.2,52.0,25227.0
2022-03-31 10:30:00,52.1,53.3,50.1,50.1,28700.0
2022-03-31 11:30:00,50.2,52.0,49.0,49.0,179107.0
2022-04-01 10:30:00,49.0,49.0,47.0,47.0,6973.0
2022-04-01 11:30:00,47.0,48.0,47.0,48.0,400.0
2022-04-04 10:30:00,46.0,46.0,45.1,46.0,15555.0
2022-04-04 11:30:00,46.0,53.1,45.0,49.9,51971.0
2022-04-05 10:30:00,47.1,51.0,47.0,49.9,23482.0
2022-04-05 11:30:00,50.0,50.9,49.1,50.0,21119.0
2022-04-06 10:30:00,50.0,52.0,49.5,49.5,19268.0
2022-04-06 11:30:00,49.5,50.0,49.0,49.5,12644.0
2022-04-07 10:30:00,48.0,49.4,47.0,48.1,54587.0
2022-04-07 11:30:00,48.1,49.0,48.0,48.1,13334.0
2022-04-08 10:30:00,50.0,50.0,45.1,47.6,44814.0
2022-04-08 11:30:00,47.6,48.0,46.0,48.0,8692.0
2022-04-25 10:30:00,43.1,44.0,43.0,43.0,38515.0
2022-04-26 10:30:00,42.0,42.0,40.0,40.0,14582.0
2022-04-26 11:30:00,40.0,40.0,40.0,40.0,34600.0
2022-04-27 10:30:00,40.0,48.2,40.0,48.0,79033.0
2022-04-27 11:30:00,47.5,47.5,44.1,47.0,67863.0
2022-04-28 10:30:00,46.0,49.9,45.0,46.0,54257.0
2022-04-28 11:30:00,47.0,53.0,46.0,52.9,77718.0
2022-04-29 10:30:00,52.6,53.5,52.0,53.5,24381.0
2022-04-29 11:30:00,52.1,53.4,50.0,50.9,33714.0
2022-05-04 10:30:00,49.5,51.5,47.1,47.7,12322.0
2022-05-04 11:30:00,50.0,50.0,49.0,50.0,9098.0
2022-05-05 10:30:00,49.0,50.0,48.8,48.8,1244.0
2022-05-05 11:30:00,48.8,48.8,48.1,48.1,11922.0
2022-05-06 10:30:00,48.4,48.4,47.7,47.7,10674.0
2022-05-06 11:30:00,47.6,48.0,46.0,46.0,23746.0
2022-05-09 10:30:00,45.5,47.4,45.0,45.2,19826.0
2022-05-09 11:30:00,45.4,47.7,45.3,45.3,27008.0
2022-05-12 10:30:00,45.0,49.5,45.0,49.5,36812.0
2022-05-12 11:30:00,49.2,49.6,45.0,49.1,152247.0
2022-05-13 10:30:00,49.8,51.4,49.4,51.0,42216.0
2022-05-13 11:30:00,51.4,51.4,49.5,49.9,50479.0
2022-05-17 10:30:00,50.4,52.0,50.4,51.9,54731.0
2022-05-17 11:30:00,51.9,54.4,51.9,54.0,48977.0
2022-05-18 10:30:00,54.8,56.5,53.0,56.0,62665.0
2022-05-18 11:30:00,56.0,56.0,53.9,55.7,12372.0
2022-05-19 10:30:00,57.0,57.0,53.1,54.1,51428.0
2022-05-19 11:30:00,53.1,54.0,53.0,54.0,26040.0
2022-05-20 10:30:00,54.0,55.9,54.0,54.2,72062.0
2022-05-20 11:30:00,54.0,54.2,52.9,52.9,60065.0
2022-05-23 10:30:00,53.0,53.1,51.5,53.0,76698.0
2022-05-23 11:30:00,52.1,52.9,50.2,52.5,112540.0
2022-05-24 10:30:00,53.0,53.0,50.8,50.9,20135.0
2022-05-24 11:30:00,52.0,52.0,50.4,50.5,55871.0
2022-05-25 10:30:00,52.0,52.0,50.6,50.6,9351.0
2022-05-25 11:30:00,50.5,50.6,50.1,50.5,11064.0
2022-05-26 10:30:00,50.5,51.0,50.0,50.0,8585.0
2022-05-26 11:30:00,51.0,51.4,50.0,50.0,18709.0
2022-05-27 10:30:00,50.0,51.5,50.0,50.2,33840.0
2022-05-27 11:30:00,50.2,50.5,49.6,49.6,35017.0
2022-05-30 10:30:00,49.7,50.1,49.6,50.1,4539.0
2022-05-30 11:30:00,50.1,50.5,50.0,50.0,12039.0
2022-05-31 10:30:00,50.0,50.1,50.0,50.0,79252.0
2022-05-31 11:30:00,50.2,50.3,50.0,50.3,131789.0
2022-06-01 10:30:00,50.5,50.5,50.0,50.0,23309.0
2022-06-01 11:30:00,49.7,50.0,49.5,49.6,10640.0
2022-06-02 10:30:00,50.5,50.5,49.0,50.0,25090.0
2022-06-02 11:30:00,50.0,50.4,50.0,50.0,60637.0
2022-06-03 10:30:00,50.4,50.4,50.0,50.0,13132.0
2022-06-03 11:30:00,50.0,50.0,49.5,50.0,33286.0
2022-06-06 10:30:00,50.0,50.0,49.0,49.0,34942.0
2022-06-06 11:30:00,50.0,50.5,49.2,49.2,13017.0
2022-06-07 10:30:00,49.0,50.0,49.0,49.6,41226.0
2022-06-07 11:30:00,49.5,50.5,49.5,50.5,10009.0
2022-06-08 10:30:00,50.0,52.2,49.9,52.0,33528.0
2022-06-08 11:30:00,52.0,52.2,51.5,51.5,14479.0
2022-06-09 10:30:00,52.5,54.0,52.5,53.8,67975.0
2022-06-09 11:30:00,53.9,54.8,53.8,54.0,94419.0
2022-06-10 10:30:00,54.7,56.5,54.1,56.5,147029.0
2022-06-10 11:30:00,56.3,56.8,56.0,56.3,131931.0
2022-06-13 10:30:00,58.0,58.0,56.0,57.1,63211.0
2022-06-13 11:30:00,57.1,57.4,57.1,57.1,38396.0
2022-06-15 10:30:00,57.1,57.1,55.5,57.0,44539.0
2022-06-15 11:30:00,57.0,57.3,57.0,57.1,47698.0
2022-06-16 10:30:00,56.0,58.0,56.0,57.5,24288.0
2022-06-16 11:30:00,57.6,57.6,57.0,57.0,31845.0
2022-06-17 10:30:00,57.0,58.2,57.0,58.2,116479.0
2022-06-17 11:30:00,58.3,58.3,57.8,58.0,131981.0
2022-06-20 10:30:00,56.0,57.0,55.0,56.0,47335.0
2022-06-20 11:30:00,56.1,58.0,56.1,58.0,66277.0
2022-06-21 10:30:00,58.0,59.0,58.0,59.0,52787.0
2022-06-21 11:30:00,58.8,58.9,58.0,58.5,12740.0
2022-06-22 10:30:00,59.1,59.5,57.5,58.4,161910.0
2022-06-22 11:30:00,58.1,58.5,58.0,58.0,42999.0
2022-06-23 10:30:00,59.4,59.4,57.6,58.5,13615.0
2022-06-23 11:30:00,58.1,58.1,57.9,58.0,8885.0
2022-06-24 10:30:00,58.5,58.5,57.8,58.0,89794.0
2022-06-24 11:30:00,58.4,58.5,57.7,57.7,27283.0
2022-06-27 10:30:00,58.0,58.0,57.7,57.7,2661.0
2022-06-27 11:30:00,57.7,58.4,57.7,57.8,8620.0
2022-06-28 10:30:00,57.7,57.7,55.5,55.5,15973.0
2022-06-28 11:30:00,55.6,57.0,55.6,56.5,28908.0
2022-06-29 10:30:00,55.2,56.8,55.0,55.2,104936.0
2022-06-29 11:30:00,55.2,55.6,55.0,55.1,52717.0
2022-06-30 10:30:00,55.6,55.6,54.8,55.0,17261.0
2022-06-30 11:30:00,55.0,55.0,54.0,55.0,82004.0
2022-07-01 10:30:00,54.0,56.0,53.5,54.0,132080.0
2022-07-01 11:30:00,54.0,54.9,54.0,54.1,100986.0
2022-07-04 10:30:00,54.0,54.4,54.0,54.0,96136.0
2022-07-04 11:30:00,53.8,54.0,53.5,53.6,21013.0
2022-07-05 10:30:00,54.0,54.0,52.7,52.9,146212.0
2022-07-05 11:30:00,52.9,54.0,52.9,53.0,31248.0
2022-07-06 10:30:00,53.0,53.0,51.0,51.0,44731.0
2022-07-06 11:30:00,51.9,52.0,51.0,52.0,20711.0
2022-07-07 10:30:00,50.1,50.1,49.5,50.0,54029.0
2022-07-07 11:30:00,50.0,51.1,50.0,51.1,20851.0
2022-07-08 10:30:00,51.5,51.5,49.5,50.0,88355.0
2022-07-08 11:30:00,49.6,50.0,49.0,49.1,241239.0
2022-07-11 10:30:00,50.0,52.0,49.0,49.0,45373.0
2022-07-11 11:30:00,49.1,51.5,49.0,51.5,31783.0
2022-07-12 10:30:00,51.9,52.9,51.5,52.0,88367.0
2022-07-12 11:30:00,51.8,51.8,51.0,51.0,21471.0
2022-07-14 10:30:00,51.0,51.0,49.5,50.0,46667.0
2022-07-14 11:30:00,49.5,52.6,49.5,52.0,63681.0
2022-07-15 10:30:00,52.0,52.4,50.0,52.3,34344.0
2022-07-15 11:30:00,52.3,52.3,51.4,52.2,21470.0
2022-07-18 10:30:00,51.9,53.0,51.9,53.0,21214.0
2022-07-18 11:30:00,53.0,55.0,53.0,55.0,72452.0
2022-07-19 10:30:00,54.0,57.0,53.5,56.2,24070.0
2022-07-19 11:30:00,56.8,57.5,56.0,57.0,269748.0
2022-07-20 10:30:00,57.9,57.9,57.5,57.5,7995.0
2022-07-20 11:30:00,57.8,58.0,57.0,57.5,201283.0
2022-07-21 10:30:00,58.0,58.8,57.3,57.3,189245.0
2022-07-21 11:30:00,58.0,58.5,57.6,58.5,22387.0
2022-07-22 10:30:00,58.0,59.9,58.0,58.8,37356.0
2022-07-22 11:30:00,58.6,59.0,58.5,58.9,20285.0
2022-07-25 10:30:00,59.0,59.0,58.6,58.6,20149.0
2022-07-25 11:30:00,58.8,60.0,58.6,60.0,32520.0
2022-07-26 10:30:00,59.8,60.0,58.9,58.9,14815.0
2022-07-26 11:30:00,58.8,58.8,58.5,58.8,13787.0
2022-07-27 10:30:00,58.0,59.6,58.0,59.6,4731.0
2022-07-27 11:30:00,59.6,59.9,58.5,59.0,16320.0
2022-07-28 10:30:00,59.9,59.9,59.5,59.8,1265.0
