Date,Open,High,Low,Close,Volume
2024-05-14 12:30:00,91.8,92.3,91.2,92.0,83625.0
2024-05-14 13:30:00,91.4,92.2,91.2,91.9,62068.0
2024-05-15 09:30:00,91.7,93.0,91.0,92.5,153140.0
2024-05-15 10:30:00,92.9,92.9,92.0,92.0,35823.0
2024-05-15 11:30:00,92.0,92.2,91.8,92.2,42861.0
2024-05-15 12:30:00,92.3,92.4,91.5,91.6,44722.0
2024-05-15 13:30:00,91.6,91.7,91.0,91.1,95815.0
2024-05-16 09:30:00,91.0,92.5,91.0,91.5,60180.0
2024-05-16 10:30:00,91.5,91.9,91.1,91.5,32758.0
2024-05-16 11:30:00,91.5,91.5,91.0,91.0,51398.0
2024-05-16 12:30:00,91.0,91.2,91.0,91.1,170149.0
2024-05-16 13:30:00,91.1,91.3,91.1,91.3,28237.0
2024-05-17 09:30:00,91.8,92.5,91.8,92.0,26542.0
2024-05-17 10:30:00,92.0,92.0,91.9,91.9,3323.0
2024-05-17 11:30:00,91.8,92.2,91.5,92.0,105385.0
2024-05-17 12:30:00,92.0,92.2,92.0,92.2,3148.0
2024-05-17 13:30:00,92.0,92.8,91.8,92.5,80425.0
2024-05-20 09:30:00,93.0,94.0,92.4,93.8,278807.0
2024-05-20 10:30:00,93.8,93.9,90.5,90.5,222618.0
2024-05-20 11:30:00,90.5,92.2,90.5,92.2,145016.0
2024-05-20 12:30:00,91.7,93.1,91.7,93.0,105901.0
2024-05-20 13:30:00,92.8,93.1,92.1,93.0,42374.0
2024-05-21 09:30:00,92.7,93.0,90.6,91.0,24214.0
2024-05-21 10:30:00,91.0,91.8,90.8,91.5,48620.0
2024-05-21 11:30:00,91.5,92.5,91.1,92.0,81287.0
2024-05-21 12:30:00,92.0,92.5,92.0,92.0,50103.0
2024-05-21 13:30:00,92.0,93.0,92.0,93.0,92709.0
2024-05-22 09:30:00,92.9,93.1,92.0,92.5,13778.0
2024-05-22 10:30:00,92.4,93.2,92.4,92.9,20441.0
2024-05-22 11:30:00,92.8,93.1,92.5,93.1,4497.0
2024-05-22 12:30:00,93.0,93.2,93.0,93.2,70190.0
2024-05-22 13:30:00,93.0,94.9,93.0,94.5,524213.0
2024-05-27 09:30:00,94.5,94.6,94.0,94.6,13623.0
2024-05-27 10:30:00,94.5,94.7,94.0,94.0,22815.0
2024-05-27 11:30:00,93.9,94.2,93.0,93.6,11743.0
2024-05-27 12:30:00,93.6,94.0,93.5,93.5,5821.0
2024-05-27 13:30:00,93.8,93.9,93.6,93.6,11105.0
2024-05-28 09:30:00,93.5,93.9,92.0,92.0,24583.0
2024-05-28 10:30:00,92.0,92.9,92.0,92.0,18785.0
2024-05-28 11:30:00,92.0,92.4,91.8,92.0,16016.0
2024-05-28 12:30:00,92.3,92.3,91.9,92.3,10316.0
2024-05-28 13:30:00,92.0,93.0,92.0,93.0,65412.0
2024-05-29 09:30:00,92.7,92.7,91.8,91.8,1865.0
2024-05-29 10:30:00,91.6,92.4,91.5,91.5,9759.0
2024-05-29 11:30:00,91.7,91.8,91.6,91.7,4570.0
2024-05-29 12:30:00,91.8,92.2,91.5,91.7,26191.0
2024-05-29 13:30:00,91.6,92.1,91.6,92.1,87784.0
2024-05-30 09:30:00,91.6,92.4,91.6,92.3,17562.0
2024-05-30 10:30:00,92.3,92.4,92.3,92.3,6717.0
2024-05-30 11:30:00,92.5,92.5,92.0,92.0,18021.0
2024-05-30 12:30:00,92.3,93.8,92.3,93.0,65288.0
2024-05-30 13:30:00,93.0,93.4,92.5,93.3,5817.0
2024-05-31 09:30:00,93.0,93.3,92.5,93.0,10260.0
2024-05-31 10:30:00,92.6,93.1,92.6,93.0,64985.0
2024-05-31 11:30:00,93.0,93.3,93.0,93.0,70400.0
2024-05-31 12:30:00,93.0,93.8,93.0,93.4,40911.0
2024-05-31 13:30:00,93.4,93.4,93.0,93.0,133258.0
2024-06-03 09:30:00,93.1,93.1,93.0,93.1,85013.0
2024-06-03 10:30:00,93.3,93.5,93.0,93.2,149872.0
2024-06-03 11:30:00,93.2,93.8,93.1,93.2,9831.0
2024-06-03 12:30:00,93.2,93.6,93.2,93.5,25491.0
2024-06-03 13:30:00,93.5,94.4,93.5,94.3,105159.0
2024-06-04 09:30:00,94.4,94.4,93.9,94.1,20606.0
2024-06-04 10:30:00,94.1,95.3,94.1,94.5,252068.0
2024-06-04 11:30:00,94.5,95.4,94.4,94.8,402154.0
2024-06-04 12:30:00,94.8,94.8,94.6,94.8,15788.0
2024-06-04 13:30:00,94.8,95.0,94.0,94.5,211758.0
2024-06-05 09:30:00,95.0,95.3,94.5,95.0,9100.0
2024-06-05 10:30:00,94.7,94.7,94.2,94.4,2383.0
2024-06-05 11:30:00,94.2,94.5,94.1,94.3,19686.0
2024-06-05 12:30:00,94.3,94.5,94.2,94.3,4799.0
2024-06-05 13:30:00,94.4,94.6,94.4,94.6,9646.0
2024-06-06 09:30:00,95.0,95.3,94.7,95.0,305788.0
2024-06-06 10:30:00,95.0,95.5,95.0,95.1,68921.0
2024-06-06 11:30:00,95.1,95.1,94.5,94.9,216003.0
2024-06-06 12:30:00,94.9,95.1,94.6,95.0,250193.0
2024-06-06 13:30:00,95.1,95.1,94.9,95.1,26668.0
2024-06-07 09:30:00,95.1,95.4,95.0,95.2,95740.0
2024-06-07 10:30:00,95.4,95.7,95.2,95.6,93589.0
2024-06-07 11:30:00,95.5,95.7,95.1,95.5,58652.0
2024-06-07 12:30:00,95.6,95.6,95.1,95.6,26421.0
2024-06-07 13:30:00,95.6,96.7,95.5,96.5,189732.0
2024-06-10 09:30:00,96.6,98.3,96.6,97.3,168867.0
2024-06-10 10:30:00,97.1,97.7,97.0,97.7,48692.0
2024-06-10 11:30:00,97.7,98.0,97.5,97.5,109854.0
2024-06-10 12:30:00,97.5,99.5,97.5,99.5,536471.0
2024-06-10 13:30:00,99.5,101.5,99.5,101.25,990705.0
2024-06-11 09:30:00,101.25,103.5,101.0,103.0,847572.0
2024-06-11 10:30:00,103.0,106.75,102.75,105.25,1083063.0
2024-06-11 11:30:00,105.25,106.5,105.0,106.5,355598.0
2024-06-11 12:30:00,106.25,106.5,106.0,106.0,121345.0
2024-06-11 13:30:00,106.0,106.25,104.75,105.5,406880.0
2024-06-12 09:30:00,105.25,108.75,105.0,108.5,696744.0
2024-06-12 10:30:00,108.5,108.75,106.5,106.75,246854.0
2024-06-12 11:30:00,106.75,107.0,106.0,106.0,91326.0
2024-06-12 12:30:00,106.0,106.5,105.5,106.5,131732.0
2024-06-12 13:30:00,106.5,108.75,106.5,108.5,592841.0
2024-06-13 09:30:00,109.0,109.0,106.75,108.0,365358.0
2024-06-13 10:30:00,107.75,108.0,107.25,107.75,189263.0
2024-06-13 11:30:00,107.5,107.75,106.25,106.5,177623.0
2024-06-13 12:30:00,106.5,106.75,106.0,106.5,95159.0
2024-06-13 13:30:00,106.5,106.5,105.5,105.5,115632.0
2024-06-14 09:30:00,106.0,106.0,103.5,104.5,326584.0
2024-06-14 10:30:00,104.0,105.75,103.75,105.25,206033.0
2024-06-14 11:30:00,105.5,106.0,105.25,105.5,59189.0
2024-06-14 12:30:00,105.5,106.0,104.75,104.75,59611.0
2024-06-14 13:30:00,105.0,105.0,104.5,104.75,85266.0
2024-06-18 09:30:00,104.75,104.75,103.25,103.75,41116.0
2024-06-18 10:30:00,103.25,104.75,103.25,104.75,104858.0
2024-06-18 11:30:00,104.5,104.75,104.0,104.0,131920.0
2024-06-18 12:30:00,104.0,104.25,103.75,103.75,34858.0
2024-06-18 13:30:00,103.75,104.0,103.5,103.75,42974.0
2024-06-19 09:30:00,103.25,104.0,103.25,103.5,15664.0
2024-06-19 10:30:00,103.75,104.0,103.25,103.75,28154.0
2024-06-19 11:30:00,103.75,103.75,103.0,103.0,209411.0
2024-06-19 12:30:00,103.0,103.75,102.5,103.25,65570.0
2024-06-19 13:30:00,103.25,104.5,103.0,104.5,127537.0
2024-06-20 09:30:00,103.75,104.75,103.75,104.75,22522.0
2024-06-20 10:30:00,104.75,105.25,104.25,104.25,156673.0
2024-06-20 11:30:00,104.75,105.0,104.5,104.5,28731.0
2024-06-20 12:30:00,104.5,104.75,104.5,104.5,23052.0
2024-06-20 13:30:00,104.5,105.75,104.5,105.5,152108.0
2024-06-24 09:30:00,105.0,106.75,105.0,106.75,186098.0
2024-06-24 10:30:00,106.5,107.5,105.5,105.5,228316.0
2024-06-24 11:30:00,105.75,106.0,105.5,105.75,102221.0
2024-06-24 12:30:00,105.75,106.0,105.5,105.75,48118.0
2024-06-24 13:30:00,106.0,106.25,105.5,106.25,271197.0
2024-06-25 09:30:00,106.0,106.25,106.0,106.0,16363.0
2024-06-25 10:30:00,106.25,106.25,105.25,105.5,51442.0
2024-06-25 11:30:00,105.5,105.5,105.5,105.5,3178.0
2024-06-25 12:30:00,105.75,106.25,105.75,106.25,64159.0
2024-06-25 13:30:00,106.0,106.5,106.0,106.25,119815.0
2024-06-26 09:30:00,106.0,107.5,106.0,107.5,144703.0
2024-06-26 10:30:00,107.25,108.25,106.0,108.0,1128283.0
2024-06-26 11:30:00,108.0,108.0,107.0,107.0,243684.0
2024-06-26 12:30:00,107.0,107.0,106.25,106.25,14172.0
2024-06-26 13:30:00,106.5,106.75,106.0,106.75,27895.0
2024-06-27 09:30:00,106.25,106.5,105.5,106.0,11542.0
