Date,Open,High,Low,Close,Volume
2023-11-28 13:30:00,14.16,14.16,14.02,14.16,24500.0
2023-11-29 09:30:00,14.28,14.28,14.1,14.2,142225.0
2023-11-29 13:30:00,14.2,14.38,14.2,14.38,86315.0
2023-11-30 09:30:00,14.0,14.2,14.0,14.2,432460.0
2023-11-30 13:30:00,14.2,14.2,14.2,14.2,1025000.0
2023-12-01 09:30:00,14.1,14.38,14.1,14.2,350730.0
2023-12-01 13:30:00,14.2,14.6,14.2,14.2,121345.0
2023-12-04 09:30:00,14.12,14.3,14.12,14.2,840855.0
2023-12-04 13:30:00,14.14,14.14,14.14,14.14,92700.0
2023-12-05 09:30:00,14.14,14.14,14.14,14.14,27505.0
2023-12-05 13:30:00,14.14,14.2,14.14,14.2,128970.0
2023-12-06 09:30:00,14.3,14.3,14.06,14.12,130050.0
2023-12-06 13:30:00,14.14,14.14,14.12,14.12,7520.0
2023-12-07 09:30:00,14.12,14.4,14.12,14.4,785.0
2023-12-07 13:30:00,14.4,14.4,14.4,14.4,24885.0
2023-12-08 09:30:00,14.4,14.4,14.3,14.3,67305.0
2023-12-08 13:30:00,14.3,14.4,14.3,14.4,1935500.0
2023-12-11 09:30:00,14.4,14.5,14.2,14.2,1354310.0
2023-12-11 13:30:00,14.38,14.4,14.38,14.4,10530.0
2023-12-12 09:30:00,14.4,14.4,14.2,14.2,941090.0
2023-12-12 13:30:00,14.2,14.22,14.2,14.2,1095125.0
2023-12-13 09:30:00,14.2,14.2,14.0,14.06,79760.0
2023-12-14 09:30:00,14.06,14.2,14.02,14.2,9870.0
2023-12-14 13:30:00,14.06,14.06,14.0,14.0,17165.0
2023-12-15 09:30:00,14.02,14.2,13.94,14.0,333895.0
2023-12-15 13:30:00,14.16,14.16,13.96,13.96,261840.0
2023-12-18 09:30:00,13.96,14.0,13.94,13.96,8115.0
2023-12-18 13:30:00,13.96,13.96,13.8,13.9,50075.0
2023-12-19 09:30:00,13.84,13.84,13.78,13.78,20575.0
2023-12-19 13:30:00,13.74,13.74,13.74,13.74,37500.0
