Date,Open,High,Low,Close,Volume
2019-09-10 10:30:00,22.0,22.0,22.0,22.0,200.0
2019-09-10 11:30:00,23.0,23.0,21.0,21.0,15.0
2019-09-10 12:30:00,22.0,22.0,22.0,22.0,1000.0
2019-09-11 09:30:00,23.0,23.0,23.0,23.0,1.0
2019-09-12 10:30:00,22.9,22.9,22.9,22.9,1.0
2019-09-16 11:30:00,21.0,21.0,20.2,20.2,100.0
2019-09-16 13:30:00,22.8,22.8,22.8,22.8,1.0
2019-09-18 09:30:00,20.1,20.1,20.1,20.1,50.0
2019-09-18 13:30:00,20.2,20.2,20.1,20.1,154.0
2019-09-19 09:30:00,20.1,20.7,20.1,20.7,900.0
2019-09-19 11:30:00,20.8,20.8,20.8,20.8,4.0
2019-09-23 13:30:00,20.7,20.7,20.1,20.1,250.0
2019-09-24 09:30:00,20.2,20.2,20.1,20.1,150.0
2019-09-24 13:30:00,20.8,22.5,20.8,22.5,87.0
2019-09-25 11:30:00,22.5,22.5,22.5,22.5,1.0
2019-09-26 10:30:00,21.9,22.3,21.9,22.3,20.0
2019-09-27 09:30:00,22.3,22.3,22.3,22.3,1.0
2019-10-02 09:30:00,20.0,20.0,20.0,20.0,114.0
2019-10-02 10:30:00,20.0,20.0,20.0,20.0,186.0
2019-10-02 12:30:00,20.0,20.0,20.0,20.0,100.0
2019-10-04 10:30:00,21.6,21.6,21.6,21.6,1.0
2019-10-08 10:30:00,20.0,20.0,20.0,20.0,6.0
2019-10-08 11:30:00,21.5,21.5,21.5,21.5,1.0
2019-10-08 13:30:00,21.5,21.5,21.5,21.5,8.0
2019-10-09 11:30:00,21.8,21.8,21.8,21.8,1.0
2019-10-10 10:30:00,20.1,20.1,20.0,20.0,1300.0
2019-10-10 11:30:00,20.0,20.0,20.0,20.0,12100.0
2019-10-11 09:30:00,20.0,21.8,20.0,21.8,12.0
2019-10-14 10:30:00,21.8,21.8,20.0,20.0,10001.0
2019-10-14 11:30:00,21.8,21.8,21.8,21.8,1.0
2019-10-15 09:30:00,21.7,21.7,21.7,21.7,1.0
2019-10-15 12:30:00,19.1,19.1,19.1,19.1,1.0
2019-10-18 13:30:00,20.1,20.1,20.1,20.1,5000.0
2019-10-21 10:30:00,22.0,22.0,22.0,22.0,100.0
2019-10-21 11:30:00,22.0,22.0,22.0,22.0,3.0
2019-10-21 12:30:00,21.1,21.1,21.1,21.1,517.0
2019-10-22 09:30:00,21.4,22.0,21.4,22.0,8275.0
2019-10-22 10:30:00,21.5,21.5,21.5,21.5,2850.0
2019-10-22 12:30:00,22.0,22.0,22.0,22.0,1062.0
2019-10-23 12:30:00,22.4,22.5,22.4,22.5,2950.0
2019-10-24 13:30:00,22.5,22.5,22.5,22.5,1.0
2019-10-28 10:30:00,20.0,20.0,20.0,20.0,100.0
2019-10-28 13:30:00,22.3,22.3,20.5,20.5,50.0
2019-10-29 10:30:00,22.7,22.7,22.7,22.7,1.0
2019-11-01 11:30:00,22.8,22.8,22.8,22.8,1.0
2019-11-01 12:30:00,22.8,22.8,22.8,22.8,309.0
2019-11-01 13:30:00,22.8,22.8,22.8,22.8,691.0
