Date,Open,High,Low,Close,Volume
2022-02-07 13:30:00,28.3,28.5,27.8,28.2,76825.0
2022-02-08 10:30:00,28.3,28.8,27.1,28.0,170721.0
2022-02-08 11:30:00,27.9,27.9,27.1,27.2,108581.0
2022-02-08 12:30:00,27.2,27.4,26.6,27.3,292600.0
2022-02-08 13:30:00,27.2,27.3,27.0,27.3,56992.0
2022-02-09 10:30:00,28.0,28.0,26.5,27.0,85324.0
2022-02-09 11:30:00,27.0,27.0,26.0,26.3,215604.0
2022-02-09 12:30:00,26.3,26.8,25.6,25.7,213652.0
2022-02-09 13:30:00,25.7,26.0,25.5,26.0,168724.0
2022-02-10 10:30:00,26.8,26.8,24.5,25.6,341445.0
2022-02-10 11:30:00,25.6,26.9,25.4,26.9,169439.0
2022-02-10 12:30:00,26.9,26.9,25.8,26.0,33826.0
2022-02-10 13:30:00,25.9,26.3,25.8,26.0,24655.0
2022-02-11 10:30:00,26.0,27.3,26.0,27.2,57656.0
2022-02-11 11:30:00,27.2,27.2,26.7,27.0,59269.0
2022-02-11 12:30:00,27.0,27.1,27.0,27.1,39816.0
2022-02-11 13:30:00,27.0,27.2,26.8,27.0,294530.0
2022-02-14 10:30:00,27.0,27.5,25.1,26.5,97416.0
2022-02-14 11:30:00,26.5,26.6,26.3,26.4,21255.0
2022-02-14 12:30:00,26.4,26.4,26.2,26.4,13601.0
2022-02-14 13:30:00,26.4,26.9,26.3,26.5,53537.0
2022-02-15 10:30:00,26.5,26.5,25.4,25.6,133294.0
2022-02-15 11:30:00,25.5,25.9,25.0,25.7,253726.0
2022-02-15 12:30:00,25.7,25.7,25.4,25.7,17128.0
2022-02-15 13:30:00,25.6,25.6,25.2,25.4,59405.0
2022-02-17 10:30:00,25.4,25.4,24.7,24.9,102416.0
2022-02-17 11:30:00,24.9,24.9,24.3,24.8,28720.0
2022-02-17 12:30:00,24.8,25.5,24.8,25.5,37890.0
2022-02-17 13:30:00,25.1,25.5,24.7,25.0,110002.0
2022-02-18 10:30:00,25.3,25.3,24.5,24.5,78691.0
2022-02-18 11:30:00,25.0,25.0,24.7,24.9,14465.0
2022-02-18 12:30:00,24.9,24.9,24.4,24.5,71430.0
2022-02-18 13:30:00,24.8,24.8,24.1,24.5,84498.0
2022-02-21 10:30:00,25.0,25.0,24.0,24.8,76356.0
2022-02-21 11:30:00,24.7,24.8,23.3,23.3,274940.0
2022-02-21 12:30:00,23.4,24.0,23.0,23.1,308978.0
2022-02-21 13:30:00,23.5,23.8,23.1,23.5,53325.0
2022-02-22 10:30:00,24.0,24.5,23.5,24.3,118579.0
2022-02-22 11:30:00,24.0,24.3,23.9,24.0,37746.0
2022-02-22 12:30:00,24.2,24.4,24.0,24.2,206668.0
2022-02-22 13:30:00,24.2,24.4,23.5,24.0,145301.0
2022-02-23 10:30:00,24.2,24.2,22.7,23.0,170877.0
2022-02-23 11:30:00,22.8,23.0,22.1,22.4,65823.0
2022-02-23 12:30:00,22.4,23.8,22.0,23.8,287188.0
2022-02-23 13:30:00,23.7,23.9,23.2,23.4,57378.0
2022-02-24 10:30:00,23.5,23.5,22.7,23.0,52193.0
2022-02-24 11:30:00,23.0,23.0,22.0,22.0,85352.0
2022-02-24 12:30:00,22.0,22.0,20.6,21.0,264819.0
2022-02-24 13:30:00,21.5,21.5,20.7,21.0,49010.0
2022-02-25 10:30:00,20.1,22.9,20.1,21.9,243118.0
2022-02-25 11:30:00,22.0,22.0,21.9,22.0,42301.0
2022-02-25 12:30:00,22.0,23.0,22.0,23.0,155563.0
2022-02-25 13:30:00,22.9,23.0,22.1,22.9,106229.0
2022-02-28 10:30:00,23.1,23.5,22.7,23.0,57173.0
2022-02-28 11:30:00,23.0,23.3,22.9,23.2,135406.0
2022-02-28 12:30:00,23.3,23.7,23.2,23.7,173946.0
2022-02-28 13:30:00,23.7,25.0,23.3,24.7,124669.0
2022-03-02 10:30:00,24.4,24.4,23.0,23.5,59114.0
2022-03-02 11:30:00,23.9,23.9,23.0,23.8,27517.0
2022-03-02 12:30:00,23.9,24.0,23.8,23.8,17413.0
2022-03-02 13:30:00,23.7,23.9,23.3,23.9,6444.0
2022-03-03 10:30:00,23.9,23.9,23.2,23.6,4985.0
2022-03-03 11:30:00,23.5,23.7,23.0,23.0,41299.0
2022-03-03 12:30:00,23.0,23.2,23.0,23.2,17036.0
2022-03-03 13:30:00,23.1,23.2,23.0,23.0,8701.0
2022-03-04 10:30:00,23.2,23.5,22.7,23.0,115461.0
2022-03-04 11:30:00,23.1,23.1,22.9,22.9,3861.0
2022-03-04 12:30:00,22.9,23.0,22.8,23.0,1274.0
2022-03-04 13:30:00,23.0,23.0,22.7,23.0,13510.0
2022-03-07 10:30:00,22.9,23.3,22.5,22.8,10482.0
2022-03-07 11:30:00,22.7,22.8,22.0,22.1,45344.0
2022-03-07 12:30:00,22.1,22.1,21.9,21.9,45733.0
2022-03-07 13:30:00,22.0,22.0,21.0,21.0,479183.0
2022-03-08 10:30:00,22.2,22.6,21.6,21.6,106170.0
2022-03-08 11:30:00,21.7,22.0,21.5,21.9,45051.0
2022-03-08 12:30:00,21.6,21.6,20.7,21.5,50042.0
2022-03-08 13:30:00,21.0,21.5,20.8,21.4,69342.0
2022-03-09 10:30:00,21.0,21.9,20.9,20.9,46205.0
2022-03-09 11:30:00,20.9,21.3,20.8,21.0,50100.0
2022-03-09 12:30:00,21.0,21.3,20.9,21.0,17736.0
2022-03-09 13:30:00,21.0,21.0,20.5,20.5,67488.0
2022-03-10 10:30:00,20.9,21.9,20.9,21.9,19457.0
2022-03-10 11:30:00,21.9,22.5,21.9,21.9,56053.0
2022-03-10 12:30:00,22.0,22.0,21.9,22.0,10805.0
2022-03-10 13:30:00,22.1,22.4,22.0,22.3,5491.0
2022-03-11 10:30:00,22.6,22.6,21.8,21.8,17260.0
2022-03-11 11:30:00,21.9,21.9,21.5,21.9,13822.0
2022-03-11 12:30:00,22.0,22.0,21.8,22.0,9693.0
2022-03-11 13:30:00,22.0,22.1,21.5,21.5,34350.0
2022-03-14 10:30:00,22.0,22.0,21.2,21.4,57122.0
2022-03-14 11:30:00,21.4,21.5,21.2,21.3,24115.0
2022-03-14 12:30:00,21.2,21.4,21.1,21.1,4122.0
2022-03-14 13:30:00,21.1,21.4,20.6,21.1,39412.0
2022-03-15 10:30:00,21.2,21.2,21.0,21.2,3139.0
2022-03-15 11:30:00,21.2,21.2,20.2,20.4,5900.0
2022-03-15 12:30:00,20.5,21.0,20.5,20.5,15934.0
2022-03-15 13:30:00,20.5,21.0,20.5,21.0,11884.0
2022-03-16 10:30:00,21.0,21.0,20.0,20.1,93084.0
2022-03-16 11:30:00,20.1,20.2,19.4,20.2,31756.0
2022-03-16 12:30:00,20.2,20.2,19.6,19.7,13409.0
2022-03-16 13:30:00,19.6,20.9,19.6,20.8,9358.0
2022-03-18 10:30:00,21.0,21.0,20.0,20.9,31729.0
2022-03-18 11:30:00,20.5,21.0,20.3,20.9,1001.0
2022-03-18 12:30:00,20.7,21.0,20.7,21.0,345.0
2022-03-18 13:30:00,21.0,21.0,20.7,20.9,15815.0
2022-03-21 10:30:00,21.0,21.1,21.0,21.0,292.0
2022-03-21 11:30:00,21.0,21.0,20.7,20.8,1309.0
2022-03-21 12:30:00,20.9,20.9,20.8,20.9,23354.0
2022-03-21 13:30:00,20.9,21.1,20.9,20.9,20763.0
2022-03-22 10:30:00,20.8,22.0,20.8,21.6,13571.0
2022-03-22 11:30:00,21.6,21.6,21.5,21.6,8850.0
2022-03-22 12:30:00,21.6,21.6,21.1,21.1,26783.0
2022-03-22 13:30:00,21.1,21.1,21.1,21.1,4556.0
2022-03-23 10:30:00,21.1,21.3,20.9,20.9,11250.0
2022-03-23 11:30:00,20.9,20.9,20.5,20.5,36000.0
2022-03-23 12:30:00,21.0,21.0,21.0,21.0,25.0
2022-03-23 13:30:00,21.0,21.0,20.6,20.6,6300.0
2022-03-24 10:30:00,20.5,20.5,20.3,20.3,42289.0
2022-03-24 11:30:00,20.3,20.4,20.2,20.4,21860.0
2022-03-24 12:30:00,20.5,20.5,20.0,20.5,97203.0
2022-03-24 13:30:00,20.1,20.5,20.1,20.3,2800.0
2022-03-25 10:30:00,20.5,20.5,20.0,20.1,29602.0
2022-03-25 11:30:00,21.0,21.0,20.2,20.2,21678.0
2022-03-25 12:30:00,20.3,20.9,20.3,20.8,6293.0
2022-03-25 13:30:00,20.7,20.8,20.4,20.7,4256.0
2022-03-28 10:30:00,20.4,20.4,20.2,20.2,18880.0
2022-03-28 11:30:00,20.3,21.0,20.0,20.0,100284.0
2022-03-28 12:30:00,20.5,20.5,20.0,20.1,41755.0
2022-03-28 13:30:00,20.0,20.0,19.8,19.9,22689.0
2022-03-29 10:30:00,20.2,20.2,19.9,20.0,2357.0
2022-03-29 11:30:00,20.0,20.0,18.9,18.9,60834.0
2022-03-29 12:30:00,18.9,18.9,18.4,18.4,73242.0
2022-03-29 13:30:00,18.4,19.9,17.8,18.0,65374.0
2022-03-30 10:30:00,18.0,18.0,17.0,17.0,22254.0
2022-03-30 11:30:00,17.0,17.1,14.2,15.1,151921.0
2022-03-30 12:30:00,15.1,16.2,15.0,16.0,181832.0
2022-03-30 13:30:00,15.6,16.6,15.1,16.5,416862.0
2022-03-31 10:30:00,15.9,16.0,15.8,16.0,27210.0
2022-03-31 11:30:00,16.2,16.2,15.5,15.5,16374.0
2022-04-01 10:30:00,15.0,15.0,15.0,15.0,6139.0
2022-04-01 11:30:00,15.0,15.0,15.0,15.0,700.0
2022-04-04 10:30:00,14.9,14.9,14.9,14.9,7229.0
2022-04-04 11:30:00,14.8,18.5,14.0,17.0,88466.0
2022-04-05 10:30:00,17.5,17.5,16.5,17.4,61043.0
2022-04-05 11:30:00,17.3,17.3,16.0,17.0,41730.0
2022-04-06 10:30:00,17.5,17.5,15.8,16.0,26067.0
2022-04-06 11:30:00,16.0,16.4,15.5,15.8,22769.0
2022-04-07 10:30:00,15.5,15.6,15.5,15.6,27258.0
2022-04-07 11:30:00,15.6,15.6,14.2,15.6,56997.0
2022-04-08 10:30:00,14.6,14.7,14.0,14.6,24816.0
2022-04-08 11:30:00,14.6,14.9,14.2,14.5,20122.0
2022-04-25 10:30:00,12.5,13.2,12.0,12.0,19606.0
2022-04-26 10:30:00,11.0,11.0,10.0,10.5,57406.0
2022-04-26 11:30:00,11.0,11.4,11.0,11.4,7547.0
2022-04-27 10:30:00,9.2,12.0,9.2,12.0,131772.0
2022-04-27 11:30:00,12.8,16.0,12.2,16.0,9663.0
2022-04-28 10:30:00,14.5,14.5,12.9,13.0,64581.0
2022-04-28 11:30:00,13.0,14.6,13.0,14.0,83129.0
2022-04-29 10:30:00,14.6,14.6,13.8,13.8,60221.0
2022-04-29 11:30:00,13.8,13.9,13.5,13.5,29271.0
2022-05-04 10:30:00,14.0,14.0,13.0,13.0,16175.0
2022-05-04 11:30:00,13.0,13.5,12.9,13.5,14552.0
2022-05-05 10:30:00,14.0,14.0,13.0,13.0,10232.0
2022-05-05 11:30:00,12.9,13.1,12.8,12.8,7320.0
2022-05-06 10:30:00,12.8,12.8,12.6,12.7,1418.0
2022-05-06 11:30:00,12.7,12.7,12.6,12.7,20036.0
2022-05-09 10:30:00,13.4,13.8,12.7,13.0,16220.0
2022-05-09 11:30:00,13.0,13.0,12.6,13.0,22887.0
2022-05-12 10:30:00,13.2,14.1,13.2,14.1,27131.0
2022-05-12 11:30:00,14.1,14.5,13.9,13.9,5710.0
2022-05-13 10:30:00,14.4,15.0,14.4,14.9,23201.0
2022-05-13 11:30:00,14.9,14.9,14.5,14.7,51435.0
2022-05-17 10:30:00,15.0,15.7,15.0,15.7,25918.0
2022-05-17 11:30:00,15.3,15.8,15.2,15.7,30140.0
2022-05-18 10:30:00,15.7,15.9,15.1,15.1,26502.0
2022-05-18 11:30:00,15.2,15.2,15.0,15.1,9596.0
2022-05-19 10:30:00,15.1,15.1,14.2,14.2,5723.0
2022-05-19 11:30:00,15.0,15.0,13.8,13.8,35483.0
2022-05-20 10:30:00,14.0,15.2,14.0,15.2,6698.0
2022-05-20 11:30:00,15.0,15.0,14.8,15.0,12367.0
2022-05-23 10:30:00,15.0,15.5,15.0,15.0,31539.0
2022-05-23 11:30:00,15.0,15.0,14.8,14.9,19932.0
2022-05-24 10:30:00,15.0,15.0,14.0,14.1,36782.0
2022-05-24 11:30:00,14.1,14.5,14.0,14.5,6702.0
2022-05-25 10:30:00,14.0,14.2,13.6,14.0,6306.0
2022-05-25 11:30:00,14.2,14.3,13.9,13.9,6786.0
2022-05-26 10:30:00,14.0,14.4,14.0,14.0,1632.0
2022-05-26 11:30:00,14.4,14.4,14.0,14.0,6322.0
2022-05-27 10:30:00,14.0,14.0,13.7,13.9,15286.0
2022-05-27 11:30:00,13.9,13.9,13.0,13.0,46257.0
2022-05-30 10:30:00,13.1,13.5,13.1,13.4,5350.0
2022-05-30 11:30:00,13.4,13.4,12.9,12.9,31847.0
2022-05-31 10:30:00,13.0,13.4,12.9,13.0,16146.0
2022-05-31 11:30:00,13.0,13.4,13.0,13.4,15010.0
2022-06-01 10:30:00,13.4,13.4,12.8,12.8,13600.0
2022-06-01 11:30:00,13.3,13.3,13.0,13.3,9898.0
2022-06-02 10:30:00,13.4,13.4,13.4,13.4,320.0
2022-06-02 11:30:00,13.3,13.3,13.2,13.2,9642.0
2022-06-03 10:30:00,13.5,13.5,13.4,13.4,880.0
2022-06-03 11:30:00,13.5,13.5,13.1,13.5,6100.0
2022-06-06 10:30:00,13.4,13.4,13.0,13.1,6043.0
2022-06-06 11:30:00,13.0,13.1,13.0,13.0,2976.0
2022-06-07 10:30:00,13.0,13.1,12.9,12.9,2315.0
2022-06-07 11:30:00,12.8,12.9,12.5,12.9,17020.0
2022-06-08 10:30:00,12.5,13.0,12.5,12.6,49762.0
2022-06-08 11:30:00,12.6,12.6,12.6,12.6,5912.0
2022-06-09 10:30:00,12.9,13.0,12.5,12.6,76545.0
2022-06-09 11:30:00,12.6,12.6,12.4,12.4,46827.0
2022-06-10 10:30:00,12.3,12.6,12.3,12.5,80987.0
2022-06-10 11:30:00,12.5,12.5,12.0,12.5,83250.0
2022-06-13 10:30:00,12.4,13.0,12.0,12.9,93210.0
2022-06-13 11:30:00,13.0,13.0,12.5,12.5,91704.0
2022-06-15 10:30:00,12.4,12.8,12.3,12.6,4771.0
2022-06-15 11:30:00,12.5,12.9,12.5,12.5,26405.0
2022-06-16 10:30:00,12.5,13.0,12.4,12.4,3090.0
