Date,Open,High,Low,Close,Volume
2019-11-28 13:30:00,36.4,36.9,36.4,36.9,300.0
2019-11-29 09:30:00,36.8,36.8,36.8,36.8,50.0
2019-11-29 13:30:00,36.8,36.8,36.8,36.8,100.0
2019-12-02 09:30:00,36.9,36.9,36.9,36.9,1.0
2019-12-04 13:30:00,36.8,36.8,36.8,36.8,280.0
2019-12-05 09:30:00,36.9,36.9,36.9,36.9,100.0
2019-12-09 13:30:00,35.2,35.2,34.0,34.0,181.0
2019-12-10 09:30:00,36.0,36.0,36.0,36.0,100.0
2019-12-12 13:30:00,36.5,36.5,36.5,36.5,115.0
2019-12-13 09:30:00,34.4,34.4,34.4,34.4,100.0
2019-12-13 13:30:00,36.5,36.5,36.5,36.5,100.0
2020-01-02 09:30:00,33.2,35.2,33.2,35.2,256.0
2020-01-06 13:30:00,36.5,36.5,36.5,36.5,8.0
2020-01-07 13:30:00,37.4,37.4,37.4,37.4,13.0
2020-01-08 09:30:00,36.5,36.5,34.5,34.5,101.0
2020-01-09 09:30:00,37.2,37.2,37.2,37.2,60.0
2020-01-09 13:30:00,37.2,37.2,37.2,37.2,155.0
2020-01-13 09:30:00,37.3,37.3,37.3,37.3,10.0
2020-01-14 13:30:00,32.5,36.7,32.5,36.7,102.0
2020-01-16 09:30:00,32.5,32.5,32.5,32.5,175.0
2020-01-16 13:30:00,36.7,36.7,36.7,36.7,107.0
2020-01-20 09:30:00,32.8,32.8,32.8,32.8,14.0
2020-01-23 09:30:00,36.3,36.3,36.3,36.3,1.0
2020-01-24 09:30:00,33.1,34.1,33.1,34.1,71.0
2020-01-24 13:30:00,34.1,34.1,34.1,34.1,53.0
2020-01-29 09:30:00,34.0,34.0,34.0,34.0,20.0
2020-02-06 13:30:00,35.0,36.0,35.0,36.0,153.0
2020-02-13 09:30:00,32.0,35.7,32.0,35.7,50.0
2020-02-13 13:30:00,35.7,35.7,35.7,35.7,75.0
2020-02-14 13:30:00,32.9,32.9,32.9,32.9,50.0
2020-02-17 09:30:00,32.7,32.7,32.7,32.7,500.0
2020-02-17 13:30:00,35.9,35.9,35.9,35.9,150.0
2020-02-18 13:30:00,33.2,33.2,33.2,33.2,24.0
2020-02-26 09:30:00,32.1,32.1,32.1,32.1,2.0
2020-03-02 09:30:00,32.5,35.9,32.5,35.9,350.0
2020-03-02 13:30:00,35.9,36.0,35.9,36.0,180.0
2020-03-03 13:30:00,33.0,36.0,33.0,36.0,500.0
2020-03-04 09:30:00,33.1,33.1,32.6,32.6,260.0
2020-03-04 13:30:00,35.3,35.3,35.3,35.3,100.0
2020-03-10 13:30:00,31.5,35.0,30.0,35.0,1529.0
2020-03-11 09:30:00,35.7,35.7,35.7,35.7,100.0
2020-05-18 09:30:00,33.8,33.8,33.8,33.8,32.0
2020-05-19 09:30:00,35.0,35.0,35.0,35.0,70.0
2020-05-21 09:30:00,35.0,35.0,35.0,35.0,15.0
2020-05-22 09:30:00,31.1,34.8,30.5,34.8,457.0
2020-05-27 09:30:00,30.8,30.8,30.5,30.5,1845.0
2020-05-27 13:30:00,30.7,33.7,30.7,33.7,501.0
2020-05-29 09:30:00,30.7,30.7,30.7,30.7,261.0
2020-05-29 13:30:00,33.2,33.2,33.2,33.2,110.0
2020-06-03 09:30:00,32.0,32.0,32.0,32.0,100.0
2020-06-03 13:30:00,32.7,33.9,32.7,33.9,700.0
2020-06-09 09:30:00,31.5,31.5,31.5,31.5,100.0
2020-06-09 13:30:00,33.7,33.7,33.7,33.7,100.0
2020-06-11 13:30:00,33.2,33.2,33.2,33.2,1.0
2020-06-12 13:30:00,33.6,33.6,33.6,33.6,50.0
2020-06-16 13:30:00,33.5,33.5,33.5,33.5,10.0
2020-06-19 09:30:00,33.5,33.5,33.5,33.5,1.0
2020-06-19 13:30:00,33.5,33.5,33.5,33.5,1.0
2020-07-02 09:30:00,35.2,35.2,35.2,35.2,200.0
2020-07-07 09:30:00,34.9,34.9,34.9,34.9,25.0
2020-07-07 13:30:00,32.5,32.5,32.5,32.5,1.0
2020-07-08 09:30:00,32.6,32.6,32.6,32.6,100.0
2020-07-08 13:30:00,34.6,34.9,34.6,34.9,300.0
2020-07-13 09:30:00,32.8,32.8,32.7,32.7,480.0
2020-07-13 13:30:00,34.9,35.0,34.9,35.0,255.0
2020-07-15 09:30:00,32.7,32.7,32.7,32.7,9.0
2020-07-16 09:30:00,32.7,32.7,32.7,32.7,10.0
2020-07-22 09:30:00,34.7,34.7,34.7,34.7,20.0
2020-07-22 13:30:00,32.6,32.6,32.6,32.6,10.0
