Date,Open,High,Low,Close,Volume
2021-09-01 09:30:00,10.9,11.2,10.6,11.1,1378379.0
2021-09-02 09:30:00,11.1,11.2,10.9,11.1,713497.0
2021-09-03 09:30:00,11.2,12.0,11.0,11.5,764496.0
2021-09-06 09:30:00,11.6,11.9,11.2,11.3,163334.0
2021-09-07 09:30:00,11.3,11.5,11.1,11.1,381046.0
2021-09-08 09:30:00,11.2,11.2,10.8,11.1,433328.0
2021-09-09 09:30:00,11.0,12.7,11.0,12.5,2547860.0
2021-09-10 09:30:00,12.7,12.9,12.0,12.0,827633.0
2021-09-13 09:30:00,11.8,12.3,11.6,12.0,466137.0
2021-09-14 09:30:00,12.0,13.4,12.0,12.7,2198541.0
2021-09-15 09:30:00,13.1,14.2,13.1,13.8,5473785.0
2021-09-16 09:30:00,13.7,13.9,13.0,13.6,774546.0
2021-09-17 09:30:00,13.4,13.7,13.0,13.3,693309.0
2021-09-21 09:30:00,13.7,15.2,13.7,15.2,4830839.0
2021-09-22 09:30:00,15.3,15.4,14.3,14.7,1190194.0
2021-09-23 09:30:00,14.5,14.6,13.9,14.0,392445.0
2021-09-24 09:30:00,14.4,14.5,14.0,14.0,393149.0
2021-09-27 09:30:00,14.5,14.5,14.0,14.3,674809.0
2021-09-28 09:30:00,14.0,14.7,13.8,14.1,543907.0
2021-09-29 09:30:00,14.5,14.6,14.1,14.5,755238.0
2021-09-30 09:30:00,14.6,14.6,14.0,14.5,1576697.0
2021-10-01 09:30:00,14.6,15.5,14.5,14.5,1309039.0
2021-10-04 09:30:00,14.5,14.8,14.1,14.4,91755.0
2021-10-05 09:30:00,14.4,15.2,14.4,15.0,446298.0
2021-10-06 09:30:00,15.1,15.7,15.0,15.0,1181546.0
2021-10-07 09:30:00,15.4,15.4,14.8,15.0,1291779.0
2021-10-08 09:30:00,14.8,14.9,14.6,14.9,63286.0
2021-10-11 09:30:00,14.9,14.9,14.5,14.6,179969.0
2021-10-12 09:30:00,14.5,14.9,14.1,14.3,109164.0
2021-10-13 09:30:00,14.2,14.2,13.8,14.0,203387.0
2021-10-14 09:30:00,14.0,14.9,14.0,14.4,131357.0
2021-10-15 09:30:00,14.4,14.6,14.4,14.4,128243.0
2021-10-18 09:30:00,14.5,14.5,14.0,14.2,100850.0
2021-10-21 09:30:00,14.3,14.3,13.9,14.0,202819.0
2021-10-22 09:30:00,14.0,14.0,13.8,13.8,60662.0
2021-10-25 09:30:00,13.8,13.9,13.4,13.5,127204.0
2021-10-26 09:30:00,13.7,13.8,13.5,13.8,238079.0
2021-10-27 09:30:00,13.9,13.9,13.3,13.4,122827.0
2021-10-28 09:30:00,13.4,14.5,13.0,14.2,406741.0
2021-10-29 09:30:00,14.6,14.6,13.8,14.0,100478.0
2021-11-01 09:30:00,14.3,14.3,13.8,13.8,22273.0
2021-11-02 09:30:00,13.9,14.0,13.7,13.7,33067.0
2021-11-03 09:30:00,13.9,13.9,13.6,13.7,60989.0
2021-11-05 09:30:00,13.9,13.9,13.7,13.7,260924.0
2021-11-08 09:30:00,13.7,14.0,13.7,13.7,177168.0
2021-11-09 09:30:00,13.7,14.2,13.7,13.7,526088.0
2021-11-10 09:30:00,13.9,14.0,13.7,13.9,134229.0
2021-11-11 09:30:00,13.8,14.1,13.5,13.8,293290.0
2021-11-12 09:30:00,13.9,13.9,13.7,13.9,72346.0
2021-11-15 09:30:00,14.0,14.0,13.7,13.7,390302.0
2021-11-16 09:30:00,13.7,13.8,13.0,13.0,197453.0
2021-11-17 09:30:00,13.0,13.5,12.9,13.5,119947.0
2021-11-19 09:30:00,13.5,14.0,13.0,14.0,162963.0
2021-11-22 09:30:00,13.8,13.8,13.2,13.2,82149.0
2021-11-23 09:30:00,13.1,13.4,13.1,13.2,85893.0
2021-11-24 09:30:00,13.3,13.3,12.9,12.9,77477.0
2021-11-25 09:30:00,12.9,13.5,12.9,13.2,136308.0
2021-11-26 09:30:00,13.0,13.3,12.6,12.8,199317.0
2021-11-29 09:30:00,12.7,13.0,12.1,12.2,542672.0
2021-11-30 09:30:00,12.7,12.7,12.1,12.2,101644.0
2021-12-01 09:30:00,12.1,12.3,11.9,12.0,323112.0
2021-12-02 09:30:00,12.0,13.0,12.0,12.5,182693.0
2021-12-03 09:30:00,12.6,12.6,12.2,12.6,1333.0
