Date,Open,High,Low,Close,Volume
2021-03-18 13:30:00,40.4,40.4,37.5,38.0,8638.0
2021-03-19 09:30:00,39.0,39.0,37.1,37.3,3820.0
2021-03-19 13:30:00,39.8,39.8,39.8,39.8,1.0
2021-03-22 09:30:00,38.0,38.0,37.5,37.9,2367.0
2021-03-22 13:30:00,37.5,37.5,37.4,37.4,300.0
2021-03-23 09:30:00,37.4,37.6,37.0,37.5,4747.0
2021-03-23 13:30:00,37.5,37.5,37.5,37.5,600.0
2021-03-24 09:30:00,37.6,38.0,37.4,38.0,12349.0
2021-03-24 13:30:00,37.8,38.0,37.0,37.7,25258.0
2021-03-25 09:30:00,37.6,38.4,37.6,37.7,6051.0
2021-03-25 13:30:00,37.7,38.0,37.7,37.9,2501.0
2021-03-26 09:30:00,38.6,38.8,37.9,38.0,463.0
2021-03-26 13:30:00,38.0,38.0,37.8,38.0,3037.0
2021-03-29 09:30:00,37.9,38.0,37.9,38.0,18087.0
2021-03-29 13:30:00,37.9,37.9,37.8,37.8,1200.0
2021-03-30 09:30:00,38.0,38.0,37.6,37.6,1472.0
2021-03-30 13:30:00,38.0,38.0,37.6,37.6,796.0
2021-03-31 09:30:00,37.9,38.0,36.9,38.0,2022.0
2021-03-31 13:30:00,37.5,37.5,37.5,37.5,108.0
2021-04-01 09:30:00,38.5,38.5,37.1,37.8,4102.0
2021-04-05 09:30:00,37.5,38.4,37.5,38.4,14832.0
2021-04-05 13:30:00,38.4,38.4,38.4,38.4,2005.0
2021-04-06 09:30:00,38.0,38.5,38.0,38.5,1531.0
2021-04-06 13:30:00,38.5,38.5,38.5,38.5,1000.0
2021-04-07 09:30:00,39.5,39.5,38.0,39.0,3158.0
2021-04-07 13:30:00,39.0,39.0,38.3,38.3,1002.0
2021-04-08 09:30:00,39.0,39.0,38.5,39.0,16.0
2021-04-08 13:30:00,38.5,39.8,38.5,39.8,1539.0
2021-04-09 09:30:00,38.7,39.8,38.1,39.8,15133.0
2021-04-09 13:30:00,39.5,39.5,39.0,39.0,625.0
2021-04-12 09:30:00,39.1,39.8,39.0,39.7,4889.0
2021-04-12 13:30:00,39.7,39.7,39.1,39.7,3083.0
2021-04-15 09:30:00,39.8,40.0,39.8,39.8,19667.0
2021-04-15 13:30:00,39.8,39.8,39.7,39.7,520.0
2021-04-16 09:30:00,39.9,40.0,38.3,39.8,4434.0
2021-04-16 13:30:00,39.7,39.7,39.7,39.7,5690.0
2021-04-19 09:30:00,40.0,40.0,39.6,39.9,3700.0
2021-04-20 09:30:00,39.7,39.7,38.2,38.2,18521.0
2021-04-20 13:30:00,38.2,38.8,38.2,38.8,4000.0
2021-04-21 09:30:00,38.6,38.6,38.2,38.3,1478.0
2021-04-22 09:30:00,39.8,39.8,38.0,38.0,1969.0
2021-04-22 13:30:00,38.0,38.0,38.0,38.0,1544.0
2021-04-23 09:30:00,38.0,38.0,36.9,38.0,11049.0
2021-04-23 13:30:00,37.0,37.9,36.8,36.8,3166.0
2021-04-27 09:30:00,36.0,38.0,36.0,36.2,7902.0
2021-04-27 13:30:00,37.8,37.8,37.8,37.8,584.0
2021-04-28 09:30:00,37.7,37.8,36.6,37.7,11366.0
2021-04-28 13:30:00,37.7,37.7,37.3,37.3,700.0
2021-04-29 09:30:00,37.0,37.9,37.0,37.9,5252.0
2021-04-29 13:30:00,37.2,37.8,37.2,37.8,2600.0
2021-04-30 09:30:00,37.7,37.9,37.7,37.9,5044.0
2021-05-03 09:30:00,38.0,38.0,37.5,37.9,1789.0
2021-05-03 13:30:00,37.3,37.9,37.0,37.9,600.0
2021-05-04 09:30:00,37.5,37.5,37.2,37.2,1560.0
2021-05-05 09:30:00,38.0,38.0,37.1,37.5,750.0
2021-05-05 13:30:00,37.5,37.5,37.5,37.5,1000.0
2021-05-06 09:30:00,37.1,37.5,37.0,37.5,810.0
2021-05-06 13:30:00,37.2,37.2,37.1,37.1,3000.0
2021-05-07 09:30:00,38.0,38.0,37.9,38.0,2311.0
2021-05-07 13:30:00,38.0,38.8,38.0,38.0,5416.0
2021-05-10 09:30:00,38.0,38.5,37.2,38.0,3866.0
2021-05-10 13:30:00,38.0,38.0,37.2,37.2,758.0
2021-05-11 09:30:00,37.2,37.2,37.0,37.2,860.0
2021-05-11 13:30:00,38.0,38.5,38.0,38.5,2720.0
2021-05-12 09:30:00,38.4,38.4,37.5,38.4,350.0
2021-05-13 09:30:00,39.0,41.0,39.0,40.5,49358.0
2021-05-13 13:30:00,40.8,41.0,40.8,40.8,5307.0
2021-05-17 09:30:00,40.9,41.9,40.9,41.4,25291.0
2021-05-17 13:30:00,41.4,41.4,41.0,41.0,6295.0
2021-05-18 09:30:00,41.4,41.4,40.1,41.1,21651.0
2021-05-18 13:30:00,41.0,41.0,41.0,41.0,1998.0
2021-05-19 09:30:00,40.8,40.9,40.1,40.8,4703.0
2021-05-19 13:30:00,40.5,40.8,40.3,40.8,4001.0
2021-05-20 09:30:00,41.5,41.5,40.4,41.3,2860.0
2021-05-20 13:30:00,41.2,41.3,41.1,41.1,24012.0
2021-05-21 09:30:00,41.3,41.3,39.3,41.1,35321.0
2021-05-21 13:30:00,41.0,41.0,39.6,39.6,813.0
2021-05-24 09:30:00,40.1,40.1,39.5,39.5,3523.0
2021-05-24 13:30:00,40.2,40.2,40.2,40.2,1.0
2021-05-25 09:30:00,40.0,41.2,39.6,41.0,5351.0
2021-05-25 13:30:00,40.7,40.7,40.7,40.7,100.0
2021-05-28 09:30:00,40.7,40.7,40.5,40.5,374.0
2021-05-28 13:30:00,40.5,40.7,40.5,40.7,316.0
2021-05-31 09:30:00,41.0,41.0,40.5,40.5,4106.0
2021-05-31 13:30:00,40.2,40.5,40.0,40.5,2959.0
2021-06-01 09:30:00,40.5,41.4,40.0,40.2,10155.0
2021-06-01 13:30:00,40.3,40.5,40.3,40.4,3502.0
2021-06-02 09:30:00,41.5,42.0,40.9,40.9,16425.0
2021-06-03 09:30:00,41.2,41.4,40.8,41.0,4802.0
2021-06-03 13:30:00,41.2,41.3,41.2,41.3,550.0
2021-06-04 09:30:00,40.9,41.0,40.9,41.0,1121.0
2021-06-04 13:30:00,41.0,41.0,40.8,40.8,960.0
2021-06-07 09:30:00,41.5,41.5,40.8,41.2,1208.0
2021-06-07 13:30:00,41.2,41.2,41.0,41.2,995.0
2021-06-08 09:30:00,41.2,41.5,41.1,41.5,8563.0
2021-06-08 13:30:00,41.2,41.5,41.2,41.5,14584.0
2021-06-09 09:30:00,41.1,42.0,41.1,42.0,1430.0
2021-06-09 13:30:00,41.2,41.7,41.2,41.7,1981.0
2021-06-10 09:30:00,41.7,41.9,41.2,41.9,9035.0
2021-06-10 13:30:00,41.9,41.9,41.9,41.9,145.0
2021-06-11 09:30:00,41.9,41.9,41.2,41.5,1050.0
2021-06-11 13:30:00,41.6,41.8,41.4,41.4,4700.0
2021-06-14 09:30:00,41.5,42.0,41.4,42.0,3830.0
2021-06-14 13:30:00,41.9,42.0,41.8,42.0,7220.0
2021-06-15 09:30:00,42.0,42.0,41.7,41.7,2453.0
2021-06-15 13:30:00,41.7,41.7,41.5,41.5,5000.0
2021-06-16 09:30:00,42.0,42.0,41.5,41.9,4173.0
2021-06-16 13:30:00,41.9,41.9,41.9,41.9,1060.0
2021-06-17 09:30:00,42.0,42.0,41.3,41.5,2070.0
2021-06-17 13:30:00,41.5,41.7,41.5,41.7,1168.0
2021-06-18 09:30:00,42.0,42.1,41.9,41.9,26754.0
2021-06-18 13:30:00,41.6,41.6,41.6,41.6,20000.0
2021-06-21 09:30:00,43.0,43.0,41.0,41.0,14485.0
2021-06-21 13:30:00,41.0,41.5,41.0,41.5,2759.0
2021-06-22 09:30:00,41.3,41.6,41.1,41.6,1086.0
2021-06-22 13:30:00,41.6,41.6,41.2,41.6,429.0
2021-06-23 09:30:00,41.3,41.5,41.3,41.3,8268.0
2021-06-23 13:30:00,41.4,41.4,41.4,41.4,760.0
2021-06-25 09:30:00,41.5,41.6,41.3,41.5,4466.0
2021-06-25 13:30:00,41.5,41.5,41.0,41.4,10360.0
2021-06-28 09:30:00,41.0,41.0,39.8,40.7,4998.0
2021-06-28 13:30:00,40.7,40.7,39.9,40.0,11203.0
2021-06-29 09:30:00,40.5,40.5,40.0,40.0,4973.0
2021-06-29 13:30:00,40.0,40.0,39.6,39.8,5005.0
2021-06-30 09:30:00,39.8,40.0,39.7,40.0,3763.0
2021-06-30 13:30:00,40.0,40.0,40.0,40.0,720.0
2021-07-01 09:30:00,40.0,40.6,39.6,39.6,1168.0
2021-07-01 13:30:00,39.8,39.8,39.8,39.8,50.0
2021-07-02 09:30:00,39.9,40.0,39.8,39.8,1479.0
2021-07-02 13:30:00,40.0,40.3,40.0,40.3,1815.0
2021-07-05 09:30:00,40.5,41.0,40.4,40.4,1114.0
2021-07-05 13:30:00,40.7,40.9,40.4,40.4,4222.0
2021-07-06 09:30:00,40.7,40.7,40.5,40.5,34.0
2021-07-06 13:30:00,40.5,40.5,40.4,40.4,1015.0
2021-07-07 09:30:00,40.2,40.2,39.8,40.0,3161.0
2021-07-07 13:30:00,39.8,39.8,39.3,39.3,21768.0
2021-07-08 09:30:00,40.4,40.4,40.4,40.4,500.0
2021-07-08 13:30:00,39.9,39.9,39.9,39.9,500.0
2021-07-09 09:30:00,39.5,39.9,39.0,39.0,23512.0
2021-07-09 13:30:00,39.1,39.1,39.1,39.1,1298.0
2021-07-12 09:30:00,39.1,40.5,39.0,39.0,56082.0
2021-07-12 13:30:00,39.9,40.0,39.9,40.0,10050.0
2021-07-13 09:30:00,40.2,40.2,39.7,40.0,2847.0
2021-07-13 13:30:00,39.9,40.0,39.9,40.0,5405.0
2021-07-14 09:30:00,39.9,41.0,39.7,41.0,67370.0
2021-07-14 13:30:00,40.9,41.0,40.9,41.0,8000.0
2021-07-15 09:30:00,41.0,41.0,40.8,40.8,5307.0
2021-07-15 13:30:00,40.9,40.9,40.9,40.9,600.0
2021-07-16 09:30:00,41.0,44.4,41.0,43.0,157028.0
2021-07-16 13:30:00,43.0,43.2,43.0,43.2,4910.0
2021-07-19 09:30:00,43.2,43.2,41.7,41.7,16381.0
2021-07-19 13:30:00,41.9,42.0,41.8,42.0,1805.0
2021-07-20 09:30:00,43.0,43.0,42.0,42.0,5839.0
2021-07-20 13:30:00,41.9,42.7,41.9,42.7,6138.0
2021-07-22 09:30:00,42.0,42.3,41.9,42.0,2065.0
2021-07-22 13:30:00,42.0,42.0,42.0,42.0,555.0
2021-07-26 09:30:00,41.8,43.2,41.8,43.0,64589.0
2021-07-26 13:30:00,43.0,43.1,42.5,43.0,10880.0
2021-07-27 09:30:00,42.5,43.4,42.5,43.0,37007.0
2021-07-27 13:30:00,43.0,43.3,43.0,43.3,9168.0
2021-07-28 09:30:00,43.2,43.4,43.0,43.2,5498.0
2021-07-28 13:30:00,43.4,43.6,43.4,43.5,6311.0
2021-07-29 09:30:00,43.7,43.9,43.6,43.7,11632.0
2021-07-29 13:30:00,43.7,43.7,43.6,43.7,9665.0
2021-07-30 09:30:00,43.7,44.4,43.6,43.8,27915.0
2021-07-30 13:30:00,43.8,44.4,43.8,44.4,7527.0
2021-08-02 09:30:00,44.3,44.3,43.2,44.1,4445.0
2021-08-02 13:30:00,44.1,44.1,43.2,43.2,2751.0
2021-08-03 09:30:00,43.2,43.5,43.0,43.0,7675.0
2021-08-03 13:30:00,42.7,43.1,42.7,43.0,3913.0
2021-08-04 09:30:00,43.5,43.5,42.5,43.0,30088.0
2021-08-04 13:30:00,43.0,43.0,42.9,43.0,10939.0
2021-08-05 09:30:00,42.5,43.0,42.0,42.0,57087.0
2021-08-05 13:30:00,42.0,42.2,42.0,42.2,6550.0
2021-08-06 09:30:00,42.0,43.5,41.6,42.1,16647.0
2021-08-06 13:30:00,42.4,42.4,42.1,42.3,1540.0
2021-08-09 09:30:00,44.8,44.9,42.5,43.0,108119.0
2021-08-09 13:30:00,43.2,44.0,43.0,44.0,16954.0
2021-08-10 09:30:00,43.0,43.6,42.8,42.8,9288.0
2021-08-10 13:30:00,42.8,43.0,42.5,42.6,4821.0
2021-08-11 09:30:00,42.6,44.0,42.3,42.6,60958.0
2021-08-11 13:30:00,42.6,43.5,42.6,42.6,405.0
2021-08-12 09:30:00,42.8,43.8,41.9,42.0,53206.0
2021-08-12 13:30:00,42.0,42.5,42.0,42.5,501.0
2021-08-13 09:30:00,42.3,42.3,42.0,42.1,6421.0
2021-08-13 13:30:00,42.1,42.3,42.0,42.1,5710.0
2021-08-16 13:30:00,42.1,42.1,42.0,42.0,7101.0
2021-08-17 09:30:00,41.1,42.7,41.1,42.7,258.0
2021-08-17 13:30:00,42.0,42.0,42.0,42.0,3221.0
2021-08-18 09:30:00,42.0,43.5,42.0,42.2,18104.0
2021-08-18 13:30:00,42.9,42.9,42.9,42.9,80.0
2021-08-19 09:30:00,42.2,42.4,42.1,42.4,2329.0
2021-08-19 13:30:00,42.4,42.5,42.4,42.4,43.0
2021-08-20 09:30:00,42.1,42.1,41.9,41.9,6903.0
2021-08-20 13:30:00,42.0,42.3,41.8,42.3,3213.0
2021-08-23 09:30:00,42.7,43.8,42.6,42.8,137986.0
2021-08-23 13:30:00,43.4,44.5,43.4,44.3,84303.0
2021-08-24 09:30:00,44.3,44.3,43.2,43.3,4350.0
2021-08-24 13:30:00,43.3,43.9,43.2,43.6,5387.0
