Date,Open,High,Low,Close,Volume
2020-08-14 12:30:00,10.4,10.9,10.4,10.9,1003.0
2020-08-14 13:30:00,10.5,10.9,10.5,10.9,202.0
2020-08-17 10:30:00,10.7,10.7,10.7,10.7,550.0
2020-08-17 11:30:00,10.5,10.5,10.0,10.3,22075.0
2020-08-17 12:30:00,10.2,10.5,10.2,10.5,500.0
2020-08-17 13:30:00,10.3,10.5,10.3,10.5,826.0
2020-08-18 12:30:00,10.5,10.5,10.5,10.5,530.0
2020-08-18 13:30:00,10.6,10.6,10.5,10.5,4520.0
2020-08-19 11:30:00,10.8,10.8,10.3,10.3,26.0
2020-08-19 12:30:00,10.5,11.0,10.5,10.9,15188.0
2020-08-19 13:30:00,11.0,11.1,11.0,11.1,5866.0
2020-08-20 10:30:00,11.0,11.0,10.9,10.9,5001.0
2020-08-20 11:30:00,10.9,11.1,10.9,11.1,21632.0
2020-08-20 12:30:00,11.1,11.2,11.1,11.1,6000.0
2020-08-20 13:30:00,11.1,11.2,11.1,11.2,8804.0
2020-08-21 10:30:00,11.0,11.0,11.0,11.0,120.0
2020-08-21 11:30:00,11.1,11.1,11.1,11.1,3500.0
2020-08-21 12:30:00,11.2,11.2,11.2,11.2,1000.0
2020-08-21 13:30:00,11.1,11.1,11.0,11.0,3000.0
2020-08-24 10:30:00,11.4,11.4,11.4,11.4,2150.0
2020-08-24 11:30:00,11.4,11.5,11.4,11.4,5106.0
2020-08-24 12:30:00,11.5,11.5,11.4,11.4,8.0
2020-08-24 13:30:00,11.2,11.2,11.2,11.2,300.0
2020-08-25 10:30:00,11.5,11.5,11.5,11.5,5.0
2020-08-25 13:30:00,11.0,11.0,11.0,11.0,10500.0
2020-08-26 11:30:00,11.3,11.3,11.3,11.3,100.0
2020-08-26 13:30:00,11.0,11.0,11.0,11.0,1200.0
2020-08-27 12:30:00,11.1,11.4,11.1,11.4,2000.0
2020-08-28 10:30:00,11.2,11.2,11.2,11.2,2.0
2020-08-28 11:30:00,11.0,11.0,11.0,11.0,200.0
2020-08-28 13:30:00,11.0,11.0,11.0,11.0,890.0
2020-08-31 10:30:00,11.0,11.0,11.0,11.0,2000.0
2020-08-31 13:30:00,11.0,11.0,10.9,10.9,2916.0
2020-09-02 10:30:00,10.8,10.8,10.8,10.8,650.0
2020-09-02 11:30:00,10.8,10.8,10.7,10.8,1550.0
2020-09-02 12:30:00,11.0,11.0,11.0,11.0,500.0
2020-09-02 13:30:00,10.9,11.2,10.9,11.2,7000.0
2020-09-03 11:30:00,11.1,11.1,11.1,11.1,1.0
2020-09-03 12:30:00,11.1,11.1,11.1,11.1,14.0
2020-09-03 13:30:00,11.0,11.0,11.0,11.0,485.0
2020-09-04 10:30:00,10.8,10.8,10.7,10.7,4700.0
2020-09-04 11:30:00,10.6,10.6,10.6,10.6,1014.0
2020-09-04 13:30:00,10.9,11.1,10.9,11.0,9901.0
2020-09-07 10:30:00,11.0,11.1,11.0,11.1,9076.0
2020-09-07 11:30:00,11.1,11.1,11.1,11.1,1990.0
2020-09-07 12:30:00,11.1,11.1,11.1,11.1,60.0
2020-09-07 13:30:00,11.0,11.0,11.0,11.0,4503.0
2020-09-08 10:30:00,11.1,11.1,11.0,11.0,5003.0
2020-09-08 11:30:00,10.9,11.0,10.9,11.0,1008.0
2020-09-08 12:30:00,11.0,11.0,10.8,11.0,18197.0
2020-09-08 13:30:00,10.9,10.9,10.8,10.8,298.0
2020-09-09 10:30:00,11.0,11.1,11.0,11.1,3670.0
2020-09-09 11:30:00,10.8,10.8,10.8,10.8,13808.0
2020-09-09 13:30:00,10.8,10.8,10.8,10.8,1823.0
2020-09-10 11:30:00,10.8,10.8,10.8,10.8,100.0
2020-09-10 13:30:00,10.8,10.8,10.5,10.5,11995.0
2020-09-11 10:30:00,10.6,10.6,10.5,10.5,2275.0
2020-09-11 11:30:00,10.7,10.7,10.4,10.7,17574.0
2020-09-11 12:30:00,10.7,10.7,10.7,10.7,50.0
2020-09-11 13:30:00,10.7,11.3,10.7,11.3,30921.0
2020-09-14 10:30:00,11.3,11.3,11.3,11.3,1.0
2020-09-14 11:30:00,10.8,11.2,10.8,11.0,402471.0
2020-09-14 12:30:00,11.0,11.0,11.0,11.0,1000.0
2020-09-14 13:30:00,11.0,11.3,11.0,11.1,134934.0
2020-09-15 10:30:00,11.0,11.3,11.0,11.3,135427.0
2020-09-15 11:30:00,11.4,11.4,11.2,11.2,2961.0
2020-09-15 12:30:00,11.2,11.5,11.2,11.5,24473.0
2020-09-15 13:30:00,11.5,12.0,11.5,12.0,79936.0
2020-09-16 10:30:00,12.0,12.0,12.0,12.0,330.0
2020-09-16 11:30:00,12.0,12.0,11.7,11.7,13326.0
2020-09-16 12:30:00,11.6,11.7,11.5,11.7,33844.0
2020-09-16 13:30:00,11.6,11.6,11.2,11.2,365277.0
2020-09-17 10:30:00,11.9,11.9,11.2,11.3,394588.0
2020-09-17 11:30:00,11.5,11.7,11.5,11.5,2850.0
2020-09-17 12:30:00,11.5,11.5,11.4,11.4,15022.0
2020-09-17 13:30:00,11.4,11.6,11.4,11.6,156799.0
2020-09-18 10:30:00,11.9,12.0,11.9,12.0,6005.0
2020-09-18 11:30:00,12.0,12.2,11.8,12.0,281785.0
2020-09-18 12:30:00,12.1,12.1,11.9,11.9,13462.0
2020-09-18 13:30:00,11.9,12.0,11.9,12.0,5535.0
2020-09-21 10:30:00,12.0,12.1,11.9,12.0,13600.0
2020-09-21 11:30:00,11.8,12.0,11.7,11.8,24138.0
2020-09-21 12:30:00,12.0,12.3,12.0,12.3,63175.0
2020-09-21 13:30:00,12.2,13.0,12.2,12.9,218739.0
2020-09-22 10:30:00,13.0,13.4,12.9,13.0,37498.0
2020-09-22 11:30:00,13.0,13.0,12.4,12.5,164958.0
2020-09-22 12:30:00,12.7,13.9,12.7,13.8,286049.0
2020-09-22 13:30:00,13.7,14.0,13.7,14.0,347432.0
2020-09-23 10:30:00,14.0,14.0,13.6,13.8,10215.0
2020-09-23 11:30:00,13.8,13.8,13.0,13.2,80355.0
2020-09-23 12:30:00,13.0,13.2,12.9,13.2,33593.0
2020-09-23 13:30:00,13.4,13.5,13.2,13.5,10470.0
2020-09-24 10:30:00,13.5,13.5,13.5,13.5,1000.0
2020-09-24 11:30:00,13.5,13.5,13.3,13.3,5550.0
2020-09-24 12:30:00,13.5,13.5,13.5,13.5,1005.0
2020-09-24 13:30:00,13.5,13.5,13.5,13.5,1594.0
2020-09-25 10:30:00,13.9,13.9,13.9,13.9,1.0
2020-09-25 11:30:00,13.5,13.5,13.0,13.0,5175.0
2020-09-25 12:30:00,13.0,13.4,13.0,13.4,13335.0
2020-09-25 13:30:00,13.4,13.8,13.4,13.8,57519.0
2020-09-28 10:30:00,13.8,13.9,13.8,13.8,1500.0
