Date,Open,High,Low,Close,Volume
2020-12-30 09:30:00,53.4,54.9,53.0,54.0,18975.0
2020-12-30 13:30:00,53.7,53.9,53.7,53.9,4360.0
2020-12-31 09:30:00,53.5,54.0,53.5,53.5,17027.0
2020-12-31 13:30:00,53.5,53.8,53.0,53.8,9358.0
2021-01-04 09:30:00,53.9,60.0,53.9,59.9,562432.0
2021-01-04 13:30:00,58.7,59.9,58.7,59.9,31592.0
2021-01-05 09:30:00,60.0,60.0,55.1,58.0,65388.0
2021-01-05 13:30:00,58.0,58.0,56.5,56.6,26961.0
2021-01-06 09:30:00,56.6,56.6,55.5,56.0,19715.0
2021-01-06 13:30:00,56.6,56.6,56.5,56.5,802.0
2021-01-07 09:30:00,55.5,57.9,53.0,55.0,9377.0
2021-01-07 13:30:00,56.8,56.8,56.8,56.8,4.0
2021-01-08 09:30:00,55.0,55.0,53.3,55.0,10780.0
2021-01-08 13:30:00,55.0,55.0,55.0,55.0,491.0
2021-01-11 09:30:00,55.0,55.0,53.3,53.6,4875.0
2021-01-11 13:30:00,53.5,54.9,52.8,53.0,11330.0
2021-01-12 09:30:00,53.0,53.5,52.1,53.0,1076.0
2021-01-12 13:30:00,53.0,53.0,52.3,52.3,6557.0
2021-01-13 09:30:00,55.0,58.0,54.0,55.9,70669.0
2021-01-13 13:30:00,55.9,56.0,55.0,56.0,23350.0
2021-01-15 09:30:00,55.9,55.9,53.0,53.0,8805.0
2021-01-15 13:30:00,53.2,55.0,53.0,55.0,119739.0
2021-01-18 09:30:00,56.0,56.0,53.6,54.0,18221.0
2021-01-18 13:30:00,54.0,54.1,53.8,54.1,10413.0
2021-01-19 09:30:00,54.0,54.8,54.0,54.0,16977.0
2021-01-19 13:30:00,53.8,54.5,53.3,54.0,30323.0
2021-01-20 09:30:00,53.9,54.0,53.2,54.0,2668.0
2021-01-20 13:30:00,54.0,55.4,54.0,55.0,329020.0
2021-01-21 09:30:00,55.6,55.8,53.0,53.3,44863.0
2021-01-21 13:30:00,53.4,54.7,53.4,54.5,1604.0
2021-01-22 09:30:00,54.0,54.7,53.9,54.0,480.0
2021-01-22 13:30:00,54.0,54.0,53.5,53.5,5390.0
