Date,Open,High,Low,Close,Volume
2022-05-09 10:30:00,6.0,6.6,5.8,6.5,4538856.0
2022-05-09 11:30:00,6.6,6.8,6.1,6.5,4014479.0
2022-05-12 10:30:00,6.5,7.3,6.2,7.1,8282397.0
2022-05-12 11:30:00,7.1,7.3,7.0,7.1,4137095.0
2022-05-13 10:30:00,7.5,7.8,7.3,7.7,10724089.0
2022-05-13 11:30:00,7.7,8.4,7.6,8.0,7429255.0
2022-05-17 10:30:00,8.4,9.6,8.4,9.6,17527354.0
2022-05-17 11:30:00,9.6,10.3,9.5,10.3,7384701.0
2022-05-18 10:30:00,10.9,12.0,10.2,10.6,30551437.0
2022-05-18 11:30:00,10.6,10.7,9.0,9.5,18987375.0
2022-05-19 10:30:00,10.0,10.2,9.0,9.3,7485198.0
2022-05-19 11:30:00,9.3,9.5,8.9,8.9,6425363.0
2022-05-20 10:30:00,8.6,9.8,8.6,9.4,6922968.0
2022-05-20 11:30:00,9.4,9.6,9.1,9.5,5339559.0
2022-05-23 10:30:00,10.0,10.1,9.5,9.7,6781683.0
2022-05-23 11:30:00,9.8,10.6,9.7,10.6,19671595.0
2022-05-24 10:30:00,10.6,10.7,9.7,10.2,14504483.0
2022-05-24 11:30:00,10.1,10.2,9.8,9.9,4848444.0
2022-05-25 10:30:00,9.8,10.1,9.4,9.9,5562927.0
2022-05-25 11:30:00,9.9,9.9,9.5,9.7,2627878.0
2022-05-25 12:30:00,9.7,9.7,9.7,9.7,1300.0
2022-05-26 10:30:00,9.8,9.8,9.2,9.7,4283009.0
2022-05-26 11:30:00,9.7,10.1,9.6,9.9,5517367.0
2022-05-27 10:30:00,10.1,10.1,9.6,9.8,6747235.0
2022-05-27 11:30:00,9.8,9.9,9.6,9.8,3434452.0
2022-05-30 10:30:00,10.0,10.0,9.6,9.7,3263628.0
2022-05-30 11:30:00,9.7,9.7,9.3,9.5,3575504.0
2022-05-31 10:30:00,9.9,9.9,8.7,8.8,8758453.0
2022-05-31 11:30:00,8.8,9.1,8.6,9.0,6193214.0
2022-06-01 10:30:00,9.0,9.1,8.4,8.6,4207743.0
2022-06-01 11:30:00,8.6,8.9,8.5,8.7,1755800.0
2022-06-02 10:30:00,8.8,9.0,8.5,8.8,2875222.0
2022-06-02 11:30:00,8.8,8.8,8.5,8.6,1162550.0
2022-06-03 10:30:00,8.7,8.9,8.5,8.7,2198459.0
2022-06-03 11:30:00,8.7,8.7,8.4,8.6,2232372.0
2022-06-06 10:30:00,8.4,8.5,7.7,7.9,3745444.0
2022-06-06 11:30:00,8.0,8.0,7.5,7.5,1718467.0
2022-06-07 10:30:00,7.5,7.5,6.9,7.1,4310006.0
2022-06-07 11:30:00,7.1,7.6,7.0,7.5,3190547.0
2022-06-08 10:30:00,7.6,8.0,7.6,7.8,4340904.0
2022-06-08 11:30:00,7.8,7.8,7.6,7.8,1916957.0
2022-06-09 10:30:00,7.9,8.1,7.8,8.0,1688647.0
2022-06-09 11:30:00,8.0,8.0,7.8,8.0,1264675.0
2022-06-10 10:30:00,8.1,8.3,7.9,8.1,2664785.0
2022-06-10 11:30:00,8.2,8.2,8.0,8.1,1970018.0
2022-06-13 10:30:00,8.1,8.1,7.8,7.8,1970084.0
2022-06-13 11:30:00,7.9,8.1,7.8,7.9,1687264.0
2022-06-15 10:30:00,7.8,7.8,7.5,7.7,955129.0
2022-06-15 11:30:00,7.6,7.7,7.5,7.5,1388001.0
2022-06-16 10:30:00,7.5,7.7,7.4,7.4,1032490.0
2022-06-16 11:30:00,7.4,7.4,7.1,7.3,1007908.0
2022-06-17 10:30:00,7.3,7.3,6.8,6.9,3496526.0
2022-06-17 11:30:00,7.0,7.0,6.6,6.7,2772630.0
2022-06-20 10:30:00,6.5,7.0,6.3,6.6,2167097.0
2022-06-20 11:30:00,6.6,7.2,6.5,7.1,2269583.0
2022-06-21 10:30:00,7.2,7.3,6.9,7.0,3725926.0
2022-06-21 11:30:00,7.1,7.1,6.8,6.8,847325.0
2022-06-22 10:30:00,7.2,7.2,6.9,6.9,887014.0
