Date,Open,High,Low,Close,Volume
2021-05-04 09:30:00,339.25,339.75,317.0,320.0,278824.0
2021-05-04 13:30:00,320.25,322.75,317.5,318.75,66063.0
2021-05-05 09:30:00,319.0,329.0,319.0,322.0,60341.0
2021-05-05 13:30:00,320.5,323.0,320.0,321.75,37132.0
2021-05-06 09:30:00,324.0,330.5,324.0,326.0,107027.0
2021-05-06 13:30:00,326.5,326.5,319.0,324.0,57025.0
2021-05-07 09:30:00,326.0,329.5,322.75,327.0,21134.0
2021-05-07 13:30:00,327.0,329.0,327.0,328.0,39552.0
2021-05-10 09:30:00,330.0,330.0,318.0,319.5,89758.0
2021-05-10 13:30:00,320.0,320.0,316.25,318.0,59586.0
2021-05-11 09:30:00,315.25,324.75,315.25,320.0,59304.0
2021-05-11 13:30:00,322.0,322.0,318.0,318.0,10952.0
2021-05-12 09:30:00,318.5,325.0,318.5,323.5,8196.0
2021-05-12 13:30:00,321.0,323.25,317.25,317.25,42176.0
2021-05-13 09:30:00,315.25,326.0,315.25,325.0,101469.0
2021-05-13 13:30:00,325.0,327.5,324.75,326.5,69191.0
2021-05-17 09:30:00,329.25,340.75,329.25,340.75,432683.0
2021-05-17 13:30:00,341.0,342.0,339.0,340.0,125395.0
2021-05-18 09:30:00,337.25,340.0,327.0,333.0,195879.0
2021-05-18 13:30:00,332.75,337.75,332.0,335.0,41617.0
2021-05-19 09:30:00,340.0,340.0,330.25,330.5,80052.0
2021-05-19 13:30:00,331.25,339.0,331.0,337.5,22897.0
2021-05-20 09:30:00,337.0,337.0,328.0,331.0,58271.0
2021-05-20 13:30:00,330.0,332.75,328.25,331.0,31085.0
2021-05-21 09:30:00,338.0,338.0,310.0,320.0,329565.0
2021-05-21 13:30:00,320.0,325.0,319.5,320.0,9386.0
2021-05-24 09:30:00,326.0,326.75,313.5,319.0,79284.0
2021-05-24 13:30:00,320.0,327.75,320.0,327.0,55731.0
2021-05-25 09:30:00,328.0,335.5,322.25,332.0,171087.0
2021-05-25 13:30:00,331.75,332.5,330.25,332.0,50278.0
2021-05-28 09:30:00,332.5,335.25,330.0,332.75,84692.0
2021-05-28 13:30:00,332.75,340.5,332.0,338.5,176551.0
2021-05-31 09:30:00,340.0,350.0,340.0,346.0,479458.0
2021-05-31 13:30:00,345.25,355.0,345.25,354.0,355142.0
2021-06-01 09:30:00,361.0,371.0,353.0,359.75,1379562.0
2021-06-01 13:30:00,359.75,362.0,354.25,355.0,345620.0
2021-06-02 09:30:00,360.0,364.75,349.5,353.0,292609.0
2021-06-02 13:30:00,350.0,352.75,348.0,352.75,57931.0
2021-06-03 09:30:00,354.5,361.0,350.0,359.0,330045.0
2021-06-03 13:30:00,359.0,368.0,359.0,368.0,354481.0
2021-06-04 09:30:00,371.0,388.0,371.0,387.0,1431099.0
2021-06-04 13:30:00,386.5,387.0,375.0,380.25,396792.0
2021-06-07 09:30:00,385.0,389.0,380.0,384.0,379640.0
2021-06-07 13:30:00,384.0,385.5,380.25,382.75,116382.0
2021-06-08 09:30:00,384.75,384.75,375.0,379.25,205300.0
2021-06-08 13:30:00,379.0,379.5,376.75,379.5,53175.0
2021-06-09 09:30:00,379.0,379.0,375.0,376.0,158626.0
2021-06-09 13:30:00,377.0,377.5,374.75,375.75,74758.0
2021-06-10 09:30:00,377.0,383.75,377.0,379.5,230651.0
2021-06-10 13:30:00,379.25,380.75,378.0,379.75,117588.0
2021-06-11 09:30:00,382.0,385.0,375.25,384.0,426569.0
2021-06-11 13:30:00,384.0,393.5,384.0,386.75,729974.0
2021-06-14 09:30:00,385.0,392.5,381.25,388.0,368785.0
2021-06-14 13:30:00,388.5,389.25,385.0,385.0,36865.0
2021-06-15 09:30:00,385.5,397.0,385.5,395.0,321418.0
2021-06-15 13:30:00,394.75,407.5,394.0,405.0,958662.0
2021-06-16 09:30:00,410.0,414.75,407.0,410.75,480731.0
2021-06-16 13:30:00,410.75,411.0,406.0,408.75,210393.0
2021-06-17 09:30:00,410.0,410.0,403.5,406.5,263079.0
2021-06-17 13:30:00,406.5,409.0,405.0,406.0,56815.0
2021-06-18 09:30:00,406.0,420.0,406.0,420.0,903839.0
2021-06-18 13:30:00,419.5,420.5,417.0,419.0,311800.0
2021-06-21 09:30:00,419.0,424.0,415.75,418.0,307408.0
2021-06-21 13:30:00,417.75,419.0,415.25,417.0,45317.0
2021-06-22 09:30:00,420.0,420.0,408.5,411.0,195279.0
2021-06-22 13:30:00,411.5,411.5,406.75,408.0,159505.0
2021-06-23 09:30:00,408.0,410.0,395.0,407.0,214023.0
2021-06-23 13:30:00,408.0,408.0,405.0,406.0,43551.0
2021-06-25 09:30:00,405.5,415.0,405.0,414.25,148338.0
2021-06-25 13:30:00,414.0,414.0,410.0,412.0,34677.0
2021-06-28 09:30:00,412.0,418.75,411.0,418.5,248323.0
2021-06-28 13:30:00,418.5,418.75,417.25,417.75,113038.0
2021-06-29 09:30:00,418.5,419.5,401.0,410.75,2075405.0
2021-06-29 13:30:00,409.5,410.0,399.5,402.5,509938.0
2021-06-30 09:30:00,408.0,408.0,390.25,394.0,226007.0
2021-06-30 13:30:00,394.25,396.0,392.0,392.25,102207.0
2021-07-01 09:30:00,393.25,398.0,386.0,389.75,152369.0
2021-07-01 13:30:00,390.0,391.5,387.5,390.0,58085.0
2021-07-02 09:30:00,389.5,394.0,380.25,392.25,190980.0
2021-07-02 13:30:00,393.25,399.75,393.25,398.0,204851.0
2021-07-05 09:30:00,400.0,404.0,395.0,397.0,72936.0
2021-07-05 13:30:00,397.0,398.25,396.25,397.5,6061.0
2021-07-06 09:30:00,398.0,400.0,393.25,396.75,117917.0
2021-07-06 13:30:00,396.0,396.0,395.0,395.0,46217.0
2021-07-07 09:30:00,375.0,407.0,375.0,404.0,413112.0
2021-07-07 13:30:00,404.0,404.0,400.5,402.5,45241.0
2021-07-08 09:30:00,404.0,409.0,404.0,405.5,164624.0
2021-07-08 13:30:00,405.25,405.75,405.0,405.5,34138.0
2021-07-09 09:30:00,408.0,413.0,406.0,410.0,266458.0
2021-07-09 13:30:00,410.0,412.0,410.0,410.0,49634.0
2021-07-12 09:30:00,410.25,412.0,409.0,409.75,68605.0
2021-07-12 13:30:00,410.0,410.5,408.5,409.0,39217.0
2021-07-13 09:30:00,409.0,413.5,408.0,412.5,189125.0
2021-07-13 13:30:00,412.75,415.0,410.5,414.0,198519.0
2021-07-14 09:30:00,413.75,415.0,411.25,415.0,118812.0
2021-07-14 13:30:00,415.0,423.0,415.0,419.75,323573.0
2021-07-15 09:30:00,420.0,427.0,420.0,424.25,201030.0
2021-07-15 13:30:00,424.25,427.75,423.75,425.0,131021.0
2021-07-16 09:30:00,426.0,430.0,422.0,425.0,197871.0
2021-07-16 13:30:00,424.5,425.0,420.0,423.0,48472.0
2021-07-19 09:30:00,425.0,444.0,424.5,443.0,756090.0
2021-07-19 13:30:00,443.0,444.0,439.0,441.25,268595.0
2021-07-20 09:30:00,440.0,457.25,437.0,453.0,739313.0
2021-07-20 13:30:00,452.5,456.5,450.0,454.25,161944.0
2021-07-22 09:30:00,453.0,469.5,453.0,469.25,520854.0
2021-07-22 13:30:00,469.0,473.0,467.0,468.0,267121.0
2021-07-26 09:30:00,470.0,478.0,457.0,465.0,267452.0
2021-07-26 13:30:00,465.0,465.75,457.0,459.75,98975.0
2021-07-27 09:30:00,456.0,469.75,450.0,464.0,261633.0
2021-07-27 13:30:00,461.25,464.0,458.0,461.0,27062.0
2021-07-28 09:30:00,460.5,463.25,456.75,460.5,86714.0
2021-07-28 13:30:00,462.0,463.5,460.5,463.25,25129.0
2021-07-29 09:30:00,463.25,469.75,462.5,467.0,141862.0
2021-07-29 13:30:00,467.0,469.75,466.0,467.0,59592.0
2021-07-30 09:30:00,469.75,473.0,462.0,466.0,86857.0
2021-07-30 13:30:00,465.0,468.0,463.25,467.0,48937.0
2021-08-02 09:30:00,468.0,470.0,462.25,467.5,156415.0
2021-08-02 13:30:00,467.5,477.0,467.5,475.0,312511.0
2021-08-03 09:30:00,476.0,484.75,473.75,484.5,313823.0
2021-08-03 13:30:00,484.5,487.5,483.5,485.0,283899.0
2021-08-04 09:30:00,487.0,490.0,480.5,482.0,164052.0
2021-08-04 13:30:00,482.0,483.0,475.25,476.0,147041.0
2021-08-05 09:30:00,472.0,477.5,449.5,452.0,624544.0
2021-08-05 13:30:00,454.75,457.0,445.0,448.0,365210.0
2021-08-06 09:30:00,446.0,464.0,441.0,460.0,390598.0
2021-08-06 13:30:00,460.0,461.75,455.0,457.0,135077.0
2021-08-09 09:30:00,460.0,462.0,450.0,456.0,146749.0
2021-08-09 13:30:00,456.0,459.75,455.0,459.75,124495.0
2021-08-10 09:30:00,460.0,460.0,453.0,453.0,198912.0
2021-08-10 13:30:00,452.25,454.0,448.0,450.0,144599.0
2021-08-11 09:30:00,450.0,455.0,449.5,449.5,105593.0
2021-08-11 13:30:00,450.0,450.0,446.0,449.0,30958.0
2021-08-12 09:30:00,449.75,450.0,433.25,435.0,286256.0
2021-08-12 13:30:00,434.75,439.0,428.0,435.0,288981.0
2021-08-13 09:30:00,435.0,442.0,431.0,434.0,143299.0
2021-08-13 13:30:00,434.0,435.0,431.25,434.0,54719.0
2021-08-16 09:30:00,432.5,432.5,422.0,427.0,141289.0
2021-08-16 13:30:00,428.5,432.5,425.25,432.0,130452.0
2021-08-17 09:30:00,431.5,447.0,431.5,446.0,136473.0
2021-08-17 13:30:00,446.0,459.5,445.0,458.5,296952.0
2021-08-18 09:30:00,462.0,473.0,460.0,472.0,352115.0
2021-08-18 13:30:00,472.0,479.0,470.75,475.0,206627.0
2021-08-19 09:30:00,460.0,480.0,452.0,455.5,430454.0
2021-08-19 13:30:00,459.0,465.0,455.25,460.0,55012.0
2021-08-20 09:30:00,454.0,467.0,451.0,460.5,150721.0
2021-08-20 13:30:00,460.5,462.5,451.25,455.0,143041.0
2021-08-23 09:30:00,460.0,485.75,460.0,485.75,831993.0
2021-08-23 13:30:00,485.0,500.0,485.0,499.0,713739.0
2021-08-24 09:30:00,509.0,525.0,508.0,511.0,1607374.0
2021-08-24 13:30:00,511.0,512.0,504.0,509.75,264131.0
2021-08-25 09:30:00,507.75,514.0,503.25,509.75,712751.0
2021-08-25 13:30:00,508.5,508.5,503.0,504.5,186025.0
2021-08-26 09:30:00,510.0,523.0,509.0,522.0,838638.0
2021-08-26 13:30:00,522.5,529.0,521.25,528.0,416081.0
2021-08-27 09:30:00,530.5,574.0,530.5,570.0,1198257.0
2021-08-27 13:30:00,570.0,584.5,560.0,581.0,458357.0
2021-08-30 09:30:00,615.0,645.0,607.0,612.0,1383989.0
2021-08-30 13:30:00,610.25,619.75,589.75,592.0,474246.0
2021-08-31 09:30:00,600.0,604.75,570.0,593.0,998242.0
2021-08-31 13:30:00,593.0,595.0,590.5,592.0,211742.0
2021-09-01 09:30:00,600.0,619.0,599.0,610.0,849201.0
2021-09-01 13:30:00,610.25,614.0,607.25,610.0,259399.0
2021-09-02 09:30:00,615.0,632.0,612.0,630.25,746449.0
2021-09-02 13:30:00,630.25,630.25,627.0,629.0,203265.0
2021-09-03 09:30:00,628.0,630.0,611.0,617.0,281099.0
2021-09-03 13:30:00,617.0,620.0,615.25,617.25,58472.0
2021-09-06 09:30:00,610.0,625.0,595.0,615.0,637035.0
2021-09-06 13:30:00,615.0,619.75,608.25,612.0,55197.0
2021-09-07 09:30:00,605.25,612.0,580.0,582.5,504768.0
2021-09-07 13:30:00,582.5,598.5,582.0,594.0,130852.0
2021-09-08 09:30:00,590.0,605.0,510.25,526.5,933129.0
2021-09-08 13:30:00,526.5,553.0,520.0,545.0,186804.0
2021-09-09 09:30:00,550.0,560.0,528.0,552.0,540249.0
2021-09-09 13:30:00,553.75,565.0,551.75,552.25,185600.0
2021-09-10 09:30:00,567.75,570.0,530.25,540.0,187341.0
2021-09-10 13:30:00,544.5,545.0,530.0,530.0,123218.0
2021-09-13 09:30:00,525.0,533.25,495.0,500.0,367153.0
2021-09-13 13:30:00,500.0,507.25,494.0,495.0,269729.0
2021-09-14 09:30:00,510.0,519.5,500.25,509.75,203150.0
2021-09-14 13:30:00,513.0,515.0,508.0,513.0,39199.0
2021-09-15 09:30:00,515.0,539.75,515.0,539.0,271037.0
2021-09-15 13:30:00,538.0,538.0,530.0,532.75,84014.0
2021-09-16 09:30:00,538.0,545.0,525.0,535.0,113448.0
2021-09-16 13:30:00,533.5,533.5,515.0,520.0,87243.0
2021-09-17 09:30:00,520.0,529.0,510.0,519.0,113063.0
2021-09-17 13:30:00,519.0,519.75,515.0,515.0,25957.0
2021-09-21 09:30:00,518.0,520.0,500.75,509.0,79644.0
2021-09-21 13:30:00,508.5,509.0,502.0,508.0,26668.0
2021-09-22 09:30:00,503.25,518.5,500.25,508.25,141183.0
2021-09-22 13:30:00,511.0,512.0,505.0,505.0,32749.0
2021-09-23 09:30:00,510.0,517.0,509.75,512.0,67958.0
2021-09-23 13:30:00,512.0,512.75,509.75,511.75,39736.0
2021-09-24 09:30:00,512.0,515.0,510.0,512.5,60586.0
2021-09-24 13:30:00,512.5,527.0,512.0,526.0,192759.0
2021-09-27 09:30:00,535.0,563.5,535.0,563.0,622204.0
2021-09-27 13:30:00,563.0,564.0,558.0,562.0,108388.0
2021-09-28 09:30:00,570.0,577.75,562.0,572.0,236225.0
2021-09-28 13:30:00,572.0,594.75,572.0,587.0,379677.0
2021-09-29 09:30:00,598.0,625.25,592.0,619.75,1006447.0
2021-09-29 13:30:00,619.75,625.0,617.0,624.75,186556.0
2021-09-30 09:30:00,630.0,637.0,611.0,623.75,663685.0
2021-09-30 13:30:00,622.0,625.0,617.5,618.0,160566.0
2021-10-01 09:30:00,625.0,625.0,615.0,625.0,201269.0
2021-10-01 13:30:00,621.0,624.75,616.5,618.0,68789.0
2021-10-04 09:30:00,618.25,621.0,600.25,618.0,86968.0
2021-10-04 13:30:00,617.0,617.0,609.0,611.0,59921.0
2021-10-05 09:30:00,616.0,624.0,600.25,606.0,103492.0
2021-10-05 13:30:00,607.0,608.0,605.0,608.0,32194.0
2021-10-06 09:30:00,618.0,623.0,605.0,610.0,142266.0
2021-10-06 13:30:00,610.25,616.0,610.0,614.75,32121.0
2021-10-07 09:30:00,610.25,614.0,604.0,609.0,48577.0
2021-10-07 13:30:00,609.0,614.75,609.0,614.75,19205.0
2021-10-08 09:30:00,612.0,615.0,609.0,614.75,50875.0
2021-10-08 13:30:00,614.75,615.0,607.0,610.0,35783.0
2021-10-11 09:30:00,615.0,615.0,602.0,608.0,54050.0
2021-10-11 13:30:00,606.0,609.5,605.0,609.5,14330.0
2021-10-12 09:30:00,605.5,609.25,602.0,605.0,62467.0
2021-10-12 13:30:00,606.0,608.0,604.0,608.0,32077.0
2021-10-13 09:30:00,605.0,605.0,583.0,592.75,323670.0
2021-10-13 13:30:00,592.75,594.0,587.0,590.0,32684.0
2021-10-14 09:30:00,600.0,607.0,600.0,606.0,127732.0
2021-10-14 13:30:00,605.75,606.0,604.0,606.0,27253.0
2021-10-15 09:30:00,606.0,614.5,605.0,612.0,214466.0
2021-10-15 13:30:00,612.0,612.0,606.0,607.0,42868.0
2021-10-18 09:30:00,605.5,609.5,602.0,606.0,67220.0
