Date,Open,High,Low,Close,Volume
2019-02-25 12:30:00,4.8,4.8,4.8,4.8,10.0
2019-02-26 10:30:00,4.5,4.5,4.5,4.5,10.0
2019-02-27 10:30:00,4.5,4.5,4.5,4.5,10000.0
2019-02-27 11:30:00,4.4,4.4,4.4,4.4,6348.0
2019-02-28 09:30:00,4.8,4.8,4.8,4.8,100.0
2019-03-01 09:30:00,4.4,4.4,4.4,4.4,11652.0
2019-03-01 10:30:00,4.2,4.2,4.2,4.2,7490.0
2019-03-01 11:30:00,4.2,4.2,4.1,4.1,16200.0
2019-03-01 13:30:00,4.6,4.6,4.6,4.6,100.0
2019-03-05 09:30:00,4.2,4.2,4.0,4.1,8000.0
2019-03-05 10:30:00,4.2,4.2,4.2,4.2,2000.0
2019-03-05 13:30:00,4.3,4.3,4.3,4.3,100.0
2019-03-06 13:30:00,4.4,4.4,4.4,4.4,100.0
2019-03-07 09:30:00,4.4,4.4,4.4,4.4,500.0
2019-03-08 10:30:00,4.4,4.4,4.0,4.0,10300.0
2019-03-08 11:30:00,4.4,4.4,4.4,4.4,10.0
2019-03-08 12:30:00,4.4,4.4,4.4,4.4,100.0
2019-03-11 09:30:00,4.0,4.0,4.0,4.0,13.0
2019-03-11 12:30:00,4.1,4.1,4.0,4.0,2750.0
2019-03-11 13:30:00,4.4,4.4,4.4,4.4,100.0
2019-03-12 11:30:00,4.0,4.0,4.0,4.0,339.0
2019-03-12 12:30:00,4.0,4.0,4.0,4.0,5661.0
2019-03-12 13:30:00,4.4,4.4,4.4,4.4,100.0
2019-03-13 09:30:00,4.1,4.1,4.1,4.1,10.0
2019-03-13 10:30:00,3.9,4.3,3.9,4.3,3991.0
2019-03-13 11:30:00,4.0,4.0,4.0,4.0,3000.0
2019-03-13 12:30:00,4.2,4.2,4.2,4.2,280.0
2019-03-13 13:30:00,4.1,4.1,4.1,4.1,20.0
2019-03-14 10:30:00,3.9,3.9,3.9,3.9,13.0
2019-03-14 11:30:00,4.1,4.3,4.1,4.3,3270.0
2019-03-14 12:30:00,4.2,4.2,4.2,4.2,5000.0
2019-03-15 09:30:00,4.2,4.2,4.2,4.2,2.0
2019-03-15 11:30:00,4.1,4.1,4.1,4.1,440.0
2019-03-15 12:30:00,4.2,4.2,4.2,4.2,10.0
2019-03-15 13:30:00,4.2,4.2,4.2,4.2,100.0
2019-03-18 09:30:00,4.2,4.2,4.2,4.2,2888.0
2019-03-21 11:30:00,4.0,4.0,4.0,4.0,3204.0
2019-03-21 13:30:00,3.9,3.9,3.9,3.9,10132.0
2019-03-22 09:30:00,4.1,4.1,4.1,4.1,100.0
2019-03-26 13:30:00,3.9,3.9,3.9,3.9,1500.0
2019-03-27 09:30:00,4.1,4.4,4.1,4.4,600.0
2019-03-28 09:30:00,4.1,4.4,4.1,4.4,5289.0
2019-03-28 10:30:00,4.2,4.2,4.2,4.2,3000.0
2019-03-28 13:30:00,4.3,4.3,4.3,4.3,200.0
2019-03-29 09:30:00,4.4,4.4,4.4,4.4,100.0
2019-03-29 13:30:00,4.2,4.3,4.2,4.3,13000.0
2019-04-01 09:30:00,4.4,4.4,4.4,4.4,100.0
2019-04-02 12:30:00,4.1,4.1,4.1,4.1,5000.0
2019-04-02 13:30:00,4.4,4.4,4.4,4.4,100.0
2019-04-03 09:30:00,4.2,4.2,4.1,4.2,8780.0
2019-04-03 10:30:00,4.2,4.2,4.2,4.2,1548.0
2019-04-03 12:30:00,4.2,4.3,4.2,4.3,9160.0
2019-04-03 13:30:00,4.3,4.3,4.3,4.3,1010.0
2019-04-04 09:30:00,4.3,4.4,4.3,4.4,2.0
2019-04-04 10:30:00,4.2,4.2,4.2,4.2,3735.0
2019-04-04 11:30:00,4.4,4.4,4.4,4.4,100.0
2019-04-08 09:30:00,4.4,4.4,4.4,4.4,5000.0
2019-04-08 11:30:00,4.3,4.3,4.3,4.3,500.0
2019-04-09 09:30:00,4.3,4.3,4.3,4.3,46.0
2019-04-11 09:30:00,4.3,4.3,4.3,4.3,10.0
2019-04-11 13:30:00,4.2,4.2,4.2,4.2,1465.0
2019-04-12 09:30:00,4.1,4.1,4.1,4.1,2000.0
2019-04-12 11:30:00,4.2,4.2,4.2,4.2,100.0
2019-04-17 13:30:00,4.3,4.3,4.3,4.3,10.0
2019-04-18 10:30:00,4.3,4.4,4.3,4.3,199.0
2019-04-23 10:30:00,4.1,4.1,3.6,3.6,8317.0
2019-04-23 12:30:00,3.7,3.9,3.7,3.9,300.0
2019-04-23 13:30:00,4.0,4.0,4.0,4.0,100.0
2019-04-24 09:30:00,3.8,4.0,3.8,4.0,700.0
2019-04-24 10:30:00,4.0,4.0,4.0,4.0,500.0
2019-04-26 11:30:00,4.0,4.0,4.0,4.0,200.0
2019-04-26 12:30:00,3.9,3.9,3.9,3.9,100.0
2019-04-26 13:30:00,4.0,4.0,3.9,3.9,2805.0
2019-04-29 09:30:00,4.0,4.0,3.9,4.0,650.0
2019-04-29 11:30:00,4.0,4.0,4.0,4.0,100.0
2019-04-29 12:30:00,3.8,3.8,3.8,3.8,3.0
2019-04-30 11:30:00,3.8,3.8,3.8,3.8,3500.0
2019-04-30 12:30:00,3.9,3.9,3.9,3.9,35.0
2019-05-02 11:30:00,4.1,4.1,4.1,4.1,10.0
2019-05-03 11:30:00,3.8,3.8,3.8,3.8,2500.0
2019-05-06 09:30:00,4.1,4.1,4.1,4.1,100.0
2019-05-07 11:30:00,3.8,3.8,3.8,3.8,500.0
2019-05-07 12:30:00,3.8,3.8,3.8,3.8,500.0
2019-05-07 13:30:00,3.8,4.0,3.8,4.0,1150.0
2019-05-08 12:30:00,4.0,4.0,4.0,4.0,100.0
2019-05-10 09:30:00,4.0,4.0,4.0,4.0,11.0
2019-05-10 11:30:00,4.0,4.0,4.0,4.0,20.0
2019-05-15 10:30:00,3.7,3.7,3.7,3.7,1.0
2019-05-15 12:30:00,3.7,3.7,3.7,3.7,3000.0
2019-05-15 13:30:00,3.7,4.0,3.7,4.0,279.0
2019-05-16 09:30:00,4.0,4.0,4.0,4.0,11.0
2019-05-16 11:30:00,3.9,4.0,3.9,4.0,5000.0
2019-05-17 11:30:00,4.0,4.0,4.0,4.0,10.0
2019-05-21 09:30:00,4.0,4.0,4.0,4.0,10.0
2019-05-21 12:30:00,3.8,3.8,3.8,3.8,19980.0
2019-05-21 13:30:00,3.8,3.9,3.8,3.9,5951.0
2019-05-22 10:30:00,3.9,3.9,3.7,3.7,14213.0
2019-05-22 11:30:00,3.7,3.7,3.7,3.7,10500.0
2019-05-22 12:30:00,3.8,3.8,3.7,3.7,4000.0
2019-05-22 13:30:00,3.8,3.8,3.8,3.8,100.0
2019-05-23 09:30:00,3.9,3.9,3.7,3.7,204.0
2019-05-24 09:30:00,3.9,3.9,3.9,3.9,200.0
2019-05-24 13:30:00,3.7,3.7,3.7,3.7,15960.0
2019-05-27 09:30:00,3.9,3.9,3.9,3.9,10.0
2019-05-28 09:30:00,3.9,3.9,3.9,3.9,510.0
2019-05-28 10:30:00,3.9,3.9,3.9,3.9,300.0
2019-05-28 11:30:00,3.9,3.9,3.9,3.9,50.0
2019-05-29 09:30:00,3.9,3.9,3.9,3.9,100.0
2019-05-29 13:30:00,3.9,3.9,3.9,3.9,300.0
2019-05-30 12:30:00,4.0,4.0,4.0,4.0,10.0
2019-05-31 11:30:00,3.8,3.8,3.8,3.8,500.0
2019-05-31 13:30:00,3.7,4.0,3.7,4.0,1510.0
2019-06-03 12:30:00,4.0,4.0,4.0,4.0,10.0
2019-06-04 10:30:00,4.0,4.0,4.0,4.0,10.0
2019-06-04 11:30:00,4.0,4.0,4.0,4.0,10.0
2019-06-04 12:30:00,4.0,4.0,4.0,4.0,101.0
2019-06-04 13:30:00,3.7,3.7,3.7,3.7,464.0
2019-06-06 10:30:00,3.9,3.9,3.9,3.9,2.0
2019-06-07 13:30:00,3.9,3.9,3.9,3.9,100.0
2019-06-10 09:30:00,3.9,3.9,3.9,3.9,2.0
2019-06-10 12:30:00,3.9,3.9,3.9,3.9,360.0
2019-06-11 09:30:00,4.0,4.0,4.0,4.0,500.0
2019-06-11 10:30:00,4.0,4.0,4.0,4.0,5.0
2019-06-11 13:30:00,4.0,4.0,4.0,4.0,2.0
2019-06-12 10:30:00,4.0,4.0,4.0,4.0,1860.0
2019-06-13 09:30:00,4.0,4.0,4.0,4.0,590.0
2019-06-13 10:30:00,4.3,4.3,4.3,4.3,50.0
2019-06-13 11:30:00,4.0,4.0,4.0,4.0,6910.0
2019-06-14 13:30:00,4.0,4.0,4.0,4.0,10.0
2019-06-17 10:30:00,3.8,3.8,3.7,3.7,15.0
2019-06-18 11:30:00,4.0,4.0,3.9,3.9,1831.0
2019-06-19 09:30:00,4.3,4.3,4.3,4.3,100.0
2019-06-20 09:30:00,4.3,4.3,4.3,4.3,10.0
2019-06-20 12:30:00,4.0,4.0,4.0,4.0,200.0
2019-06-21 09:30:00,4.2,4.2,4.2,4.2,3.0
2019-06-24 10:30:00,4.2,4.2,4.2,4.2,500.0
2019-06-24 12:30:00,4.1,4.1,4.1,4.1,100.0
2019-06-25 12:30:00,4.0,4.0,4.0,4.0,1000.0
2019-06-25 13:30:00,3.9,3.9,3.9,3.9,100.0
2019-06-26 12:30:00,4.1,4.1,4.1,4.1,1.0
