Date,Open,High,Low,Close,Volume
2021-01-13 13:30:00,13.8,14.5,13.5,13.6,19526.0
2021-01-15 10:30:00,14.0,14.8,14.0,14.8,12709.0
2021-01-15 11:30:00,14.4,14.8,14.4,14.5,30222.0
2021-01-15 12:30:00,14.5,14.6,14.0,14.1,62394.0
2021-01-15 13:30:00,14.1,15.2,14.1,15.2,84291.0
2021-01-18 10:30:00,14.8,14.8,14.1,14.8,5501.0
2021-01-18 11:30:00,14.8,15.2,14.5,14.5,19154.0
2021-01-18 13:30:00,14.6,15.0,14.3,14.3,55468.0
2021-01-19 11:30:00,14.5,14.5,14.2,14.2,2620.0
2021-01-19 12:30:00,14.2,14.2,14.2,14.2,9740.0
2021-01-19 13:30:00,14.2,14.2,14.2,14.2,500.0
2021-01-20 10:30:00,15.0,15.0,14.1,14.1,5009.0
2021-01-20 12:30:00,14.2,14.2,14.2,14.2,390.0
2021-01-20 13:30:00,14.3,14.4,14.1,14.4,10538.0
2021-01-21 12:30:00,14.3,14.3,14.0,14.3,11500.0
2021-01-22 10:30:00,14.5,14.5,14.5,14.5,2728.0
2021-01-22 11:30:00,14.5,14.5,14.5,14.5,370.0
2021-01-22 12:30:00,14.6,14.6,14.5,14.5,2600.0
2021-01-22 13:30:00,14.5,14.5,13.6,13.7,11072.0
2021-01-25 10:30:00,14.2,14.2,14.0,14.0,230.0
2021-01-25 11:30:00,13.7,14.4,13.6,14.3,29712.0
2021-01-25 12:30:00,14.3,14.5,14.3,14.5,3033.0
2021-01-25 13:30:00,14.5,14.6,14.5,14.5,5262.0
2021-01-26 10:30:00,14.6,14.6,14.6,14.6,8.0
2021-01-26 11:30:00,14.3,14.3,13.6,13.6,7900.0
2021-01-26 12:30:00,14.0,14.3,14.0,14.0,14400.0
2021-01-26 13:30:00,14.3,14.3,14.3,14.3,12000.0
2021-01-27 10:30:00,14.0,14.0,14.0,14.0,100.0
2021-01-27 11:30:00,14.0,14.0,14.0,14.0,6700.0
2021-01-27 12:30:00,14.0,14.0,14.0,14.0,12500.0
2021-01-27 13:30:00,14.0,14.0,14.0,14.0,2144.0
2021-01-29 11:30:00,14.0,14.0,13.6,13.6,2000.0
2021-01-29 12:30:00,14.0,14.0,14.0,14.0,151.0
2021-01-29 13:30:00,14.0,14.0,13.6,13.6,1188.0
2021-02-01 11:30:00,13.7,13.7,13.6,13.6,1576.0
2021-02-01 12:30:00,13.6,14.3,13.6,14.3,2620.0
2021-02-01 13:30:00,13.9,13.9,13.9,13.9,1.0
2021-02-02 10:30:00,14.2,14.3,13.6,13.6,16221.0
2021-02-02 11:30:00,13.5,13.5,13.0,13.0,10150.0
2021-02-02 12:30:00,12.9,12.9,12.6,12.9,2486.0
2021-02-02 13:30:00,13.5,13.5,13.5,13.5,10.0
2021-02-03 10:30:00,12.7,12.7,12.7,12.7,495.0
2021-02-03 11:30:00,12.7,12.7,12.6,12.6,4831.0
2021-02-03 12:30:00,12.8,12.8,12.8,12.8,1.0
2021-02-05 10:30:00,12.8,12.8,12.8,12.8,2200.0
2021-02-05 11:30:00,13.6,13.6,13.0,13.0,2600.0
2021-02-05 12:30:00,13.0,13.0,13.0,13.0,2.0
2021-02-05 13:30:00,13.0,13.5,13.0,13.5,4889.0
2021-02-08 10:30:00,13.0,13.0,13.0,13.0,1801.0
2021-02-08 11:30:00,12.9,12.9,12.9,12.9,200.0
2021-02-08 12:30:00,12.9,13.1,12.9,13.1,6155.0
2021-02-08 13:30:00,13.1,13.1,13.1,13.1,9399.0
2021-02-09 10:30:00,12.8,12.8,12.8,12.8,999.0
2021-02-09 12:30:00,12.7,12.7,12.7,12.7,100.0
2021-02-10 11:30:00,12.7,12.7,12.6,12.6,1000.0
2021-02-10 12:30:00,12.6,12.6,12.1,12.1,11465.0
2021-02-10 13:30:00,12.0,12.0,12.0,12.0,1255.0
2021-02-11 11:30:00,11.8,11.8,11.7,11.7,4200.0
2021-02-11 12:30:00,11.7,11.7,11.3,11.3,1100.0
2021-02-11 13:30:00,11.3,12.5,11.3,12.5,306.0
2021-02-12 10:30:00,10.8,12.9,10.8,12.9,13600.0
2021-02-12 11:30:00,11.0,11.0,11.0,11.0,1.0
2021-02-12 12:30:00,12.8,12.8,12.1,12.1,16805.0
2021-02-15 10:30:00,12.0,12.0,12.0,12.0,1.0
2021-02-15 11:30:00,11.5,11.5,11.5,11.5,1.0
2021-02-15 13:30:00,12.0,12.0,12.0,12.0,1019.0
2021-02-16 10:30:00,12.0,12.0,11.6,11.6,450.0
2021-02-16 13:30:00,11.7,11.7,11.5,11.5,3200.0
2021-02-17 13:30:00,11.6,11.8,11.0,11.8,9530.0
2021-02-18 10:30:00,11.1,11.1,11.1,11.1,300.0
2021-02-18 11:30:00,11.6,11.6,11.6,11.6,18.0
2021-02-18 12:30:00,11.6,11.6,11.6,11.6,2.0
2021-02-18 13:30:00,11.6,11.6,11.1,11.1,3500.0
2021-02-19 13:30:00,11.8,11.8,11.4,11.4,241.0
2021-02-22 10:30:00,11.4,11.8,11.4,11.8,101.0
2021-02-22 11:30:00,11.8,12.0,11.8,12.0,16469.0
2021-02-22 12:30:00,12.1,12.1,11.9,11.9,1500.0
2021-02-22 13:30:00,12.0,12.0,11.9,11.9,700.0
2021-02-23 11:30:00,12.3,12.5,12.3,12.5,50001.0
2021-02-23 12:30:00,11.2,12.5,11.2,12.4,2001.0
2021-02-23 13:30:00,12.4,12.4,12.4,12.4,2.0
2021-02-25 12:30:00,11.2,11.2,11.2,11.2,1.0
2021-02-25 13:30:00,11.5,11.5,11.5,11.5,5000.0
2021-03-02 10:30:00,11.4,11.4,11.3,11.3,704.0
2021-03-02 11:30:00,12.1,12.1,12.1,12.1,60.0
2021-03-02 12:30:00,12.0,12.0,12.0,12.0,1900.0
2021-03-02 13:30:00,12.5,12.5,11.2,11.2,5510.0
2021-03-03 11:30:00,11.2,11.2,10.0,10.0,4203.0
2021-03-03 12:30:00,11.9,11.9,11.9,11.9,1.0
2021-03-03 13:30:00,11.9,11.9,11.9,11.9,100.0
2021-03-04 12:30:00,10.1,10.1,10.1,10.1,2499.0
2021-03-04 13:30:00,10.1,11.4,10.1,11.4,2100.0
2021-03-05 10:30:00,11.5,11.5,11.5,11.5,1.0
2021-03-05 11:30:00,11.0,11.0,11.0,11.0,2.0
2021-03-05 12:30:00,10.4,10.8,10.4,10.8,997.0
2021-03-08 10:30:00,10.6,10.6,10.6,10.6,300.0
2021-03-08 12:30:00,10.6,10.9,10.2,10.2,1212.0
2021-03-09 10:30:00,10.7,10.7,10.5,10.5,13750.0
2021-03-09 11:30:00,10.9,10.9,10.9,10.9,5798.0
2021-03-09 12:30:00,10.9,10.9,10.9,10.9,1042.0
2021-03-10 11:30:00,11.5,11.5,10.5,10.6,177.0
2021-03-10 13:30:00,11.4,11.4,11.4,11.4,100.0
2021-03-12 10:30:00,10.8,10.8,10.8,10.8,1891.0
2021-03-12 13:30:00,10.8,11.3,10.5,11.2,1009.0
