Date,Open,High,Low,Close,Volume
2019-09-04 09:30:00,20.591647,20.591647,20.301624,20.301624,1034.0
2019-09-04 13:30:00,20.784996,20.784996,20.784996,20.784996,103.0
2019-09-05 09:30:00,20.591647,20.591647,20.301624,20.301624,540.0
2019-09-06 09:30:00,20.591647,20.591647,20.20495,20.20495,108.0
2019-09-09 09:30:00,20.398298,20.494973,20.20495,20.20495,214.0
2019-09-09 13:30:00,20.494973,20.784996,20.108275,20.301624,279.0
2019-09-10 09:30:00,20.784996,20.784996,20.688322,20.688322,29.0
2019-09-10 13:30:00,20.688322,20.688322,20.108275,20.108275,24.0
2019-09-11 09:30:00,20.784996,22.235112,20.301624,20.301624,12272.0
2019-09-11 13:30:00,21.171694,21.171694,20.301624,20.301624,238.0
2019-09-12 09:30:00,21.075019,21.171694,19.33488,19.721578,5545.0
2019-09-12 13:30:00,20.20495,20.20495,20.20495,20.20495,5.0
2019-09-16 09:30:00,20.494973,20.494973,19.33488,19.914926,4317.0
2019-09-16 13:30:00,19.33488,20.108275,19.33488,19.33488,1177.0
2019-09-17 09:30:00,20.591647,20.591647,19.33488,19.33488,941.0
2019-09-18 09:30:00,19.33488,19.33488,18.561485,18.561485,744.0
2019-09-18 13:30:00,19.33488,19.33488,19.33488,19.33488,51.0
2019-09-19 09:30:00,18.561485,19.33488,18.561485,19.33488,3606.0
2019-09-20 09:30:00,20.20495,20.20495,18.948182,19.33488,955.0
2019-09-23 09:30:00,19.33488,19.33488,19.33488,19.33488,4479.0
2019-09-23 13:30:00,19.33488,19.33488,19.33488,19.33488,6080.0
2019-09-24 09:30:00,19.238206,19.33488,19.238206,19.33488,1330.0
2019-09-25 09:30:00,19.33488,19.33488,19.33488,19.33488,831.0
2019-09-25 13:30:00,19.33488,19.33488,19.33488,19.33488,103.0
2019-09-26 09:30:00,19.33488,19.33488,19.33488,19.33488,427.0
2019-09-27 09:30:00,19.1,19.1,18.3,18.3,1022.0
2019-10-01 09:30:00,18.4,18.5,18.3,18.3,3572.0
2019-10-02 09:30:00,18.4,18.4,18.4,18.4,30.0
2019-10-03 09:30:00,18.5,18.5,18.5,18.5,300.0
2019-10-03 13:30:00,18.5,18.5,18.5,18.5,225.0
2019-10-04 09:30:00,18.5,18.5,18.4,18.4,6500.0
2019-10-04 13:30:00,19.8,19.8,18.5,18.5,2505.0
2019-10-07 09:30:00,19.0,19.8,19.0,19.8,302.0
2019-10-08 09:30:00,18.4,18.4,18.4,18.4,2.0
2019-10-09 09:30:00,18.4,18.4,18.4,18.4,34.0
2019-10-09 13:30:00,19.5,19.8,19.5,19.8,277.0
2019-10-10 09:30:00,19.6,23.9,18.7,19.0,38607.0
2019-10-10 13:30:00,20.0,20.9,19.5,19.5,1660.0
2019-10-11 09:30:00,19.6,21.0,19.6,21.0,1255.0
2019-10-14 09:30:00,19.6,20.0,19.6,20.0,1005.0
2019-10-14 13:30:00,19.0,19.0,18.8,18.8,14342.0
2019-10-15 09:30:00,19.0,22.0,18.8,19.4,50112.0
2019-10-15 13:30:00,19.2,19.8,19.1,19.8,6068.0
