Date,Open,High,Low,Close,Volume
2021-04-22 13:30:00,46.0,46.5,45.2,45.3,144632.0
2021-04-23 09:30:00,45.3,45.9,43.0,44.7,132013.0
2021-04-23 13:30:00,44.8,45.2,44.5,44.6,54442.0
2021-04-27 09:30:00,44.6,44.6,43.0,43.0,236517.0
2021-04-27 13:30:00,43.0,43.7,42.0,42.9,127649.0
2021-04-28 09:30:00,42.4,44.8,42.4,44.5,430627.0
2021-04-28 13:30:00,44.5,45.0,44.5,45.0,56538.0
2021-04-29 09:30:00,45.0,46.1,43.9,46.0,114670.0
2021-04-29 13:30:00,45.0,45.6,44.1,45.2,11106.0
2021-04-30 09:30:00,45.2,45.7,44.8,45.0,9876.0
2021-05-03 09:30:00,44.5,45.5,44.1,45.0,25623.0
2021-05-03 13:30:00,44.5,45.4,44.5,44.5,15666.0
2021-05-04 09:30:00,44.6,44.6,43.9,44.0,147174.0
2021-05-04 13:30:00,43.9,44.0,43.0,43.0,177542.0
2021-05-05 09:30:00,43.2,44.0,43.1,43.6,5756.0
2021-05-05 13:30:00,43.7,43.9,43.0,43.5,419209.0
2021-05-06 09:30:00,43.0,44.9,43.0,44.7,509035.0
2021-05-06 13:30:00,44.5,44.5,44.0,44.3,8589.0
2021-05-07 09:30:00,44.7,44.8,44.5,44.7,50542.0
2021-05-07 13:30:00,44.7,45.3,44.7,45.0,162688.0
2021-05-10 09:30:00,45.0,45.0,44.3,44.5,1099505.0
2021-05-10 13:30:00,44.5,44.6,44.5,44.5,41415.0
2021-05-11 09:30:00,44.5,44.8,44.1,44.5,56143.0
2021-05-11 13:30:00,44.8,46.0,44.8,45.3,239545.0
2021-05-12 09:30:00,45.5,46.5,45.5,45.5,118400.0
2021-05-12 13:30:00,45.5,46.5,45.2,45.2,906569.0
2021-05-13 09:30:00,45.5,46.8,45.1,46.5,86397.0
2021-05-13 13:30:00,46.5,46.5,46.1,46.5,14864.0
2021-05-17 09:30:00,46.0,47.5,44.9,46.5,161967.0
2021-05-17 13:30:00,46.4,47.5,46.4,47.5,103148.0
2021-05-18 09:30:00,47.4,47.6,46.2,46.5,46335.0
2021-05-18 13:30:00,46.9,46.9,46.8,46.8,14714.0
2021-05-19 09:30:00,47.0,47.2,46.5,47.0,132494.0
2021-05-19 13:30:00,47.2,47.2,47.0,47.0,3177.0
2021-05-20 09:30:00,47.0,47.0,46.2,47.0,640567.0
2021-05-20 13:30:00,46.5,46.9,46.0,46.9,14132.0
2021-05-21 09:30:00,47.0,47.0,45.6,46.0,258933.0
2021-05-21 13:30:00,46.0,46.0,45.8,46.0,112831.0
2021-05-24 09:30:00,45.5,47.0,45.0,47.0,16800.0
2021-05-24 13:30:00,46.8,46.8,45.8,45.8,3200.0
2021-05-25 09:30:00,45.5,47.1,45.5,46.5,49376.0
2021-05-25 13:30:00,46.7,46.8,45.6,46.5,18243.0
2021-05-28 09:30:00,46.0,47.2,46.0,46.9,599191.0
2021-05-28 13:30:00,46.9,47.0,46.6,47.0,39187.0
2021-05-31 09:30:00,47.5,47.5,46.3,47.0,118963.0
2021-05-31 13:30:00,47.0,47.3,47.0,47.0,30644.0
2021-06-01 09:30:00,47.0,47.5,47.0,47.5,219057.0
2021-06-01 13:30:00,47.0,47.5,47.0,47.5,10979.0
2021-06-02 09:30:00,47.5,47.5,46.9,46.9,91850.0
2021-06-02 13:30:00,47.0,47.0,46.6,46.6,32913.0
2021-06-03 09:30:00,46.8,47.0,46.1,46.6,47464.0
2021-06-03 13:30:00,46.6,47.1,46.5,47.1,109795.0
2021-06-04 09:30:00,47.0,47.5,46.6,46.9,223932.0
2021-06-04 13:30:00,46.8,47.0,46.6,47.0,110203.0
2021-06-07 09:30:00,47.0,47.5,46.8,47.3,554819.0
2021-06-07 13:30:00,47.2,47.3,47.0,47.3,118110.0
2021-06-08 09:30:00,47.5,47.5,46.8,47.0,161690.0
2021-06-08 13:30:00,47.0,47.0,46.9,47.0,53707.0
2021-06-09 09:30:00,47.0,49.6,47.0,49.2,1928111.0
2021-06-09 13:30:00,49.2,49.5,49.0,49.0,409387.0
2021-06-10 09:30:00,49.6,49.7,48.9,49.0,169546.0
2021-06-10 13:30:00,49.0,49.0,48.7,49.0,45493.0
2021-06-11 09:30:00,49.1,49.1,48.4,48.7,61565.0
2021-06-11 13:30:00,48.9,49.0,48.1,48.1,92364.0
2021-06-14 09:30:00,48.7,49.6,48.0,49.0,327506.0
2021-06-14 13:30:00,49.0,49.5,49.0,49.5,318395.0
2021-06-15 09:30:00,51.5,51.8,51.0,51.3,2460509.0
2021-06-15 13:30:00,51.3,51.4,51.1,51.3,213914.0
2021-06-16 09:30:00,51.2,51.8,51.2,51.4,1237367.0
2021-06-16 13:30:00,51.4,51.7,51.4,51.5,419593.0
2021-06-17 09:30:00,51.5,51.7,51.3,51.5,387056.0
2021-06-17 13:30:00,51.5,51.7,51.4,51.6,189144.0
2021-06-18 09:30:00,51.7,52.0,51.6,51.6,501117.0
2021-06-18 13:30:00,51.6,51.8,51.5,51.6,217114.0
2021-06-21 09:30:00,51.8,51.8,51.3,51.5,340743.0
2021-06-21 13:30:00,51.5,51.5,51.0,51.0,218578.0
2021-06-22 09:30:00,51.0,51.1,50.7,50.9,882663.0
2021-06-22 13:30:00,50.9,50.9,50.5,50.5,302220.0
2021-06-23 09:30:00,47.3,49.0,45.0,47.8,312232.0
2021-06-23 13:30:00,47.7,47.8,47.5,47.5,99996.0
2021-06-25 09:30:00,47.7,48.0,47.0,47.8,53257.0
2021-06-25 13:30:00,47.7,47.8,47.3,47.4,83845.0
2021-06-28 09:30:00,47.6,47.6,46.6,47.0,91152.0
2021-06-28 13:30:00,46.8,47.0,46.6,46.8,50081.0
2021-06-29 09:30:00,46.8,46.9,46.4,46.6,105454.0
2021-06-29 13:30:00,46.6,46.6,46.4,46.6,50286.0
