Date,Open,High,Low,Close,Volume
2020-09-25 09:30:00,6.8,6.8,6.7,6.7,86106.0
2020-09-25 13:30:00,6.7,6.8,6.6,6.8,113759.0
2020-09-28 09:30:00,6.8,6.8,6.6,6.8,79328.0
2020-09-28 13:30:00,6.9,6.9,6.6,6.6,20100.0
2020-09-29 09:30:00,6.8,6.8,6.5,6.7,28641.0
2020-09-29 13:30:00,6.8,6.9,6.8,6.9,5700.0
2020-09-30 09:30:00,6.7,6.8,6.6,6.6,21099.0
2020-09-30 13:30:00,6.8,6.8,6.8,6.8,2800.0
2020-10-02 09:30:00,6.7,7.4,6.7,7.0,756755.0
2020-10-02 13:30:00,7.0,7.1,6.9,6.9,72687.0
2020-10-05 09:30:00,6.7,6.7,5.9,6.6,63918.0
2020-10-05 13:30:00,6.3,6.4,6.1,6.3,14747.0
2020-10-06 09:30:00,6.1,6.9,6.1,6.7,70339.0
2020-10-06 13:30:00,6.5,6.5,6.4,6.4,2440.0
2020-10-07 09:30:00,6.4,6.5,6.3,6.4,14025.0
2020-10-07 13:30:00,6.3,6.3,6.2,6.2,9548.0
2020-10-08 09:30:00,6.7,6.9,6.3,6.9,158858.0
2020-10-08 13:30:00,6.8,6.8,6.6,6.8,14001.0
2020-10-09 09:30:00,6.9,7.4,6.8,6.9,444975.0
2020-10-09 13:30:00,6.9,6.9,6.8,6.8,63869.0
2020-10-12 09:30:00,7.2,7.7,6.8,7.4,877364.0
2020-10-12 13:30:00,7.4,7.6,7.4,7.5,108241.0
2020-10-13 09:30:00,7.6,8.0,6.7,7.1,615740.0
2020-10-13 13:30:00,7.1,7.2,7.1,7.2,58039.0
2020-10-14 09:30:00,7.6,7.6,6.9,7.2,92733.0
2020-10-14 13:30:00,6.9,7.2,6.9,6.9,54701.0
2020-10-15 09:30:00,6.9,7.0,6.8,7.0,30691.0
2020-10-15 13:30:00,7.0,7.0,7.0,7.0,20060.0
2020-10-16 09:30:00,7.0,7.0,6.7,6.8,128766.0
2020-10-16 13:30:00,7.0,7.0,7.0,7.0,8850.0
2020-10-19 09:30:00,6.8,6.8,6.6,6.6,64162.0
2020-10-19 13:30:00,6.8,6.8,6.6,6.6,3010.0
2020-10-20 09:30:00,6.6,6.8,6.6,6.7,44562.0
2020-10-20 13:30:00,6.8,6.8,6.8,6.8,99.0
2020-10-21 09:30:00,6.7,6.8,6.3,6.3,96462.0
2020-10-21 13:30:00,6.2,6.3,6.1,6.1,84100.0
2020-10-22 09:30:00,6.1,6.5,6.1,6.4,2804.0
2020-10-22 13:30:00,6.3,6.4,6.3,6.4,2000.0
2020-10-23 09:30:00,6.5,6.5,6.3,6.5,22042.0
2020-10-23 13:30:00,6.4,6.4,6.1,6.1,9420.0
2020-10-26 09:30:00,6.5,6.5,6.0,6.0,15031.0
2020-10-26 13:30:00,6.3,6.4,6.3,6.4,3002.0
2020-10-27 09:30:00,6.1,6.4,6.1,6.3,5322.0
2020-10-27 13:30:00,6.2,6.2,6.1,6.2,6606.0
2020-10-28 09:30:00,6.3,6.3,6.1,6.3,109.0
2020-10-28 13:30:00,6.1,6.1,6.0,6.0,14703.0
2020-10-29 09:30:00,6.4,6.4,6.4,6.4,6.0
2020-10-29 13:30:00,6.4,6.4,6.3,6.4,51355.0
2020-11-02 09:30:00,6.5,6.5,6.4,6.4,71110.0
2020-11-02 13:30:00,6.4,6.5,6.4,6.5,3183.0
2020-11-03 09:30:00,6.4,6.8,6.3,6.8,63852.0
2020-11-03 13:30:00,6.7,6.8,6.7,6.8,27150.0
2020-11-04 09:30:00,6.3,6.5,6.3,6.5,16731.0
2020-11-04 13:30:00,6.5,6.7,6.5,6.7,31537.0
2020-11-05 09:30:00,6.6,6.6,6.6,6.6,47.0
2020-11-05 13:30:00,6.6,6.6,6.6,6.6,1000.0
2020-11-06 09:30:00,6.8,6.8,6.4,6.4,71751.0
2020-11-06 13:30:00,6.8,6.8,6.6,6.7,4205.0
2020-11-09 09:30:00,6.7,6.7,6.6,6.6,5512.0
2020-11-09 13:30:00,6.5,6.5,6.5,6.5,4014.0
2020-11-10 09:30:00,6.5,6.5,6.2,6.4,73078.0
2020-11-10 13:30:00,6.3,6.3,6.3,6.3,1500.0
2020-11-11 09:30:00,6.4,6.5,6.3,6.3,19467.0
2020-11-11 13:30:00,6.5,6.5,6.5,6.5,150.0
2020-11-12 09:30:00,6.3,6.3,6.3,6.3,10643.0
2020-11-13 09:30:00,6.5,6.5,6.5,6.5,506.0
2020-11-13 13:30:00,6.5,6.7,6.5,6.7,2145.0
2020-11-16 09:30:00,6.7,6.8,6.5,6.5,45999.0
2020-11-16 13:30:00,6.4,6.4,6.4,6.4,1.0
2020-11-17 09:30:00,6.2,6.4,6.2,6.4,87402.0
2020-11-17 13:30:00,6.4,6.4,6.3,6.4,6440.0
2020-11-18 09:30:00,6.6,6.6,6.4,6.5,15911.0
2020-11-18 13:30:00,6.5,6.5,6.5,6.5,2044.0
2020-11-19 09:30:00,6.6,6.6,6.5,6.5,105240.0
2020-11-19 13:30:00,6.6,6.7,6.5,6.7,20480.0
2020-11-20 09:30:00,6.5,6.5,6.5,6.5,10870.0
2020-11-20 13:30:00,6.6,6.6,6.6,6.6,540.0
2020-11-23 09:30:00,6.7,6.8,6.5,6.7,77221.0
2020-11-23 13:30:00,6.8,7.6,6.8,7.4,1358551.0
2020-11-24 09:30:00,7.4,7.5,7.0,7.1,195677.0
2020-11-24 13:30:00,7.1,7.2,7.1,7.1,23706.0
2020-11-25 09:30:00,7.3,7.3,6.8,7.0,22550.0
2020-11-25 13:30:00,6.9,6.9,6.9,6.9,50.0
2020-11-26 09:30:00,6.9,7.1,6.9,6.9,5821.0
2020-11-26 13:30:00,6.9,6.9,6.8,6.8,13110.0
2020-11-27 09:30:00,6.8,6.9,6.8,6.8,4912.0
2020-11-27 13:30:00,6.8,6.8,6.7,6.8,4078.0
2020-11-30 09:30:00,6.8,6.9,6.6,6.9,51150.0
2020-11-30 13:30:00,6.9,6.9,6.9,6.9,19.0
2020-12-01 09:30:00,6.9,7.0,6.8,6.9,4193.0
2020-12-01 13:30:00,6.8,6.8,6.7,6.7,101800.0
2020-12-02 09:30:00,6.9,7.0,6.9,6.9,11192.0
2020-12-02 13:30:00,6.9,6.9,6.9,6.9,2000.0
2020-12-03 09:30:00,6.8,6.9,6.7,6.7,32201.0
2020-12-03 13:30:00,6.7,6.8,6.7,6.8,14976.0
2020-12-04 09:30:00,6.8,6.9,6.8,6.9,7999.0
2020-12-04 13:30:00,6.9,7.0,6.9,7.0,6141.0
2020-12-07 09:30:00,6.8,7.0,6.8,6.9,9970.0
2020-12-07 13:30:00,6.9,6.9,6.9,6.9,4901.0
2020-12-08 09:30:00,7.0,7.0,6.8,7.0,18290.0
2020-12-08 13:30:00,7.0,7.2,7.0,7.2,38908.0
2020-12-09 09:30:00,7.3,7.3,6.8,7.1,25657.0
2020-12-10 09:30:00,7.1,7.1,6.8,7.0,17102.0
2020-12-10 13:30:00,6.9,6.9,6.9,6.9,15.0
2020-12-11 09:30:00,6.8,7.0,6.8,7.0,26857.0
2020-12-11 13:30:00,6.9,7.2,6.9,6.9,5990.0
2020-12-14 09:30:00,6.8,7.1,6.8,7.0,15833.0
2020-12-14 13:30:00,7.0,7.0,6.9,6.9,16300.0
2020-12-15 09:30:00,7.0,7.0,6.9,7.0,4400.0
