Date,Open,High,Low,Close,Volume
2019-02-25 09:30:00,14.2,14.2,14.2,14.2,300.0
2019-02-26 09:30:00,13.2,13.2,13.2,13.2,500.0
2019-02-27 09:30:00,14.1,14.2,14.1,14.2,222.0
2019-03-05 09:30:00,14.2,14.2,14.2,14.2,10.0
2019-03-05 13:30:00,14.0,14.0,14.0,14.0,25.0
2019-03-07 09:30:00,14.3,14.3,14.3,14.3,103.0
2019-03-08 09:30:00,14.1,14.1,14.1,14.1,200.0
2019-03-12 09:30:00,13.3,13.3,13.3,13.3,100.0
2019-03-14 09:30:00,14.0,14.0,14.0,14.0,50.0
2019-03-15 09:30:00,13.8,13.8,13.8,13.8,25.0
2019-03-15 13:30:00,13.5,13.5,13.1,13.1,500.0
2019-03-18 09:30:00,13.1,13.1,13.1,13.1,1335.0
2019-03-18 13:30:00,13.1,13.1,13.1,13.1,150.0
2019-03-19 09:30:00,14.0,14.0,13.2,13.2,885.0
2019-03-21 09:30:00,13.5,13.5,13.5,13.5,100.0
2019-03-22 09:30:00,13.5,13.5,13.5,13.5,136111.0
2019-03-26 09:30:00,14.2,14.2,12.9,12.9,925.0
2019-03-26 13:30:00,12.9,12.9,12.9,12.9,75.0
2019-03-27 09:30:00,14.2,14.2,12.5,12.5,443.0
2019-03-29 09:30:00,13.0,13.5,13.0,13.5,300.0
2019-03-29 13:30:00,13.9,13.9,13.9,13.9,50.0
2019-04-01 09:30:00,13.0,13.1,12.5,13.0,701.0
2019-04-01 13:30:00,13.3,13.3,13.3,13.3,13.0
2019-04-02 09:30:00,13.5,13.5,13.5,13.5,200.0
2019-04-04 13:30:00,13.4,13.4,13.4,13.4,150.0
2019-04-09 09:30:00,13.0,13.0,13.0,13.0,486.0
2019-04-10 09:30:00,13.0,13.0,13.0,13.0,80.0
2019-04-11 09:30:00,12.9,12.9,12.9,12.9,500.0
2019-04-11 13:30:00,12.9,12.9,12.9,12.9,10.0
2019-04-12 09:30:00,12.9,12.9,12.9,12.9,100.0
2019-04-16 09:30:00,12.9,12.9,12.6,12.6,410.0
2019-04-17 09:30:00,12.6,12.6,12.6,12.6,300.0
2019-04-18 09:30:00,13.0,13.0,13.0,13.0,100.0
2019-04-18 13:30:00,13.3,13.3,13.3,13.3,10.0
2019-04-23 09:30:00,12.5,12.7,11.9,11.9,160.0
2019-04-23 13:30:00,11.7,11.7,11.7,11.7,100.0
2019-04-30 09:30:00,12.9,12.9,12.9,12.9,64.0
2019-05-02 09:30:00,12.6,12.6,12.6,12.6,3.0
2019-05-07 09:30:00,12.2,12.2,12.2,12.2,20.0
2019-05-08 09:30:00,11.9,11.9,11.9,11.9,13200.0
2019-05-10 09:30:00,11.9,11.9,11.9,11.9,110.0
2019-05-13 09:30:00,12.1,12.1,12.1,12.1,100.0
2019-05-15 09:30:00,11.9,11.9,11.8,11.8,685.0
2019-05-22 09:30:00,11.7,11.7,11.6,11.6,20.0
2019-05-22 13:30:00,11.6,11.8,11.6,11.8,2236.0
2019-05-23 09:30:00,11.1,11.1,11.1,11.1,39.0
2019-05-23 13:30:00,13.9,13.9,12.9,12.9,391.0
2019-05-27 09:30:00,12.9,12.9,12.9,12.9,6.0
2019-05-28 09:30:00,12.9,12.9,12.9,12.9,3.0
2019-06-04 09:30:00,13.0,13.0,13.0,13.0,1.0
2019-06-10 09:30:00,13.0,13.0,13.0,13.0,60.0
2019-06-13 09:30:00,14.2,14.2,14.2,14.2,1.0
2019-06-13 13:30:00,13.1,13.1,13.1,13.1,11.0
2019-06-17 09:30:00,14.3,14.3,14.3,14.3,1.0
2019-06-19 09:30:00,13.5,13.5,13.5,13.5,16016.0
2019-06-20 09:30:00,13.9,13.9,13.9,13.9,1.0
2019-06-21 09:30:00,13.6,13.6,13.6,13.6,500.0
2019-06-21 13:30:00,13.6,14.1,13.6,14.1,1000.0
2019-06-24 09:30:00,14.0,14.5,13.0,13.1,296.0
2019-06-25 09:30:00,13.5,13.5,13.1,13.1,950.0
2019-06-26 09:30:00,14.0,14.0,13.0,13.0,725.0
2019-06-26 13:30:00,14.0,14.0,14.0,14.0,275.0
2019-06-28 09:30:00,12.9,12.9,12.9,12.9,38.0
2019-07-02 09:30:00,13.0,13.0,12.9,13.0,896.0
2019-07-04 09:30:00,13.5,13.5,13.1,13.1,2090.0
2019-07-05 09:30:00,13.7,13.8,13.7,13.8,132.0
2019-07-09 09:30:00,13.4,14.0,13.4,14.0,1120.0
2019-07-10 09:30:00,13.8,14.0,13.2,13.2,4201.0
2019-07-11 09:30:00,14.0,14.0,14.0,14.0,80.0
2019-07-17 09:30:00,13.5,13.8,13.5,13.8,377.0
2019-07-18 09:30:00,14.0,14.0,14.0,14.0,387.0
2019-07-18 13:30:00,14.3,14.4,14.3,14.4,159.0
2019-07-19 09:30:00,14.2,14.2,14.2,14.2,340.0
2019-07-24 13:30:00,14.0,14.0,14.0,14.0,100.0
2019-07-26 09:30:00,13.9,15.3,13.9,15.3,26381.0
2019-07-29 09:30:00,15.0,15.0,14.0,14.0,927.0
2019-07-29 13:30:00,14.0,14.0,14.0,14.0,25.0
2019-07-30 09:30:00,13.6,15.0,13.5,14.0,649.0
2019-07-31 09:30:00,14.9,14.9,14.9,14.9,100.0
2019-08-01 13:30:00,14.0,14.0,13.9,13.9,1900.0
2019-08-02 09:30:00,13.9,13.9,13.9,13.9,187.0
2019-08-02 13:30:00,14.3,15.0,14.3,15.0,2367.0
2019-08-07 09:30:00,14.6,14.6,14.6,14.6,101.0
2019-08-07 13:30:00,14.1,14.1,14.1,14.1,1.0
2019-08-08 09:30:00,14.0,14.0,14.0,14.0,10.0
2019-08-15 09:30:00,14.0,14.0,14.0,14.0,95.0
2019-08-16 09:30:00,13.7,13.7,13.7,13.7,10.0
2019-08-20 09:30:00,14.6,14.6,14.6,14.6,50.0
2019-08-21 09:30:00,13.8,13.8,13.8,13.8,100.0
2019-08-21 13:30:00,14.0,14.0,13.9,13.9,185.0
2019-08-22 09:30:00,13.9,13.9,13.9,13.9,204.0
2019-08-23 09:30:00,13.9,14.5,13.9,14.4,350.0
2019-08-23 13:30:00,14.6,14.6,14.6,14.6,100.0
2019-08-26 09:30:00,14.8,14.8,14.8,14.8,80.0
2019-08-29 09:30:00,14.0,14.0,14.0,14.0,200.0
2019-08-30 09:30:00,14.8,15.3,14.8,15.3,761.0
2019-09-02 09:30:00,14.8,15.6,14.8,15.6,466.0
2019-09-03 09:30:00,15.0,15.6,15.0,15.6,1100.0
2019-09-04 09:30:00,15.6,15.6,14.0,14.5,2220.0
2019-09-04 13:30:00,14.6,14.6,14.6,14.6,100.0
2019-09-06 09:30:00,14.5,14.5,14.0,14.2,2100.0
2019-09-09 09:30:00,14.5,15.0,14.5,15.0,498.0
2019-09-09 13:30:00,15.1,15.1,15.1,15.1,190.0
2019-09-10 09:30:00,15.0,15.0,14.5,14.5,1080.0
2019-09-11 13:30:00,14.5,14.5,14.5,14.5,1200.0
2019-09-16 09:30:00,14.5,14.5,14.2,14.2,700.0
2019-09-17 09:30:00,14.0,14.0,14.0,14.0,100.0
2019-09-19 09:30:00,14.9,14.9,14.9,14.9,110.0
2019-09-19 13:30:00,14.9,14.9,14.9,14.9,102.0
