Date,Open,High,Low,Close,Volume
2019-03-12 09:30:00,16.0,16.0,16.0,16.0,1.0
2019-03-13 09:30:00,17.0,17.0,17.0,17.0,10.0
2019-03-18 09:30:00,18.0,18.0,18.0,18.0,100.0
2019-03-22 09:30:00,17.3,17.3,17.3,17.3,2.0
2019-03-28 09:30:00,19.0,19.0,19.0,19.0,3308.0
2019-04-04 09:30:00,19.0,19.0,19.0,19.0,100.0
2019-04-23 13:30:00,17.6,17.6,17.6,17.6,100.0
2019-04-30 09:30:00,19.8,19.8,19.7,19.7,31.0
2019-05-02 09:30:00,19.0,19.0,19.0,19.0,5000.0
2019-05-03 09:30:00,19.0,19.0,19.0,19.0,10.0
2019-05-07 09:30:00,18.5,18.5,18.1,18.1,10110.0
2019-05-15 09:30:00,15.3,15.3,15.3,15.3,9.0
2019-05-15 13:30:00,15.5,15.5,15.5,15.5,10.0
2019-05-21 09:30:00,15.3,15.3,15.3,15.3,1.0
2019-05-28 09:30:00,17.0,17.0,17.0,17.0,15.0
2019-05-30 09:30:00,18.5,18.5,18.5,18.5,1.0
2019-05-31 09:30:00,18.5,18.5,18.5,18.5,100.0
2019-05-31 13:30:00,17.1,17.1,17.0,17.0,1100.0
2019-06-04 09:30:00,17.2,17.2,17.0,17.0,176.0
2019-06-07 13:30:00,17.0,17.0,17.0,17.0,50.0
2019-06-12 13:30:00,19.0,19.0,19.0,19.0,1.0
2019-06-17 09:30:00,18.8,18.8,18.8,18.8,12.0
2019-06-20 09:30:00,18.8,18.8,18.8,18.8,1.0
2019-07-02 09:30:00,17.1,17.1,17.1,17.1,20.0
2019-07-10 09:30:00,17.4,17.5,17.4,17.5,86.0
2019-07-11 09:30:00,18.5,19.7,18.5,19.7,11.0
2019-07-12 13:30:00,18.8,18.8,18.8,18.8,9.0
2019-07-17 09:30:00,19.5,19.5,19.5,19.5,3.0
2019-07-19 09:30:00,17.6,17.6,16.0,16.9,2699.0
2019-07-25 09:30:00,19.2,19.2,19.0,19.2,1201.0
2019-07-26 09:30:00,19.2,19.3,19.2,19.3,150.0
2019-07-29 09:30:00,19.8,19.8,19.8,19.8,21.0
2019-07-29 13:30:00,19.8,19.8,19.8,19.8,28.0
2019-07-30 09:30:00,19.3,19.3,19.2,19.2,2000.0
2019-08-02 09:30:00,17.1,17.1,17.1,17.1,2000.0
2019-08-05 09:30:00,18.5,18.5,18.5,18.5,10.0
2019-08-06 13:30:00,19.4,19.4,19.4,19.4,1.0
2019-08-07 13:30:00,18.4,18.4,18.4,18.4,50.0
2019-08-08 09:30:00,19.3,19.3,19.3,19.3,1.0
2019-08-13 09:30:00,19.1,19.1,19.1,19.1,1.0
2019-08-13 13:30:00,18.5,18.8,18.5,18.8,400.0
2019-08-15 09:30:00,19.9,21.0,19.0,19.9,734.0
2019-08-15 13:30:00,19.7,19.8,19.7,19.8,250.0
2019-08-19 09:30:00,19.8,19.8,19.8,19.8,1.0
2019-08-20 09:30:00,18.0,19.4,18.0,19.4,539.0
2019-08-21 13:30:00,19.4,19.4,19.4,19.4,1.0
2019-08-22 09:30:00,19.3,19.3,19.3,19.3,1.0
2019-08-22 13:30:00,19.3,19.3,19.3,19.3,36.0
2019-08-27 09:30:00,19.4,19.4,19.4,19.4,52.0
2019-08-29 09:30:00,19.4,19.4,19.4,19.4,1.0
2019-09-02 09:30:00,18.1,18.1,18.1,18.1,20.0
2019-09-05 09:30:00,19.4,19.4,19.4,19.4,1.0
2019-09-06 09:30:00,19.4,19.4,18.0,18.0,4.0
2019-09-10 13:30:00,19.4,19.4,19.4,19.4,10.0
