Date,Open,High,Low,Close,Volume
2019-02-25 09:30:00,18.0,18.0,18.0,18.0,5.0
2019-02-27 09:30:00,16.5,19.7,16.5,19.7,381.0
2019-02-27 13:30:00,17.0,17.0,17.0,17.0,20.0
2019-03-01 09:30:00,17.0,19.0,16.6,19.0,280.0
2019-03-07 09:30:00,19.0,19.0,19.0,19.0,50.0
2019-03-11 09:30:00,17.5,18.0,17.5,18.0,316.0
2019-03-12 09:30:00,18.0,18.0,18.0,18.0,4.0
2019-03-14 09:30:00,17.0,17.0,16.8,16.8,210.0
2019-03-15 09:30:00,16.1,16.1,16.1,16.1,618.0
2019-03-22 09:30:00,16.5,16.5,16.0,16.0,878.0
2019-03-26 09:30:00,17.4,17.4,17.4,17.4,50.0
2019-03-29 09:30:00,17.4,17.5,17.4,17.5,52.0
2019-04-02 13:30:00,17.0,17.0,17.0,17.0,50.0
2019-04-04 09:30:00,17.9,17.9,17.9,17.9,5.0
2019-04-11 13:30:00,17.5,17.7,17.5,17.7,300.0
2019-05-03 09:30:00,17.6,17.6,17.6,17.6,10.0
2019-05-08 09:30:00,14.1,14.1,14.0,14.0,140.0
2019-05-09 09:30:00,14.9,15.0,14.9,15.0,100.0
2019-05-10 09:30:00,14.1,14.1,14.1,14.1,1.0
2019-05-10 13:30:00,16.0,16.0,16.0,16.0,50.0
2019-05-13 09:30:00,14.1,14.9,14.0,14.9,610.0
2019-05-14 09:30:00,14.0,14.0,14.0,14.0,65.0
2019-05-14 13:30:00,14.0,14.0,14.0,14.0,854.0
2019-05-23 09:30:00,12.1,12.1,12.1,12.1,40.0
2019-05-24 09:30:00,15.0,15.0,15.0,15.0,200.0
2019-05-27 09:30:00,14.0,14.0,14.0,14.0,200.0
2019-05-27 13:30:00,12.6,12.6,12.6,12.6,1.0
2019-05-28 09:30:00,12.7,12.7,12.7,12.7,8.0
2019-05-29 09:30:00,13.9,13.9,13.9,13.9,9.0
2019-05-30 09:30:00,14.0,14.0,14.0,14.0,2432.0
2019-05-31 09:30:00,16.0,17.0,16.0,17.0,600.0
2019-05-31 13:30:00,17.5,17.5,17.5,17.5,1.0
2019-06-03 09:30:00,20.0,20.0,20.0,20.0,100.0
2019-06-06 09:30:00,18.9,23.0,18.9,23.0,1817.0
2019-06-07 09:30:00,23.2,23.2,23.2,23.2,120.0
2019-06-13 09:30:00,18.0,24.8,17.5,24.8,4456.0
2019-06-13 13:30:00,26.8,26.8,26.8,26.8,20.0
2019-06-14 09:30:00,26.0,27.8,19.1,26.9,150.0
2019-06-18 09:30:00,21.0,26.4,21.0,26.4,1167.0
2019-07-05 09:30:00,25.3,26.0,25.3,25.8,470.0
2019-07-08 09:30:00,25.5,25.5,25.5,25.5,30.0
2019-07-11 09:30:00,25.4,26.0,25.4,26.0,1010.0
