Date,Open,High,Low,Close,Volume
2022-04-01 11:30:00,5.5,5.5,5.5,5.5,25000.0
2022-04-04 10:30:00,5.1,5.4,4.6,4.6,242839.0
2022-04-04 11:30:00,4.6,6.5,4.6,5.9,1843414.0
2022-04-05 10:30:00,6.4,6.8,6.0,6.6,1493552.0
2022-04-05 11:30:00,6.7,7.3,6.7,7.3,1946427.0
2022-04-06 10:30:00,7.4,7.7,6.6,6.9,1664914.0
2022-04-06 11:30:00,6.8,7.1,6.6,6.7,770505.0
2022-04-07 10:30:00,6.6,6.6,6.0,6.1,620885.0
2022-04-07 11:30:00,6.1,6.3,6.0,6.2,204583.0
2022-04-08 10:30:00,5.5,6.3,5.5,6.1,466151.0
2022-04-08 11:30:00,6.2,6.5,6.0,6.1,175989.0
2022-04-25 10:30:00,5.5,5.5,5.3,5.3,269868.0
2022-04-26 10:30:00,4.5,4.5,4.2,4.2,199339.0
2022-04-26 11:30:00,4.1,4.2,4.1,4.1,29800.0
2022-04-27 10:30:00,3.5,6.0,3.4,5.2,1300546.0
2022-04-27 11:30:00,5.2,6.1,5.1,5.7,1026585.0
2022-04-28 10:30:00,5.8,6.0,5.0,5.7,473831.0
2022-04-28 11:30:00,5.7,6.3,5.4,6.0,1471231.0
2022-04-29 10:30:00,6.1,6.1,5.5,6.0,488781.0
2022-04-29 11:30:00,5.9,5.9,5.4,5.6,758335.0
2022-05-04 10:30:00,5.6,5.6,5.2,5.2,488528.0
2022-05-04 11:30:00,5.3,5.4,5.0,5.0,641754.0
2022-05-05 10:30:00,5.3,5.3,4.8,5.0,181595.0
2022-05-05 11:30:00,4.9,5.0,4.9,5.0,118532.0
2022-05-06 10:30:00,5.0,5.0,4.9,4.9,73838.0
2022-05-06 11:30:00,4.9,5.0,4.9,5.0,153925.0
2022-05-09 10:30:00,5.0,5.4,5.0,5.3,304555.0
2022-05-09 11:30:00,5.3,5.3,5.0,5.0,681411.0
2022-05-12 10:30:00,5.4,5.5,5.0,5.4,881085.0
2022-05-12 11:30:00,5.3,5.4,5.0,5.0,623378.0
2022-05-13 10:30:00,5.5,6.3,5.5,6.3,2931571.0
2022-05-13 11:30:00,6.3,6.9,6.3,6.4,2147251.0
2022-05-17 10:30:00,6.5,7.7,6.5,7.7,6754735.0
2022-05-17 11:30:00,7.7,8.7,7.6,8.5,7030852.0
2022-05-18 10:30:00,9.2,9.9,8.4,8.9,11129343.0
2022-05-18 11:30:00,8.8,8.9,7.5,7.9,5199800.0
2022-05-19 10:30:00,8.1,8.6,7.5,7.9,2157167.0
2022-05-19 11:30:00,7.9,8.1,7.5,7.5,1289737.0
2022-05-20 10:30:00,7.9,8.6,7.9,8.1,2996843.0
2022-05-20 11:30:00,8.1,8.3,7.9,8.3,2207200.0
2022-05-23 10:30:00,8.7,9.3,8.5,8.9,4049039.0
2022-05-23 11:30:00,8.9,9.2,8.8,9.1,2285845.0
2022-05-24 10:30:00,9.2,9.3,8.4,8.7,3099915.0
2022-05-24 11:30:00,8.7,8.8,8.4,8.7,1387397.0
2022-05-25 10:30:00,8.5,9.0,8.0,8.8,1460461.0
2022-05-25 11:30:00,8.7,8.8,8.3,8.5,669148.0
2022-05-26 10:30:00,8.4,8.7,8.2,8.6,925665.0
2022-05-26 11:30:00,8.6,8.7,8.2,8.4,491740.0
2022-05-26 12:30:00,8.4,8.4,8.4,8.4,1.0
2022-05-27 10:30:00,8.4,8.7,8.2,8.5,576486.0
2022-05-27 11:30:00,8.6,8.6,8.1,8.3,766862.0
2022-05-30 10:30:00,8.6,8.6,8.0,8.1,608237.0
2022-05-30 11:30:00,8.1,8.3,7.9,7.9,383168.0
2022-05-31 10:30:00,7.9,8.1,7.6,7.6,532516.0
2022-05-31 11:30:00,7.8,8.1,7.7,7.9,316327.0
2022-06-01 10:30:00,7.9,8.0,7.4,7.6,447891.0
2022-06-01 11:30:00,7.6,7.8,7.5,7.7,421753.0
2022-06-02 10:30:00,7.8,8.2,7.5,8.0,1103149.0
2022-06-02 11:30:00,7.9,7.9,7.6,7.7,406864.0
2022-06-03 10:30:00,7.7,7.7,7.4,7.5,201637.0
2022-06-03 11:30:00,7.5,7.7,7.4,7.5,294014.0
2022-06-06 10:30:00,7.4,7.4,6.7,6.9,1407049.0
2022-06-06 11:30:00,6.9,7.0,6.5,6.5,887228.0
2022-06-07 10:30:00,6.8,6.9,5.9,6.0,570751.0
2022-06-07 11:30:00,6.0,6.8,6.0,6.7,361026.0
2022-06-08 10:30:00,6.7,7.1,6.5,6.9,783130.0
2022-06-08 11:30:00,6.9,7.3,6.8,7.1,1374047.0
2022-06-09 10:30:00,7.3,7.5,7.2,7.4,618914.0
2022-06-09 11:30:00,7.4,7.5,7.1,7.2,267271.0
2022-06-10 10:30:00,7.4,7.4,7.1,7.2,352874.0
2022-06-10 11:30:00,7.2,7.2,7.0,7.1,324165.0
2022-06-13 10:30:00,7.2,7.2,6.9,6.9,105473.0
2022-06-13 11:30:00,6.9,7.0,6.7,6.9,280960.0
2022-06-15 10:30:00,6.8,6.9,6.6,6.7,226336.0
2022-06-15 11:30:00,6.7,6.8,6.6,6.7,199699.0
2022-06-16 10:30:00,6.7,7.0,6.5,6.8,104764.0
2022-06-16 11:30:00,6.7,6.8,6.4,6.5,356956.0
2022-06-17 10:30:00,6.4,6.5,6.0,6.1,651812.0
2022-06-17 11:30:00,6.1,6.2,5.9,6.0,1162715.0
2022-06-20 10:30:00,5.9,6.0,5.5,5.6,1277813.0
2022-06-20 11:30:00,5.6,6.1,5.6,6.0,670455.0
2022-06-21 10:30:00,6.1,6.2,5.8,6.0,495861.0
2022-06-21 11:30:00,6.0,6.0,5.9,6.0,220747.0
2022-06-22 10:30:00,6.0,6.2,5.9,5.9,195455.0
2022-06-22 11:30:00,6.0,6.0,5.8,5.8,564051.0
