Date,Open,High,Low,Close,Volume
2019-11-14 09:30:00,15.2,15.2,15.0,15.1,45397.0
2019-11-15 09:30:00,15.1,15.4,15.1,15.2,70270.0
2019-11-15 13:30:00,15.2,15.2,15.0,15.0,36885.0
2019-11-18 09:30:00,15.6,16.0,15.6,15.9,354939.0
2019-11-18 13:30:00,15.9,16.1,15.8,16.1,211845.0
2019-11-19 09:30:00,16.0,16.3,15.7,15.8,143887.0
2019-11-19 13:30:00,15.7,16.0,15.7,16.0,56569.0
2019-11-20 09:30:00,15.6,16.1,15.6,15.9,108535.0
2019-11-20 13:30:00,15.8,16.0,15.8,16.0,31320.0
2019-11-21 09:30:00,16.0,16.5,16.0,16.3,281667.0
2019-11-21 13:30:00,16.3,16.3,16.1,16.1,1100.0
2019-11-22 09:30:00,16.5,16.5,15.9,16.0,109818.0
2019-11-22 13:30:00,16.0,16.3,16.0,16.3,39301.0
2019-11-25 09:30:00,15.8,16.1,15.7,16.1,4696.0
2019-11-25 13:30:00,16.0,16.0,16.0,16.0,200.0
2019-11-26 09:30:00,15.6,16.0,15.6,16.0,1401.0
2019-11-26 13:30:00,16.0,16.0,15.7,15.7,1010.0
2019-11-27 09:30:00,16.0,16.0,15.8,15.9,62089.0
2019-11-27 13:30:00,15.9,15.9,15.8,15.8,3752.0
2019-11-28 09:30:00,16.2,16.5,15.9,16.1,2471522.0
2019-11-28 13:30:00,16.3,16.3,16.2,16.2,2001.0
2019-11-29 09:30:00,16.4,16.4,16.0,16.0,65505.0
2019-11-29 13:30:00,16.0,16.0,16.0,16.0,10600.0
2019-12-02 09:30:00,15.9,16.4,15.8,15.9,36694.0
2019-12-02 13:30:00,15.9,16.1,15.9,16.1,1200.0
2019-12-03 09:30:00,16.3,16.3,15.8,16.2,31218.0
2019-12-03 13:30:00,16.0,16.0,16.0,16.0,1000.0
2019-12-04 09:30:00,15.8,16.1,15.8,15.9,51782.0
2019-12-04 13:30:00,15.9,16.0,15.9,16.0,6002.0
2019-12-05 09:30:00,16.0,16.0,15.8,15.8,66056.0
2019-12-05 13:30:00,15.8,15.8,15.8,15.8,20.0
2019-12-06 09:30:00,16.1,16.1,15.8,16.1,13805.0
2019-12-06 13:30:00,16.0,16.0,15.9,15.9,10500.0
2019-12-09 09:30:00,16.0,16.0,15.8,15.8,22520.0
2019-12-09 13:30:00,16.0,16.0,15.8,15.8,16722.0
2019-12-10 09:30:00,15.7,15.7,15.5,15.6,16707.0
2019-12-10 13:30:00,15.5,15.5,15.5,15.5,275.0
2019-12-12 09:30:00,15.5,16.0,15.5,15.5,1455.0
2019-12-12 13:30:00,15.5,15.5,15.5,15.5,1310.0
2019-12-13 09:30:00,15.5,16.0,15.5,15.9,1030.0
2019-12-16 09:30:00,15.6,16.0,15.5,15.5,3430.0
2019-12-16 13:30:00,15.6,15.6,15.5,15.5,62491.0
2019-12-17 09:30:00,15.9,15.9,15.4,15.5,15868.0
2019-12-17 13:30:00,15.5,15.5,15.4,15.4,11034.0
2019-12-18 09:30:00,15.9,16.3,15.9,16.1,1602107.0
2019-12-18 13:30:00,16.1,16.1,15.9,16.1,21860.0
2019-12-19 09:30:00,16.1,16.1,15.9,16.0,5150.0
2019-12-19 13:30:00,15.9,15.9,15.8,15.8,800.0
2019-12-20 09:30:00,15.9,15.9,15.8,15.9,39674.0
2019-12-23 09:30:00,15.9,15.9,15.6,15.6,1120.0
2019-12-24 09:30:00,16.0,16.0,16.0,16.0,100.0
2019-12-26 09:30:00,16.0,16.0,16.0,16.0,2000.0
2019-12-27 09:30:00,16.0,16.0,15.8,15.8,876.0
2019-12-27 13:30:00,16.0,16.0,16.0,16.0,10.0
2019-12-30 09:30:00,15.9,15.9,15.5,15.8,5263.0
2019-12-30 13:30:00,15.7,15.7,15.7,15.7,1000.0
2019-12-31 09:30:00,15.6,15.8,15.5,15.8,45154.0
2019-12-31 13:30:00,15.7,16.0,15.6,15.9,29690.0
2020-01-02 09:30:00,15.6,15.6,15.6,15.6,15490.0
2020-01-02 13:30:00,15.6,15.6,15.5,15.5,9230.0
2020-01-03 09:30:00,15.5,15.6,15.5,15.5,20280.0
2020-01-03 13:30:00,15.6,15.6,15.5,15.5,5930.0
2020-01-06 09:30:00,15.5,15.8,15.5,15.8,18000.0
2020-01-06 13:30:00,15.5,15.5,15.5,15.5,111.0
2020-01-07 09:30:00,15.5,15.7,15.5,15.5,3195.0
2020-01-08 09:30:00,15.4,15.4,14.8,15.0,42084.0
2020-01-08 13:30:00,15.0,15.0,14.8,14.8,19100.0
2020-01-09 09:30:00,15.0,15.4,15.0,15.4,21119.0
2020-01-13 09:30:00,15.0,15.9,15.0,15.9,2610.0
2020-01-14 09:30:00,15.1,15.1,15.0,15.1,23196.0
2020-01-14 13:30:00,15.1,15.1,15.1,15.1,765.0
2020-01-16 09:30:00,15.1,15.7,15.0,15.0,340.0
2020-01-16 13:30:00,15.0,15.0,15.0,15.0,80.0
2020-01-17 09:30:00,15.0,15.5,15.0,15.0,10916.0
2020-01-17 13:30:00,15.0,15.0,14.9,14.9,847.0
2020-01-20 09:30:00,15.5,15.5,15.5,15.5,10.0
2020-01-21 09:30:00,15.0,15.0,15.0,15.0,2000.0
2020-01-22 09:30:00,15.0,15.1,15.0,15.0,1780.0
2020-01-22 13:30:00,15.2,15.2,15.2,15.2,1800.0
2020-01-23 09:30:00,15.0,15.2,15.0,15.0,2767.0
2020-01-23 13:30:00,15.2,15.2,15.2,15.2,800.0
2020-01-24 09:30:00,15.0,15.2,15.0,15.1,16093.0
2020-01-27 09:30:00,15.1,15.2,15.0,15.2,4220.0
2020-01-27 13:30:00,15.2,15.2,15.2,15.2,685.0
2020-01-28 09:30:00,15.0,15.2,15.0,15.0,40706.0
2020-01-28 13:30:00,15.0,15.0,14.9,14.9,1627.0
2020-01-29 09:30:00,15.0,15.0,15.0,15.0,1412541.0
