Date,Open,High,Low,Close,Volume
2020-12-03 13:30:00,2.8,2.8,2.7,2.8,253940.0
2020-12-04 09:30:00,2.8,3.0,2.7,3.0,1588345.0
2020-12-04 13:30:00,3.0,3.0,2.9,3.0,1191810.0
2020-12-07 09:30:00,3.0,3.2,3.0,3.1,1605647.0
2020-12-07 13:30:00,3.2,3.2,3.1,3.1,234798.0
2020-12-08 09:30:00,3.1,3.3,3.1,3.3,5914434.0
2020-12-08 13:30:00,3.3,3.3,3.2,3.3,804205.0
2020-12-09 09:30:00,3.3,3.4,3.1,3.2,3713008.0
2020-12-09 13:30:00,3.2,3.3,3.1,3.3,673867.0
2020-12-10 09:30:00,3.2,3.3,3.0,3.1,805322.0
2020-12-10 13:30:00,3.1,3.2,3.1,3.2,326603.0
2020-12-11 09:30:00,3.2,3.2,3.0,3.2,66901.0
2020-12-11 13:30:00,3.2,3.2,3.1,3.1,7300.0
2020-12-14 09:30:00,3.2,3.3,3.1,3.2,358955.0
2020-12-14 13:30:00,3.2,3.3,3.2,3.2,207508.0
2020-12-15 09:30:00,3.3,3.4,3.1,3.2,3450614.0
2020-12-15 13:30:00,3.2,3.3,3.2,3.3,138392.0
2020-12-16 09:30:00,3.2,3.3,3.1,3.2,418295.0
2020-12-16 13:30:00,3.2,3.2,3.1,3.2,39019.0
2020-12-17 09:30:00,3.2,3.2,3.0,3.1,633747.0
2020-12-17 13:30:00,3.0,3.1,3.0,3.1,141493.0
2020-12-18 09:30:00,3.2,3.2,3.1,3.1,187197.0
2020-12-18 13:30:00,3.1,3.1,3.1,3.1,194459.0
2020-12-21 09:30:00,3.2,3.2,3.0,3.0,465673.0
2020-12-21 13:30:00,3.0,3.0,3.0,3.0,532.0
2020-12-22 09:30:00,3.1,3.1,2.9,3.0,131573.0
2020-12-22 13:30:00,3.0,3.1,3.0,3.0,12972.0
2020-12-23 09:30:00,3.0,3.0,2.9,3.0,170510.0
2020-12-23 13:30:00,3.0,3.1,3.0,3.0,22485.0
2020-12-24 09:30:00,3.1,3.1,3.0,3.0,92841.0
2020-12-24 13:30:00,3.0,3.0,2.9,3.0,32984.0
2020-12-28 09:30:00,3.0,3.1,3.0,3.1,222489.0
2020-12-28 13:30:00,3.1,3.1,3.1,3.1,3872.0
2020-12-30 09:30:00,3.1,3.2,3.0,3.1,1004579.0
2020-12-30 13:30:00,3.0,3.1,3.0,3.1,151500.0
2020-12-31 09:30:00,3.0,3.4,3.0,3.3,3354131.0
2020-12-31 13:30:00,3.3,3.4,3.3,3.3,399478.0
2021-01-04 09:30:00,3.4,3.5,3.3,3.4,1907376.0
2021-01-04 13:30:00,3.4,3.5,3.4,3.4,365258.0
2021-01-05 09:30:00,3.5,3.8,3.4,3.6,19236353.0
2021-01-05 13:30:00,3.6,3.7,3.5,3.6,260725.0
2021-01-06 09:30:00,3.6,3.7,3.5,3.6,1006453.0
2021-01-06 13:30:00,3.6,3.6,3.4,3.6,243584.0
2021-01-07 09:30:00,3.6,3.6,3.3,3.4,773409.0
2021-01-07 13:30:00,3.4,3.5,3.3,3.4,572344.0
2021-01-08 09:30:00,3.4,3.4,3.2,3.3,235885.0
2021-01-08 13:30:00,3.3,3.3,3.3,3.3,7439.0
2021-01-11 09:30:00,3.4,3.4,3.2,3.2,988789.0
2021-01-11 13:30:00,3.3,3.3,3.3,3.3,31140.0
2021-01-12 09:30:00,3.3,3.4,3.2,3.3,225419.0
2021-01-12 13:30:00,3.3,3.3,3.2,3.2,25551.0
2021-01-13 09:30:00,3.3,3.4,3.2,3.3,1354902.0
2021-01-13 13:30:00,3.3,3.3,3.2,3.2,460801.0
2021-01-15 09:30:00,3.2,3.3,3.1,3.1,563553.0
2021-01-15 13:30:00,3.1,3.2,3.1,3.2,296532.0
2021-01-18 09:30:00,3.2,3.2,3.1,3.1,207097.0
2021-01-18 13:30:00,3.1,3.2,3.1,3.2,150410.0
2021-01-19 09:30:00,3.1,3.2,3.1,3.1,1018999.0
2021-01-19 13:30:00,3.1,3.2,3.0,3.2,413623.0
2021-01-20 09:30:00,3.1,3.2,3.1,3.1,61395.0
2021-01-20 13:30:00,3.2,3.2,3.1,3.1,95300.0
2021-01-21 09:30:00,3.2,3.2,3.0,3.2,63368.0
2021-01-21 13:30:00,3.1,3.2,3.0,3.2,37333.0
2021-01-22 09:30:00,3.1,3.2,3.0,3.1,351917.0
2021-01-22 13:30:00,3.1,3.2,3.0,3.2,63617.0
2021-01-25 09:30:00,3.1,3.1,3.0,3.1,208560.0
2021-01-25 13:30:00,3.1,3.1,3.0,3.1,58674.0
2021-01-26 09:30:00,3.1,3.1,3.0,3.1,339458.0
2021-01-26 13:30:00,3.1,3.1,3.0,3.0,41299.0
2021-01-27 09:30:00,3.0,3.0,2.8,2.9,928505.0
2021-01-27 13:30:00,2.9,3.0,2.9,2.9,185609.0
2021-01-29 09:30:00,2.8,3.0,2.8,2.9,97924.0
2021-01-29 13:30:00,2.8,3.0,2.8,2.9,313720.0
