Date,Open,High,Low,Close,Volume
2021-09-14 12:30:00,86.5,86.5,86.2,86.4,3369.0
2021-09-14 13:30:00,86.2,86.2,86.0,86.0,890.0
2021-09-15 10:30:00,85.6,85.6,85.5,85.5,250.0
2021-09-15 11:30:00,86.5,86.5,86.0,86.2,1303.0
2021-09-15 12:30:00,86.5,87.0,86.0,86.1,9205.0
2021-09-15 13:30:00,86.2,86.3,86.2,86.3,13506.0
2021-09-16 10:30:00,87.0,87.0,86.5,86.6,35321.0
2021-09-16 11:30:00,86.9,86.9,86.7,86.7,371.0
2021-09-16 12:30:00,86.9,86.9,86.7,86.7,10600.0
2021-09-16 13:30:00,86.8,86.9,86.6,86.7,12410.0
2021-09-17 10:30:00,86.9,86.9,86.6,86.6,2100.0
2021-09-17 11:30:00,86.6,86.7,86.5,86.5,18343.0
2021-09-17 12:30:00,86.5,87.0,86.3,87.0,15700.0
2021-09-17 13:30:00,87.0,87.8,86.5,87.0,42327.0
2021-09-21 10:30:00,87.9,87.9,87.1,87.1,451.0
2021-09-21 11:30:00,87.3,87.7,87.0,87.3,5775.0
2021-09-21 12:30:00,87.3,87.6,87.0,87.0,8505.0
2021-09-21 13:30:00,86.9,87.0,86.6,87.0,11529.0
2021-09-22 10:30:00,87.0,87.0,87.0,87.0,40.0
2021-09-22 11:30:00,87.1,87.1,86.6,86.6,295.0
2021-09-22 12:30:00,86.6,86.6,86.0,86.0,2001.0
2021-09-22 13:30:00,87.0,87.0,85.5,85.5,2900.0
2021-09-23 10:30:00,87.0,87.0,87.0,87.0,5.0
2021-09-23 11:30:00,86.9,86.9,85.6,85.6,64630.0
2021-09-23 12:30:00,85.6,85.6,85.5,85.6,860.0
2021-09-23 13:30:00,85.9,86.0,85.9,86.0,210.0
2021-09-24 10:30:00,85.5,85.5,85.5,85.5,100.0
2021-09-24 12:30:00,86.0,86.0,85.9,86.0,6140.0
2021-09-24 13:30:00,86.0,86.1,85.7,85.7,1100.0
2021-09-27 10:30:00,85.7,85.7,85.5,85.6,5082.0
2021-09-27 11:30:00,85.6,86.1,85.6,86.1,1107.0
2021-09-27 12:30:00,86.5,86.5,85.7,85.7,8140.0
2021-09-27 13:30:00,86.5,86.5,86.0,86.2,3905.0
2021-09-28 10:30:00,85.8,87.0,85.8,87.0,2500.0
2021-09-28 11:30:00,86.1,86.1,85.7,86.0,17092.0
2021-09-28 12:30:00,85.8,86.0,85.5,85.5,4255.0
2021-09-28 13:30:00,85.5,86.0,85.5,86.0,667.0
