Date,Open,High,Low,Close,Volume
2023-11-23 09:30:00,33.0,33.0,32.7,32.7,3117.0
2023-11-23 13:30:00,33.0,33.0,33.0,33.0,2935.0
2023-11-24 09:30:00,33.1,33.1,33.1,33.1,827.0
2023-11-24 13:30:00,33.9,34.0,33.9,34.0,68487.0
2023-11-27 09:30:00,34.4,34.4,34.0,34.0,120.0
2023-11-27 13:30:00,34.0,34.0,33.0,33.0,13.0
2023-11-28 09:30:00,34.0,34.0,32.5,32.5,10400.0
2023-11-28 13:30:00,34.2,34.2,34.2,34.2,16.0
2023-11-29 09:30:00,34.4,34.4,32.5,32.7,3285.0
2023-11-29 13:30:00,32.8,34.4,32.8,34.4,221.0
2023-11-30 09:30:00,34.3,34.4,34.3,34.3,555.0
2023-11-30 13:30:00,33.2,34.3,33.2,34.3,3250.0
2023-12-01 09:30:00,33.5,34.3,33.5,34.0,33139.0
2023-12-01 13:30:00,34.3,34.5,34.3,34.5,6086.0
2023-12-04 09:30:00,34.5,34.5,34.0,34.0,3044.0
2023-12-04 13:30:00,34.5,34.5,34.4,34.4,347.0
2023-12-05 09:30:00,34.0,34.0,34.0,34.0,1744.0
2023-12-05 13:30:00,34.0,34.0,34.0,34.0,5055.0
2023-12-06 09:30:00,33.8,34.6,33.5,34.6,25872.0
2023-12-06 13:30:00,34.5,34.9,34.5,34.9,28500.0
2023-12-07 09:30:00,35.2,35.2,33.5,34.0,45208.0
2023-12-07 13:30:00,34.0,34.5,34.0,34.5,201187.0
2023-12-08 09:30:00,33.6,34.7,33.5,34.5,33090.0
2023-12-08 13:30:00,34.5,34.7,34.5,34.7,2090.0
2023-12-11 09:30:00,34.5,34.7,33.6,34.7,295.0
2023-12-12 09:30:00,33.9,34.9,32.9,33.9,11438.0
2023-12-12 13:30:00,33.0,33.0,32.7,33.0,18859.0
2023-12-13 09:30:00,32.6,33.7,32.6,33.0,12240.0
2023-12-13 13:30:00,32.7,32.7,32.6,32.6,1063.0
2023-12-14 09:30:00,33.0,33.0,33.0,33.0,1071.0
2023-12-14 13:30:00,32.6,34.5,32.6,34.5,123.0
2023-12-15 09:30:00,33.5,33.5,32.6,32.6,602.0
2023-12-15 13:30:00,32.6,33.5,32.6,33.5,37.0
2023-12-18 09:30:00,33.5,33.5,33.0,33.0,282.0
2023-12-18 13:30:00,33.0,33.0,33.0,33.0,30.0
2023-12-19 09:30:00,33.5,33.5,33.3,33.3,107.0
2023-12-19 13:30:00,32.8,32.8,32.2,32.2,12189.0
2023-12-20 09:30:00,33.5,33.5,33.5,33.5,5.0
2023-12-20 13:30:00,33.4,33.4,33.4,33.4,5.0
2023-12-21 09:30:00,33.4,33.4,33.0,33.0,5100.0
2023-12-21 13:30:00,33.3,33.3,33.3,33.3,9609.0
2023-12-22 09:30:00,33.1,33.1,33.0,33.1,12152.0
2023-12-22 13:30:00,33.4,33.4,33.4,33.4,125.0
2023-12-27 09:30:00,33.5,33.5,33.0,33.0,486.0
2023-12-27 13:30:00,32.7,33.0,32.0,32.1,18483.0
2023-12-28 09:30:00,33.0,33.0,32.0,32.0,1001.0
2023-12-28 13:30:00,32.9,32.9,32.9,32.9,1.0
2023-12-29 09:30:00,32.8,32.9,31.5,32.0,28920.0
2023-12-29 13:30:00,32.0,32.6,32.0,32.6,28.0
2024-01-02 09:30:00,32.6,32.6,32.5,32.6,300.0
2024-01-02 13:30:00,32.5,32.5,32.5,32.5,575.0
2024-01-03 09:30:00,32.9,33.0,32.6,32.6,388.0
2024-01-03 13:30:00,32.6,32.6,32.5,32.5,10500.0
2024-01-04 09:30:00,32.9,32.9,32.4,32.4,766.0
2024-01-04 13:30:00,32.3,32.3,32.2,32.2,39.0
2024-01-05 09:30:00,32.8,32.8,32.0,32.0,3659.0
2024-01-05 13:30:00,32.5,32.5,32.5,32.5,35.0
2024-01-08 09:30:00,32.7,32.8,32.0,32.1,4586.0
2024-01-08 13:30:00,32.0,32.0,31.9,31.9,1770.0
2024-01-09 09:30:00,31.9,32.1,31.6,31.6,11360.0
2024-01-09 13:30:00,31.7,31.7,31.7,31.7,200.0
2024-01-10 09:30:00,31.7,32.5,31.6,32.0,5460.0
2024-01-10 13:30:00,31.7,32.0,31.6,32.0,8499.0
2024-01-11 09:30:00,32.0,32.0,31.6,31.6,12000.0
2024-01-12 09:30:00,31.9,31.9,31.9,31.9,624.0
2024-01-12 13:30:00,32.2,32.2,32.2,32.2,1.0
2024-01-16 09:30:00,32.2,33.0,32.2,32.8,4028.0
2024-01-17 09:30:00,32.4,32.5,32.4,32.4,664.0
2024-01-17 13:30:00,32.4,32.4,32.4,32.4,481.0
2024-01-18 09:30:00,32.5,32.9,32.1,32.1,8175.0
2024-01-19 09:30:00,32.1,32.9,32.0,32.9,16879.0
2024-01-22 09:30:00,32.5,32.5,32.0,32.0,37474.0
2024-01-22 13:30:00,32.0,32.0,32.0,32.0,25.0
2024-01-23 09:30:00,32.2,32.2,31.5,31.5,37416.0
2024-01-23 13:30:00,31.5,31.5,31.2,31.5,13077.0
2024-01-24 09:30:00,33.2,33.2,31.3,31.4,11337.0
2024-01-26 13:30:00,32.9,32.9,32.9,32.9,125.0
2024-01-29 09:30:00,32.9,32.9,31.5,31.5,6732.0
2024-01-29 13:30:00,31.5,31.5,31.2,31.2,6800.0
2024-01-30 09:30:00,32.0,32.0,31.0,31.0,100272.0
2024-01-30 13:30:00,30.9,31.8,30.5,31.5,5309.0
2024-01-31 09:30:00,31.5,31.5,30.7,30.7,35.0
2024-01-31 13:30:00,30.7,31.0,30.7,31.0,3221.0
2024-02-01 09:30:00,31.4,31.4,30.7,30.7,16555.0
2024-02-02 09:30:00,31.4,31.4,30.5,31.4,10550.0
2024-02-02 13:30:00,31.4,31.6,31.4,31.6,5309.0
2024-02-06 09:30:00,31.7,33.2,31.7,33.0,2380.0
2024-02-06 13:30:00,33.0,33.0,32.9,33.0,461.0
2024-02-07 09:30:00,33.0,33.3,32.0,32.0,9775.0
2024-02-07 13:30:00,32.8,32.8,32.8,32.8,5.0
2024-02-08 09:30:00,32.8,33.5,32.8,33.5,21656.0
2024-02-08 13:30:00,33.4,33.4,33.4,33.4,3505.0
2024-02-09 09:30:00,33.3,33.3,33.0,33.0,4806.0
2024-02-09 13:30:00,33.0,33.0,33.0,33.0,105.0
2024-02-12 09:30:00,33.3,34.0,33.0,33.5,12550.0
2024-02-12 13:30:00,33.5,34.0,33.5,33.9,33919.0
2024-02-13 09:30:00,34.8,34.8,34.0,34.6,168080.0
2024-02-13 13:30:00,34.3,34.5,34.3,34.4,534.0
2024-02-14 09:30:00,34.8,34.8,33.9,34.6,5921.0
2024-02-14 13:30:00,34.7,34.7,34.0,34.1,5655.0
2024-02-15 09:30:00,34.5,34.8,34.0,34.1,18810.0
2024-02-15 13:30:00,34.5,34.5,34.5,34.5,5.0
2024-02-16 09:30:00,33.1,34.2,33.1,34.0,7080.0
2024-02-16 13:30:00,34.1,34.1,34.1,34.1,15657.0
2024-02-19 09:30:00,34.1,35.9,33.8,35.4,128261.0
2024-02-19 13:30:00,35.6,35.6,35.4,35.4,28100.0
2024-02-20 09:30:00,35.6,36.0,34.2,34.2,22731.0
2024-02-21 09:30:00,35.9,35.9,35.0,35.0,730.0
2024-02-21 13:30:00,34.3,35.0,34.3,35.0,13.0
2024-02-22 09:30:00,35.0,36.0,34.3,36.0,216246.0
2024-02-22 13:30:00,35.1,36.0,35.1,36.0,100426.0
2024-02-26 09:30:00,35.9,35.9,34.3,35.8,515.0
2024-02-26 13:30:00,34.6,34.6,34.6,34.6,100.0
2024-02-27 09:30:00,34.6,35.7,34.6,35.3,53676.0
2024-02-27 13:30:00,35.5,35.5,35.5,35.5,5.0
2024-02-28 09:30:00,35.0,36.4,35.0,36.2,167455.0
2024-02-28 13:30:00,36.0,36.4,36.0,36.2,9272.0
2024-02-29 09:30:00,34.3,36.4,34.3,36.0,33214.0
2024-02-29 13:30:00,36.0,36.1,36.0,36.1,2504.0
2024-03-01 09:30:00,36.2,36.3,35.2,35.2,2707.0
2024-03-01 13:30:00,36.2,36.2,36.2,36.2,10.0
2024-03-04 09:30:00,35.5,36.2,35.0,35.0,34017.0
2024-03-04 13:30:00,36.2,36.2,35.2,36.2,480.0
2024-03-05 09:30:00,35.1,36.3,35.1,36.0,11113.0
2024-03-05 13:30:00,36.1,36.1,36.0,36.0,11465.0
2024-03-06 09:30:00,36.0,36.2,36.0,36.2,21910.0
2024-03-06 13:30:00,36.2,36.3,36.0,36.3,19459.0
2024-03-07 09:30:00,36.3,36.4,36.0,36.4,7041.0
2024-03-07 13:30:00,36.4,37.0,36.1,36.8,27572.0
2024-03-11 09:30:00,37.0,37.2,36.0,36.0,213498.0
2024-03-11 13:30:00,36.4,36.9,36.0,36.8,9850.0
2024-03-12 09:30:00,36.0,37.0,36.0,36.8,6457.0
2024-03-12 13:30:00,36.9,36.9,36.9,36.9,5.0
2024-03-13 09:30:00,36.9,36.9,36.5,36.5,1188.0
2024-03-13 13:30:00,36.5,36.5,36.0,36.0,18432.0
2024-03-14 09:30:00,35.5,37.3,35.5,37.3,36195.0
2024-03-14 13:30:00,36.7,36.7,36.7,36.7,100.0
2024-03-15 09:30:00,37.1,37.4,37.0,37.4,45530.0
2024-03-15 13:30:00,37.4,37.5,37.4,37.5,4347.0
2024-03-18 09:30:00,37.5,38.4,36.5,37.8,135846.0
2024-03-18 13:30:00,37.5,37.8,37.5,37.8,352.0
2024-03-19 09:30:00,37.5,37.9,37.1,37.5,19445.0
2024-03-19 13:30:00,37.8,37.9,37.5,37.9,5920.0
2024-03-20 09:30:00,37.9,38.3,37.2,38.3,292878.0
2024-03-20 13:30:00,38.1,38.3,37.6,37.6,3250.0
2024-03-21 09:30:00,37.6,38.1,37.6,37.9,38135.0
2024-03-21 13:30:00,37.6,37.7,37.6,37.6,509.0
2024-03-22 09:30:00,37.6,38.0,37.6,38.0,31630.0
2024-03-22 13:30:00,38.1,39.0,38.1,39.0,59710.0
2024-03-25 09:30:00,39.0,39.4,39.0,39.2,5967.0
2024-03-25 13:30:00,39.0,39.0,38.7,38.7,1000.0
2024-03-26 09:30:00,38.7,39.0,38.1,39.0,16582.0
2024-03-26 13:30:00,39.0,39.4,39.0,39.4,59191.0
2024-03-27 09:30:00,39.9,41.0,39.9,40.8,1503478.0
2024-03-27 13:30:00,40.7,40.7,40.1,40.1,5568.0
2024-03-28 09:30:00,40.0,41.0,38.6,40.0,119517.0
2024-03-28 13:30:00,39.0,39.0,39.0,39.0,19357.0
2024-04-01 09:30:00,40.4,40.4,39.0,39.9,306938.0
2024-04-01 13:30:00,39.9,40.0,39.3,40.0,55310.0
2024-04-02 09:30:00,39.1,40.4,39.0,40.0,215506.0
2024-04-03 09:30:00,39.9,40.0,39.3,40.0,302812.0
2024-04-03 13:30:00,40.1,41.3,40.1,41.0,98079.0
2024-04-04 09:30:00,40.0,40.8,40.0,40.8,440126.0
2024-04-04 13:30:00,40.8,40.8,40.0,40.8,159651.0
2024-04-05 09:30:00,40.1,41.3,39.5,41.0,215840.0
2024-04-05 13:30:00,40.9,42.0,40.9,42.0,528849.0
2024-04-08 09:30:00,42.0,42.7,41.8,42.0,596728.0
2024-04-08 13:30:00,42.0,42.6,42.0,42.6,92195.0
2024-04-09 09:30:00,42.7,42.7,41.9,42.7,303159.0
