Date,Open,High,Low,Close,Volume
2021-05-04 09:30:00,53.1,54.0,52.6,52.8,205421.0
2021-05-04 13:30:00,52.8,53.0,52.3,52.5,111887.0
2021-05-05 09:30:00,53.0,54.0,52.5,53.7,97953.0
2021-05-05 13:30:00,53.7,53.7,53.0,53.0,57757.0
2021-05-06 09:30:00,53.5,54.5,53.1,53.8,138419.0
2021-05-06 13:30:00,53.8,53.8,53.4,53.5,2890.0
2021-05-07 09:30:00,53.7,55.9,53.4,55.6,691977.0
2021-05-07 13:30:00,55.5,56.4,55.2,56.0,363786.0
2021-05-10 09:30:00,56.0,56.0,53.5,54.0,436652.0
2021-05-10 13:30:00,54.4,54.4,53.4,54.0,299596.0
2021-05-11 09:30:00,54.5,55.0,53.8,53.9,190960.0
2021-05-11 13:30:00,54.0,54.0,53.8,53.8,25085.0
2021-05-12 09:30:00,54.9,55.5,54.4,55.0,144128.0
2021-05-12 13:30:00,54.8,54.8,53.9,53.9,38942.0
2021-05-13 09:30:00,53.8,54.9,53.8,54.5,91687.0
2021-05-13 13:30:00,54.4,54.5,53.9,54.1,106781.0
2021-05-17 09:30:00,54.2,56.2,54.2,55.6,395039.0
2021-05-17 13:30:00,55.6,56.4,55.6,56.3,165169.0
2021-05-18 09:30:00,56.5,56.5,54.9,55.5,197122.0
2021-05-18 13:30:00,55.5,56.0,55.3,55.9,57297.0
2021-05-19 09:30:00,56.0,56.5,55.2,55.4,358916.0
2021-05-19 13:30:00,55.4,55.9,55.2,55.8,40028.0
2021-05-20 09:30:00,56.0,56.0,54.5,55.0,135843.0
2021-05-20 13:30:00,55.0,55.0,54.5,54.5,25511.0
2021-05-21 09:30:00,55.1,55.1,52.0,53.5,236619.0
2021-05-21 13:30:00,53.5,54.0,53.5,53.8,17951.0
2021-05-24 09:30:00,54.9,54.9,52.5,54.5,236388.0
2021-05-24 13:30:00,54.5,54.5,53.6,53.9,165982.0
2021-05-25 09:30:00,54.2,54.5,54.0,54.0,55481.0
2021-05-25 13:30:00,54.0,54.1,53.5,54.1,45880.0
2021-05-28 09:30:00,55.0,55.8,54.9,55.1,567470.0
2021-05-28 13:30:00,55.2,55.2,54.7,55.0,456643.0
2021-05-31 09:30:00,56.0,57.8,56.0,56.9,2096767.0
2021-05-31 13:30:00,57.0,57.4,56.8,57.1,388040.0
2021-06-01 09:30:00,57.8,57.8,56.0,56.4,365329.0
2021-06-01 13:30:00,56.4,56.8,56.3,56.4,17220.0
2021-06-02 09:30:00,56.6,56.7,55.5,55.8,244802.0
2021-06-02 13:30:00,55.8,55.9,55.4,55.5,182217.0
2021-06-03 09:30:00,55.6,58.9,55.5,58.1,884915.0
2021-06-03 13:30:00,58.1,58.4,57.0,57.5,249173.0
2021-06-04 09:30:00,58.4,58.5,57.7,58.0,266209.0
2021-06-04 13:30:00,57.9,58.0,57.4,58.0,134763.0
2021-06-07 09:30:00,58.2,58.5,57.5,58.0,295461.0
2021-06-07 13:30:00,57.8,58.0,57.7,57.8,39800.0
2021-06-08 09:30:00,57.9,57.9,56.9,57.2,160267.0
2021-06-08 13:30:00,57.3,57.5,57.0,57.5,67794.0
2021-06-09 09:30:00,57.5,57.5,56.9,57.3,96662.0
2021-06-09 13:30:00,57.3,57.4,56.9,57.1,155297.0
2021-06-10 09:30:00,56.7,57.7,56.2,57.5,239665.0
2021-06-10 13:30:00,57.5,57.5,56.8,56.8,177597.0
2021-06-11 09:30:00,57.3,57.4,56.1,56.1,217087.0
2021-06-11 13:30:00,56.1,56.3,55.9,56.1,96848.0
2021-06-14 09:30:00,56.1,56.1,54.5,55.1,188766.0
2021-06-14 13:30:00,55.1,55.2,54.5,55.0,215815.0
2021-06-15 09:30:00,54.7,54.7,54.1,54.2,358086.0
2021-06-15 13:30:00,54.1,54.3,53.9,54.0,289304.0
2021-06-16 09:30:00,55.0,55.0,53.5,54.3,343408.0
2021-06-16 13:30:00,54.7,54.7,54.3,54.4,35146.0
2021-06-17 09:30:00,54.6,55.5,54.3,54.8,165203.0
2021-06-17 13:30:00,54.8,54.8,54.3,54.6,73981.0
2021-06-18 09:30:00,54.6,55.0,54.5,54.8,223636.0
2021-06-18 13:30:00,54.8,55.0,54.1,54.9,206395.0
2021-06-21 09:30:00,55.0,55.0,54.6,54.8,48748.0
2021-06-21 13:30:00,54.8,54.9,54.4,54.6,69532.0
2021-06-22 09:30:00,54.6,54.8,53.8,54.0,129953.0
2021-06-22 13:30:00,54.0,54.0,53.2,53.3,125121.0
2021-06-23 09:30:00,53.7,54.0,53.2,53.9,91316.0
2021-06-23 13:30:00,53.8,53.9,53.7,53.8,12474.0
2021-06-25 09:30:00,54.0,54.5,53.8,54.2,57577.0
2021-06-25 13:30:00,54.1,54.1,53.8,54.0,55617.0
2021-06-28 09:30:00,54.6,54.6,53.6,53.6,52623.0
2021-06-28 13:30:00,53.7,53.9,53.5,53.6,66717.0
2021-06-29 09:30:00,54.1,54.1,52.7,52.9,122112.0
2021-06-29 13:30:00,53.0,53.0,52.6,52.6,45697.0
2021-06-30 09:30:00,52.6,53.0,50.7,51.1,319131.0
2021-06-30 13:30:00,51.9,52.4,51.1,52.0,68536.0
2021-07-01 09:30:00,52.9,52.9,52.2,52.2,39118.0
2021-07-01 13:30:00,52.3,52.5,52.0,52.5,22005.0
2021-07-02 09:30:00,52.5,52.5,51.7,52.4,114341.0
2021-07-02 13:30:00,52.4,53.5,52.4,53.3,51901.0
2021-07-05 09:30:00,52.7,53.2,52.5,53.0,67498.0
2021-07-05 13:30:00,52.9,52.9,52.6,52.6,6116.0
2021-07-06 09:30:00,53.0,53.0,51.7,52.0,77632.0
2021-07-06 13:30:00,52.0,52.0,51.7,51.7,50836.0
2021-07-07 09:30:00,52.0,52.0,51.8,51.9,138768.0
2021-07-07 13:30:00,52.0,52.0,51.7,51.8,72786.0
2021-07-08 09:30:00,52.0,52.0,51.6,51.7,199456.0
2021-07-08 13:30:00,51.8,51.9,50.9,51.5,188752.0
2021-07-09 09:30:00,51.5,51.9,51.3,51.3,109232.0
2021-07-09 13:30:00,51.4,51.8,51.3,51.4,49557.0
2021-07-12 09:30:00,51.5,52.8,51.5,52.7,131243.0
2021-07-12 13:30:00,52.8,53.7,52.8,53.7,77679.0
2021-07-13 09:30:00,53.0,53.9,53.0,53.5,99358.0
2021-07-13 13:30:00,53.5,54.4,53.4,53.9,159541.0
2021-07-14 09:30:00,54.0,54.5,53.8,53.8,46156.0
2021-07-14 13:30:00,53.8,54.3,53.7,54.0,28037.0
