Date,Open,High,Low,Close,Volume
2022-03-23 12:30:00,23.4,23.4,23.35,23.35,26155.0
2022-03-23 13:30:00,23.4,23.5,23.2,23.5,239465.0
2022-03-24 10:30:00,23.6,23.7,23.2,23.35,37350.0
2022-03-24 11:30:00,23.35,23.35,23.25,23.35,20715.0
2022-03-24 12:30:00,23.3,23.3,23.0,23.0,137960.0
2022-03-24 13:30:00,23.0,23.3,22.95,23.0,122335.0
2022-03-25 10:30:00,23.6,23.7,23.0,23.6,19325.0
2022-03-25 11:30:00,23.6,24.0,23.3,23.35,130560.0
2022-03-25 12:30:00,23.6,23.6,23.35,23.6,7530.0
2022-03-25 13:30:00,23.5,23.6,23.25,23.6,229245.0
2022-03-28 10:30:00,23.6,24.0,22.9,23.0,150765.0
2022-03-28 11:30:00,23.15,23.2,23.0,23.2,192340.0
2022-03-28 12:30:00,23.2,23.4,23.05,23.2,37705.0
2022-03-28 13:30:00,23.2,23.2,22.8,23.0,179185.0
2022-03-29 10:30:00,23.0,23.0,22.4,22.55,112965.0
2022-03-29 11:30:00,22.6,22.8,22.0,22.0,262565.0
2022-03-29 12:30:00,22.0,22.0,20.2,21.0,269305.0
2022-03-29 13:30:00,21.0,22.0,20.85,21.3,505120.0
2022-03-30 10:30:00,21.0,21.0,18.0,18.4,118925.0
2022-03-30 11:30:00,18.4,19.6,16.4,17.8,385320.0
2022-03-30 12:30:00,17.8,19.6,17.8,19.0,88425.0
2022-03-30 13:30:00,19.0,19.6,18.4,19.6,18215.0
2022-03-31 10:30:00,19.2,20.8,18.76,19.02,84335.0
2022-03-31 11:30:00,19.6,19.78,17.8,17.8,100370.0
2022-04-01 10:30:00,16.4,18.2,15.6,15.6,176400.0
2022-04-01 11:30:00,15.6,15.6,15.6,15.6,280.0
2022-04-04 10:30:00,18.0,18.0,16.0,16.0,442975.0
2022-04-04 11:30:00,15.8,17.0,15.0,16.4,684090.0
2022-04-05 10:30:00,15.84,17.0,15.6,17.0,365410.0
2022-04-05 11:30:00,17.2,18.0,17.2,17.42,101895.0
2022-04-06 10:30:00,17.56,18.0,17.0,17.0,161380.0
2022-04-06 11:30:00,17.0,17.5,16.8,16.8,101320.0
2022-04-07 10:30:00,16.0,16.2,15.8,15.8,214590.0
2022-04-07 11:30:00,15.64,15.66,14.74,15.22,305515.0
2022-04-08 10:30:00,15.98,15.98,13.6,14.2,382045.0
2022-04-08 11:30:00,14.2,14.22,13.6,13.6,261760.0
2022-04-25 10:30:00,13.0,13.0,11.62,11.62,141170.0
2022-04-26 10:30:00,11.0,11.0,11.0,11.0,176440.0
2022-04-26 11:30:00,10.72,10.72,10.2,10.72,27135.0
2022-04-27 10:30:00,10.6,13.5,10.6,13.38,449515.0
2022-04-27 11:30:00,13.38,15.0,13.2,14.4,153735.0
2022-04-28 10:30:00,15.0,16.28,13.4,16.0,1041160.0
2022-04-28 11:30:00,16.0,17.22,16.0,17.22,146000.0
2022-04-29 10:30:00,17.68,20.95,17.68,19.62,622375.0
2022-04-29 11:30:00,19.78,19.78,17.8,18.0,1070080.0
2022-05-04 10:30:00,17.0,18.76,16.02,17.4,248485.0
2022-05-04 11:30:00,17.8,18.2,17.72,18.1,77510.0
2022-05-05 10:30:00,18.08,18.08,16.44,16.44,45530.0
2022-05-05 11:30:00,16.48,16.96,16.48,16.96,100335.0
2022-05-06 10:30:00,16.9,17.2,16.4,16.6,166010.0
2022-05-06 11:30:00,16.46,16.8,16.4,16.7,349160.0
2022-05-09 10:30:00,17.2,17.8,17.0,17.8,430845.0
2022-05-09 11:30:00,17.6,18.0,17.0,17.2,221985.0
2022-05-12 10:30:00,18.0,19.0,17.2,18.4,702655.0
2022-05-12 11:30:00,18.2,18.94,17.6,18.9,135795.0
2022-05-13 10:30:00,19.0,20.0,18.4,19.68,775620.0
2022-05-13 11:30:00,19.6,19.6,18.9,19.48,173530.0
2022-05-17 10:30:00,19.48,21.0,19.2,20.65,1012545.0
2022-05-17 11:30:00,20.65,22.8,20.6,22.8,720800.0
2022-05-18 10:30:00,22.8,23.4,20.05,21.5,801550.0
2022-05-18 11:30:00,21.5,21.5,19.6,20.5,510370.0
2022-05-19 10:30:00,20.7,21.4,19.7,20.3,168570.0
2022-05-19 11:30:00,20.2,20.2,19.2,19.2,219350.0
2022-05-20 10:30:00,19.96,21.0,19.96,20.25,345135.0
2022-05-20 11:30:00,20.2,20.8,20.05,20.8,259455.0
2022-05-23 10:30:00,21.8,21.9,20.8,21.7,268460.0
2022-05-23 11:30:00,21.75,21.8,21.2,21.6,59560.0
2022-05-24 10:30:00,21.75,21.75,20.2,20.6,195165.0
2022-05-24 11:30:00,20.6,21.2,20.3,20.6,42700.0
2022-05-25 10:30:00,20.1,22.95,20.1,22.6,921395.0
2022-05-25 11:30:00,22.25,22.45,21.4,21.6,173040.0
2022-05-26 10:30:00,21.8,21.8,21.0,21.2,53610.0
2022-05-26 11:30:00,21.4,21.4,21.0,21.3,118110.0
2022-05-27 10:30:00,21.75,22.75,21.6,21.95,1278865.0
2022-05-27 11:30:00,21.95,22.3,21.5,21.8,806120.0
2022-05-30 10:30:00,22.0,22.0,21.6,21.75,54060.0
2022-05-30 11:30:00,21.7,21.7,21.4,21.4,120820.0
2022-05-31 10:30:00,21.6,21.6,20.2,21.15,341320.0
2022-05-31 11:30:00,21.15,21.2,20.8,21.1,132815.0
2022-06-01 10:30:00,20.8,21.0,20.0,20.4,561760.0
2022-06-01 11:30:00,20.4,20.7,20.1,20.2,159035.0
2022-06-02 10:30:00,20.2,21.2,20.2,21.2,175015.0
2022-06-02 11:30:00,21.1,21.35,20.7,20.7,167260.0
2022-06-03 10:30:00,21.3,21.3,20.6,21.0,136290.0
2022-06-03 11:30:00,21.0,21.0,20.45,20.45,217255.0
2022-06-06 10:30:00,20.8,20.8,20.0,20.0,239170.0
2022-06-06 11:30:00,20.2,20.3,19.82,19.84,108445.0
2022-06-07 10:30:00,19.8,19.8,18.8,19.02,324255.0
2022-06-07 11:30:00,19.02,19.98,19.0,19.94,297120.0
2022-06-08 10:30:00,19.8,20.5,19.8,20.2,158915.0
2022-06-08 11:30:00,20.05,20.5,20.0,20.5,104150.0
2022-06-09 10:30:00,20.8,20.8,20.2,20.6,106905.0
2022-06-09 11:30:00,20.6,20.75,20.3,20.5,68560.0
2022-06-10 10:30:00,20.4,20.8,20.3,20.3,611580.0
2022-06-10 11:30:00,20.3,20.7,20.2,20.7,490775.0
2022-06-13 10:30:00,20.8,20.8,20.4,20.7,47550.0
2022-06-13 11:30:00,20.8,20.9,20.6,20.75,123790.0
2022-06-15 10:30:00,20.2,20.7,20.0,20.2,107775.0
2022-06-15 11:30:00,20.4,20.5,20.25,20.4,26705.0
2022-06-16 10:30:00,20.55,20.55,20.1,20.3,49535.0
2022-06-16 11:30:00,20.3,20.4,20.0,20.2,54100.0
2022-06-17 10:30:00,20.2,20.2,19.8,19.84,57970.0
2022-06-17 11:30:00,20.0,20.0,19.0,19.2,200215.0
2022-06-20 10:30:00,19.0,19.86,18.64,19.4,162455.0
2022-06-20 11:30:00,19.4,19.4,19.2,19.4,66860.0
2022-06-21 10:30:00,19.8,20.1,19.4,19.5,90735.0
2022-06-21 11:30:00,19.5,19.8,19.5,19.78,41400.0
2022-06-22 10:30:00,20.1,20.6,20.0,20.35,290135.0
2022-06-22 11:30:00,20.4,20.5,20.35,20.5,85935.0
2022-06-23 10:30:00,20.8,20.8,20.55,20.55,170605.0
2022-06-23 11:30:00,20.55,20.7,20.3,20.6,414105.0
2022-06-24 10:30:00,20.6,20.7,20.4,20.6,469510.0
2022-06-24 11:30:00,20.7,20.7,20.45,20.6,424295.0
